site,year,eventID,date_time,rain,cumulative_rain,fstrips,fcontrol,pad
arm,2016,this is in the rain event12 file,3/15/2016 1:55,0.001,0.001,,,
arm,2016,,3/15/2016 2:00,0.001,0.002,,,
arm,2016,,3/15/2016 2:05,0.001,0.003,,,
arm,2016,,3/15/2016 2:10,0.001,0.004,,,
arm,2016,,3/15/2016 2:15,0.001,0.005,,,
arm,2016,,3/15/2016 2:20,0.001,0.006,,,
arm,2016,,3/15/2016 2:25,0.001,0.007,,,
arm,2016,,3/15/2016 2:30,0.001,0.008,,,
arm,2016,,3/23/2016 17:25,0.001,0.001,,,
arm,2016,,3/23/2016 18:00,0.002,0.003,,,
arm,2016,,3/23/2016 18:05,0.002,0.005,,,
arm,2016,,3/23/2016 18:10,0.003,0.008,,,
arm,2016,,3/23/2016 18:15,0.001,0.009,,,
arm,2016,,3/23/2016 18:20,0.001,0.01,,,
arm,2016,,3/23/2016 18:25,0.001,0.011,,,
arm,2016,,4/20/2016 5:20,0.001,0.001,,,
arm,2016,,4/20/2016 5:25,0.002,0.003,,,
arm,2016,,4/20/2016 5:30,0.001,0.004,,,
arm,2016,,4/20/2016 5:55,0.001,0.005,,,
arm,2016,,4/20/2016 6:10,0.001,0.006,,,
arm,2016,,4/20/2016 6:15,0.001,0.007,,,
arm,2016,,4/20/2016 6:20,0.001,0.008,,,
arm,2016,,4/20/2016 6:25,0.001,0.009,,,
arm,2016,,4/20/2016 6:30,0.001,0.01,,,
arm,2016,,4/20/2016 6:35,0.001,0.011,,,
arm,2016,,4/20/2016 6:40,0.001,0.012,,,
arm,2016,,4/20/2016 6:45,0.001,0.013,,,
arm,2016,,4/20/2016 6:50,0.001,0.014,,,
arm,2016,,4/20/2016 6:55,0.001,0.015,,,
arm,2016,,4/20/2016 7:00,0.001,0.016,,,
arm,2016,,4/20/2016 7:05,0.001,0.017,,,
arm,2016,,4/20/2016 7:10,0.001,0.018,,,
arm,2016,,4/20/2016 7:15,0.001,0.019,,,
arm,2016,,4/20/2016 7:20,0.001,0.02,,,
arm,2016,,4/20/2016 7:25,0.001,0.021,,,
arm,2016,,4/20/2016 7:30,0.001,0.022,,,
arm,2016,,4/20/2016 7:35,0.001,0.023,,,
arm,2016,,4/20/2016 7:40,0.001,0.024,,,
arm,2016,,4/20/2016 7:45,0.001,0.025,,,
arm,2016,,4/20/2016 8:45,0.001,0.026,,,
arm,2016,,4/20/2016 8:55,0.001,0.027,,,
arm,2016,,4/20/2016 9:05,0.001,0.028,,,
arm,2016,,4/20/2016 9:10,0.001,0.029,,,
arm,2016,,4/20/2016 9:15,0.001,0.03,,,
arm,2016,,4/20/2016 9:45,0.001,0.031,,,
arm,2016,,4/20/2016 11:15,0.002,0.033,,,
arm,2016,,4/20/2016 11:20,0.001,0.034,,,
arm,2016,,4/24/2016 18:00,0.001,0.035,,,
arm,2016,,4/24/2016 21:25,0.001,0.036,,,
arm,2016,,4/24/2016 21:30,0.001,0.037,,,
arm,2016,,4/24/2016 21:45,0.001,0.038,,,
arm,2016,,4/24/2016 21:50,0.001,0.039,,,
arm,2016,,4/24/2016 22:00,0.001,0.04,,,
arm,2016,,4/27/2016 0:55,0.001,0.041,,,
arm,2016,,4/27/2016 1:10,0.001,0.042,,,
arm,2016,,4/27/2016 1:20,0.001,0.043,,,
arm,2016,,4/27/2016 1:25,0.001,0.044,,,
arm,2016,,4/27/2016 1:35,0.001,0.045,,,
arm,2016,,4/27/2016 1:45,0.001,0.046,,,
arm,2016,,4/27/2016 2:00,0.001,0.047,,1001,
arm,2016,,4/27/2016 2:40,0.001,0.048,,1001,
arm,2016,,4/27/2016 3:15,0.001,0.049,,1001,
arm,2016,,4/27/2016 4:05,0.001,0.05,,1001,
arm,2016,,4/27/2016 4:45,0.001,0.051,,1001,
arm,2016,,4/27/2016 16:20,0.001,0.052,,1001,
arm,2016,,4/27/2016 16:25,0.001,0.053,,1001,
arm,2016,,4/27/2016 16:30,0.003,0.056,,1001,
arm,2016,,4/27/2016 16:35,0.005,0.061,,1001,
arm,2016,,4/27/2016 16:40,0.004,0.065,,1001,
arm,2016,,4/27/2016 16:45,0.004,0.069,,1001,
arm,2016,,4/27/2016 16:50,0.001,0.07,,1001,
arm,2016,,4/27/2016 16:55,0.001,0.071,,1001,
arm,2016,,4/27/2016 17:00,0.002,0.073,,1001,
arm,2016,,4/27/2016 17:05,0.001,0.074,,1001,
arm,2016,,4/27/2016 17:10,0.001,0.075,,1001,
arm,2016,,4/27/2016 17:15,0.001,0.076,,1001,
arm,2016,,4/27/2016 17:20,0.001,0.077,,1001,
arm,2016,,4/27/2016 17:45,0.001,0.078,,1001,
arm,2016,,4/27/2016 18:00,0.001,0.079,,1001,
arm,2016,,4/27/2016 18:05,0.001,0.08,,1001,
arm,2016,,4/27/2016 18:15,0.001,0.081,,1001,
arm,2016,,4/27/2016 18:30,0.001,0.082,,1001,
arm,2016,,4/27/2016 18:40,0.001,0.083,,1001,
arm,2016,,4/27/2016 18:50,0.001,0.084,,1001,
arm,2016,,4/30/2016 3:45,0.001,0.085,,1001,
arm,2016,,4/30/2016 4:25,0.001,0.086,,1001,
arm,2016,,4/30/2016 4:30,0.001,0.087,,1001,
arm,2016,,4/30/2016 5:35,0.001,0.088,,1001,
arm,2016,,4/30/2016 5:45,0.001,0.089,,1001,
arm,2016,,4/30/2016 5:55,0.001,0.09,,1001,
arm,2016,,4/30/2016 6:00,0.001,0.091,,1001,
arm,2016,,4/30/2016 6:05,0.001,0.092,,1001,
arm,2016,,4/30/2016 6:10,0.001,0.093,,1001,
arm,2016,,4/30/2016 6:15,0.001,0.094,,1001,
arm,2016,,4/30/2016 6:20,0.001,0.095,,1001,
arm,2016,,4/30/2016 6:25,0.001,0.096,,1001,
arm,2016,,4/30/2016 6:30,0.001,0.097,,1001,
arm,2016,,4/30/2016 6:40,0.001,0.098,,1001,
arm,2016,,4/30/2016 6:45,0.001,0.099,,1001,
arm,2016,,4/30/2016 6:50,0.001,0.1,,1001,
arm,2016,,4/30/2016 6:55,0.001,0.101,,1001,
arm,2016,,4/30/2016 7:00,0.001,0.102,,1001,
arm,2016,,4/30/2016 7:05,0.001,0.103,,1001,
arm,2016,,4/30/2016 7:10,0.001,0.104,,1001,
arm,2016,,4/30/2016 7:20,0.001,0.105,,1001,
arm,2016,,4/30/2016 7:25,0.001,0.106,,1001,
arm,2016,,4/30/2016 7:30,0.001,0.107,,1001,
arm,2016,,4/30/2016 7:45,0.001,0.108,,1001,
arm,2016,,4/30/2016 7:50,0.001,0.109,,1001,
arm,2016,,4/30/2016 8:05,0.001,0.11,,1001,
arm,2016,,4/30/2016 8:20,0.001,0.111,1000,1001,
arm,2016,,4/30/2016 8:30,0.001,0.112,1000,1001,
arm,2016,,4/30/2016 8:35,0.001,0.113,1000,1001,
arm,2016,,4/30/2016 8:55,0.001,0.114,1000,1001,
arm,2016,,4/30/2016 9:05,0.001,0.115,1000,1001,
arm,2016,,4/30/2016 9:40,0.001,0.116,1000,1001,
arm,2016,,4/30/2016 9:45,0.001,0.117,1000,1001,
arm,2016,,4/30/2016 19:45,0,0.117,1000,1001,
arm,2016,,5/1/2016 9:40,0,0.117,,1001,
arm,2016,,5/9/2016 2:05,0.001,0.118,,1006,
arm,2016,,5/9/2016 2:10,0.001,0.119,,1006,
arm,2016,,5/9/2016 2:15,0.001,0.12,,1006,
arm,2016,,5/9/2016 3:15,0.001,0.121,,1006,
arm,2016,,5/9/2016 3:20,0.003,0.124,,1006,
arm,2016,,5/9/2016 3:25,0.006,0.13,,1006,
arm,2016,,5/9/2016 3:30,0.004,0.134,,1006,
arm,2016,,5/9/2016 3:35,0.001,0.135,,1006,
arm,2016,,5/9/2016 3:40,0.001,0.136,,1006,
arm,2016,,5/9/2016 3:45,0.001,0.137,,1006,
arm,2016,,5/9/2016 5:05,0.001,0.138,,1006,
arm,2016,,5/9/2016 5:10,0.001,0.139,,1006,
arm,2016,,5/9/2016 5:15,0.001,0.14,,1006,
arm,2016,,5/9/2016 7:40,0.001,0.141,,1006,
arm,2016,,5/9/2016 7:45,0.001,0.142,,1006,
arm,2016,,5/9/2016 21:45,0.001,0.143,,1006,
arm,2016,,5/9/2016 21:50,0.001,0.144,,1006,
arm,2016,,5/9/2016 22:10,0.001,0.145,,1006,
arm,2016,,5/9/2016 22:15,0.001,0.146,,1006,
arm,2016,,5/9/2016 22:20,0.001,0.147,,1006,
arm,2016,,5/9/2016 22:25,0.001,0.148,,1006,
arm,2016,,5/9/2016 22:30,0.001,0.149,,1006,
arm,2016,,5/9/2016 22:35,0.001,0.15,,1006,
arm,2016,,5/9/2016 23:15,0.001,0.151,,1006,
arm,2016,,5/9/2016 23:20,0.001,0.152,,1006,
arm,2016,,5/11/2016 8:05,0.001,0.153,,1006,
arm,2016,,5/11/2016 8:10,0.003,0.156,,1006,
arm,2016,,5/11/2016 8:15,0.003,0.159,,1006,
arm,2016,,5/11/2016 8:20,0.001,0.16,,1006,
arm,2016,,5/11/2016 8:25,0.001,0.161,,1006,
arm,2016,,5/11/2016 8:30,0.002,0.163,,1006,
arm,2016,,5/11/2016 8:35,0.002,0.165,,1006,
arm,2016,,5/11/2016 8:40,0.001,0.166,,1006,
arm,2016,,5/11/2016 8:45,0.001,0.167,,1006,
arm,2016,,5/11/2016 8:50,0.001,0.168,,1006,
arm,2016,,5/12/2016 8:45,0,0.168,,1006,
arm,2016,,5/19/2016 8:45,0,0.168,,,1
arm,2016,,5/24/2016 1:30,0.002,0.17,,,1
arm,2016,,5/24/2016 1:35,0.001,0.171,,,1
arm,2016,,5/25/2016 2:45,0.001,0.172,,,1
arm,2016,,5/25/2016 2:50,0.002,0.174,,,1
arm,2016,,5/25/2016 2:55,0.001,0.175,,,1
arm,2016,,5/25/2016 6:40,0.001,0.176,,,1
arm,2016,,5/25/2016 6:55,0.001,0.177,,,1
arm,2016,,5/26/2016 0:30,0.001,0.178,,1008,1
arm,2016,,5/26/2016 1:50,0.001,0.179,,1008,1
arm,2016,,5/26/2016 1:55,0.001,0.18,,1008,1
arm,2016,,5/26/2016 2:00,0.001,0.181,,1008,1
arm,2016,,5/26/2016 2:10,0.001,0.182,,1008,1
arm,2016,,5/26/2016 2:15,0.001,0.183,,1008,1
arm,2016,,5/26/2016 2:20,0.003,0.186,,1008,1
arm,2016,,5/26/2016 2:25,0.002,0.188,,1008,1
arm,2016,,5/26/2016 2:30,0.001,0.189,,1008,1
arm,2016,,5/26/2016 16:00,0.001,0.19,,1008,1
arm,2016,,5/26/2016 16:05,0.005,0.195,,1008,1
arm,2016,,5/26/2016 16:10,0.006,0.201,,1008,1
arm,2016,,5/26/2016 16:15,0.007,0.208,,1008,1
arm,2016,,5/26/2016 16:20,0.005,0.213,,1008,1
arm,2016,,5/26/2016 16:25,0.002,0.215,,1008,1
arm,2016,,5/26/2016 16:30,0.001,0.216,,1008,1
arm,2016,,5/26/2016 16:35,0.002,0.218,,1008,1
arm,2016,,5/26/2016 16:40,0.001,0.219,,1008,1
arm,2016,,5/26/2016 17:10,0.001,0.22,,1008,1
arm,2016,,5/26/2016 17:45,0.001,0.221,,1008,1
arm,2016,,5/26/2016 17:50,0.001,0.222,,1008,1
arm,2016,,5/26/2016 18:00,0.001,0.223,,1008,1
arm,2016,,5/26/2016 18:05,0.001,0.224,,1008,1
arm,2016,,5/26/2016 18:10,0.001,0.225,,1008,1
arm,2016,,5/26/2016 18:15,0.001,0.226,,1008,1
arm,2016,,5/26/2016 18:20,0.001,0.227,,1008,1
arm,2016,,5/26/2016 18:25,0.001,0.228,,1008,1
arm,2016,,5/26/2016 18:30,0.001,0.229,,1008,1
arm,2016,,5/26/2016 18:35,0.001,0.23,,1008,1
arm,2016,,5/26/2016 18:40,0.001,0.231,,1008,1
arm,2016,,5/26/2016 18:45,0.001,0.232,,1008,1
arm,2016,,5/26/2016 18:50,0.001,0.233,,1008,1
arm,2016,,5/26/2016 18:55,0.001,0.234,,1008,1
arm,2016,,5/26/2016 19:00,0.001,0.235,1007,1008,1
arm,2016,,5/26/2016 19:05,0.001,0.236,1007,1008,1
arm,2016,,5/26/2016 19:10,0.001,0.237,1007,1008,1
arm,2016,,5/26/2016 19:15,0.001,0.238,1007,1008,1
arm,2016,,5/26/2016 19:20,0.001,0.239,1007,1008,1
arm,2016,,5/26/2016 19:25,0.001,0.24,1007,1008,1
arm,2016,,5/27/2016 8:45,0,0.24,1007,1008,1
arm,2016,,5/27/2016 22:55,0.003,0.243,,1008,1
arm,2016,,5/27/2016 23:15,0.001,0.244,,1008,1
arm,2016,,5/27/2016 23:25,0.002,0.246,,1008,1
arm,2016,,5/28/2016 2:45,0.001,0.247,,1008,1
arm,2016,,5/29/2016 2:40,0,0.247,,1008,1
arm,2016,,5/31/2016 11:55,0.001,0.248,,,1
arm,2016,,6/3/2016 20:00,0.001,0.249,,,1
arm,2016,,6/3/2016 20:05,0.001,0.25,,,1
arm,2016,,6/3/2016 20:10,0.001,0.251,,,1
arm,2016,,6/3/2016 20:20,0.001,0.252,,,1
arm,2016,,6/16/2016 8:45,0,0.252,,,1
arm,2016,,6/17/2016 8:45,0,0.252,,,2
arm,2016,,6/20/2016 15:30,0.002,0.254,,,2
arm,2016,,6/20/2016 15:35,0.003,0.257,,,2
arm,2016,,6/20/2016 16:10,0.001,0.258,,,2
arm,2016,,6/20/2016 16:15,0.003,0.261,,,2
arm,2016,,6/20/2016 16:20,0.001,0.262,,,2
arm,2016,,6/20/2016 16:30,0.001,0.263,,,2
arm,2016,,6/20/2016 16:50,0.001,0.264,,,2
arm,2016,,6/20/2016 16:55,0.001,0.265,,,2
arm,2016,,6/20/2016 17:00,0.001,0.266,,,2
arm,2016,,6/20/2016 17:05,0.001,0.267,,,2
arm,2016,,6/20/2016 17:10,0.002,0.269,,,2
arm,2016,,6/20/2016 17:20,0.002,0.271,,,2
arm,2016,,6/20/2016 17:25,0.001,0.272,,,2
arm,2016,,6/20/2016 17:30,0.001,0.273,,,2
arm,2016,,6/26/2016 1:50,0.001,0.274,,,2
arm,2016,,6/26/2016 2:05,0.001,0.275,,,2
arm,2016,,6/26/2016 2:10,0.001,0.276,,,2
arm,2016,,6/26/2016 2:15,0.003,0.279,,,2
arm,2016,,6/26/2016 2:20,0.001,0.28,,,2
arm,2016,,6/26/2016 2:30,0.001,0.281,,,2
arm,2016,,6/26/2016 2:35,0.001,0.282,,,2
arm,2016,,6/26/2016 2:40,0.003,0.285,,,2
arm,2016,,6/26/2016 2:45,0.002,0.287,,,2
arm,2016,,6/26/2016 2:50,0.001,0.288,,,2
arm,2016,,6/26/2016 2:55,0.001,0.289,,,2
arm,2016,,6/27/2016 15:15,0.001,0.29,,,2
arm,2016,,6/27/2016 15:20,0.001,0.291,,,2
arm,2016,,6/30/2016 8:45,0,0.291,,,2
arm,2016,,7/2/2016 6:20,0.001,0.292,,,
arm,2016,,7/2/2016 6:25,0.001,0.293,,,
arm,2016,,7/2/2016 6:30,0.001,0.294,,,
arm,2016,,7/2/2016 6:35,0.001,0.295,,,
arm,2016,,7/2/2016 6:40,0.001,0.296,,,
arm,2016,,7/2/2016 6:45,0.001,0.297,,,
arm,2016,,7/2/2016 10:35,0.001,0.298,,,
arm,2016,,7/7/2016 2:05,0.002,0.3,,,
arm,2016,,7/7/2016 2:10,0.005,0.305,,,
arm,2016,,7/7/2016 2:15,0.003,0.308,,,
arm,2016,,7/7/2016 2:20,0.002,0.31,,,
arm,2016,,7/7/2016 2:25,0.002,0.312,,,
arm,2016,,7/7/2016 2:30,0.001,0.313,,,
arm,2016,,7/7/2016 5:10,0.001,0.314,,,
arm,2016,,7/7/2016 5:15,0.001,0.315,,,
arm,2016,,7/7/2016 5:20,0.001,0.316,,,
arm,2016,,7/7/2016 5:30,0.001,0.317,,,
arm,2016,,7/7/2016 5:35,0.001,0.318,,,
arm,2016,,7/7/2016 5:40,0.001,0.319,,,
arm,2016,,7/11/2016 22:20,0.001,0.32,,,
arm,2016,,7/11/2016 22:30,0.001,0.321,,,
arm,2016,,7/11/2016 22:35,0.001,0.322,,,
arm,2016,,7/11/2016 22:40,0.001,0.323,,,
arm,2016,,7/11/2016 22:45,0.001,0.324,,,
arm,2016,,7/11/2016 22:50,0.001,0.325,,,
arm,2016,,7/11/2016 23:00,0.001,0.326,,,
arm,2016,,7/11/2016 23:05,0.001,0.327,,,
arm,2016,,7/11/2016 23:10,0.003,0.33,,,
arm,2016,,7/11/2016 23:15,0.002,0.332,,,
arm,2016,,7/11/2016 23:20,0.002,0.334,,,
arm,2016,,7/11/2016 23:25,0.002,0.336,,,
arm,2016,,7/11/2016 23:30,0.002,0.338,,,
arm,2016,,7/11/2016 23:35,0.002,0.34,,,
arm,2016,,7/11/2016 23:40,0.001,0.341,,,
arm,2016,,7/11/2016 23:45,0.001,0.342,,,
arm,2016,,7/11/2016 23:50,0.001,0.343,,,
arm,2016,,7/12/2016 0:00,0.001,0.344,,,
arm,2016,,7/12/2016 0:15,0.001,0.345,,,
arm,2016,,7/12/2016 0:20,0.001,0.346,,,
arm,2016,,7/12/2016 0:30,0.001,0.347,,,
arm,2016,,7/12/2016 0:35,0.001,0.348,,,
arm,2016,,7/18/2016 0:50,0.001,0.349,,1016,
arm,2016,,7/18/2016 0:55,0.001,0.35,,1016,
arm,2016,,7/18/2016 1:00,0.001,0.351,,1016,
arm,2016,,7/18/2016 1:20,0.001,0.352,,1016,
arm,2016,,7/18/2016 2:55,0.001,0.353,,1016,
arm,2016,,7/18/2016 3:00,0.003,0.356,,1016,
arm,2016,,7/18/2016 3:05,0.002,0.358,,1016,
arm,2016,,7/18/2016 3:10,0.001,0.359,,1016,
arm,2016,,7/18/2016 3:15,0.006,0.365,,1016,
arm,2016,,7/18/2016 3:20,0.004,0.369,,1016,
arm,2016,,7/18/2016 3:25,0.003,0.372,,1016,
arm,2016,,7/18/2016 3:30,0.001,0.373,,1016,
arm,2016,,7/18/2016 3:40,0.001,0.374,,1016,
arm,2016,,7/18/2016 3:50,0.001,0.375,,1016,
arm,2016,,7/18/2016 3:55,0.001,0.376,,1016,
arm,2016,,7/18/2016 4:00,0.002,0.378,,1016,
arm,2016,,7/18/2016 4:05,0.001,0.379,,1016,
arm,2016,,7/18/2016 4:10,0.001,0.38,,1016,
arm,2016,,7/18/2016 4:25,0.001,0.381,,1016,
arm,2016,,7/18/2016 4:30,0.001,0.382,,1016,
arm,2016,,7/18/2016 4:35,0.003,0.385,,1016,
arm,2016,,7/18/2016 4:40,0.001,0.386,,1016,
arm,2016,,7/18/2016 4:55,0.001,0.387,,1016,
arm,2016,,7/18/2016 5:00,0.001,0.388,,1016,
arm,2016,,7/18/2016 5:05,0.004,0.392,,1016,
arm,2016,,7/18/2016 5:10,0.003,0.395,,1016,
arm,2016,,7/18/2016 5:15,0.003,0.398,,1016,
arm,2016,,7/18/2016 5:20,0.002,0.4,,1016,
arm,2016,,7/18/2016 5:25,0.001,0.401,,1016,
arm,2016,,7/18/2016 5:30,0.001,0.402,,1016,
arm,2016,,7/18/2016 5:35,0.001,0.403,,1016,
arm,2016,,7/18/2016 5:50,0.001,0.404,,1016,
arm,2016,,7/18/2016 19:15,0,0.404,,1016,
arm,2016,,7/19/2016 13:10,0.003,0.407,,,
arm,2016,,7/19/2016 13:15,0.002,0.409,,,
arm,2016,,7/19/2016 13:20,0.001,0.41,,,
arm,2016,,7/19/2016 13:25,0.001,0.411,,,
arm,2016,,7/19/2016 13:30,0.001,0.412,,,
arm,2016,,7/19/2016 13:35,0.001,0.413,,,
arm,2016,,7/31/2016 5:15,0.001,0.414,,,
arm,2016,,7/31/2016 5:20,0.003,0.417,,,
arm,2016,,7/31/2016 5:25,0.001,0.418,,,
arm,2016,,7/31/2016 5:30,0.001,0.419,,,
arm,2016,,8/1/2016 4:55,0.001,0.42,,,
arm,2016,,8/1/2016 5:00,0.001,0.421,,,
arm,2016,,8/1/2016 5:05,0.001,0.422,,,
arm,2016,,8/1/2016 5:10,0.001,0.423,,,
arm,2016,,8/1/2016 8:40,0.001,0.424,,,
arm,2016,,8/11/2016 20:30,0.001,0.425,,,
arm,2016,,8/11/2016 20:35,0.001,0.426,,,
arm,2016,,8/11/2016 21:05,0.001,0.427,,,
arm,2016,,8/11/2016 21:10,0.002,0.429,,,
arm,2016,,8/11/2016 21:15,0.002,0.431,,,
