site,year,date_time,rain,fstrips,fcontrol,pad,,
arm,2016,3/15/2016 1:55,0.001,,,,,
arm,2016,3/15/2016 2:00,0.001,,,,,
arm,2016,3/15/2016 2:05,0.001,,,,,
arm,2016,3/15/2016 2:10,0.001,,,,,
arm,2016,3/15/2016 2:15,0.001,,,,,
arm,2016,3/15/2016 2:20,0.001,,,,,
arm,2016,3/15/2016 2:25,0.001,,,,,
arm,2016,3/15/2016 2:30,0.001,,,,,
arm,2016,3/23/2016 17:25,0.001,,,,,
arm,2016,3/23/2016 18:00,0.002,,,,,
arm,2016,3/23/2016 18:05,0.002,,,,,
arm,2016,3/23/2016 18:10,0.003,,,,,
arm,2016,3/23/2016 18:15,0.001,,,,,
arm,2016,3/23/2016 18:20,0.001,,,,,
arm,2016,3/23/2016 18:25,0.001,,,,,
arm,2016,4/20/2016 5:20,0.001,,,,,
arm,2016,4/20/2016 5:25,0.002,,,,,
arm,2016,4/20/2016 5:30,0.001,,,,,
arm,2016,4/20/2016 5:55,0.001,,,,,
arm,2016,4/20/2016 6:10,0.001,,,,,
arm,2016,4/20/2016 6:15,0.001,,,,,
arm,2016,4/20/2016 6:20,0.001,,,,,
arm,2016,4/20/2016 6:25,0.001,,,,,
arm,2016,4/20/2016 6:30,0.001,,,,,
arm,2016,4/20/2016 6:35,0.001,,,,,
arm,2016,4/20/2016 6:40,0.001,,,,,
arm,2016,4/20/2016 6:45,0.001,,,,,
arm,2016,4/20/2016 6:50,0.001,,,,,
arm,2016,4/20/2016 6:55,0.001,,,,,
arm,2016,4/20/2016 7:00,0.001,,,,,
arm,2016,4/20/2016 7:05,0.001,,,,,
arm,2016,4/20/2016 7:10,0.001,,,,,
arm,2016,4/20/2016 7:15,0.001,,,,,
arm,2016,4/20/2016 7:20,0.001,,,,,
arm,2016,4/20/2016 7:25,0.001,,,,,
arm,2016,4/20/2016 7:30,0.001,,,,,
arm,2016,4/20/2016 7:35,0.001,,,,,
arm,2016,4/20/2016 7:40,0.001,,,,,
arm,2016,4/20/2016 7:45,0.001,,,,,
arm,2016,4/20/2016 8:45,0.001,,,,,
arm,2016,4/20/2016 8:55,0.001,,,,,
arm,2016,4/20/2016 9:05,0.001,,,,,
arm,2016,4/20/2016 9:10,0.001,,,,,
arm,2016,4/20/2016 9:15,0.001,,,,,
arm,2016,4/20/2016 9:45,0.001,,,,,
arm,2016,4/20/2016 11:15,0.002,,,,,
arm,2016,4/20/2016 11:20,0.001,,,,,
arm,2016,4/24/2016 18:00,0.001,,,,,
arm,2016,4/24/2016 21:25,0.001,,,,,
arm,2016,4/24/2016 21:30,0.001,,,,,
arm,2016,4/24/2016 21:45,0.001,,,,,
arm,2016,4/24/2016 21:50,0.001,,,,,
arm,2016,4/24/2016 22:00,0.001,,,,,
arm,2016,4/27/2016 0:55,0.001,,,,,
arm,2016,4/27/2016 1:10,0.001,,,,,
arm,2016,4/27/2016 1:20,0.001,,,,,
arm,2016,4/27/2016 1:25,0.001,,,,,
arm,2016,4/27/2016 1:35,0.001,,,,,
arm,2016,4/27/2016 1:45,0.001,,,,,
arm,2016,4/27/2016 2:00,0.001,,1001,,,
arm,2016,4/27/2016 2:40,0.001,,1001,,,
arm,2016,4/27/2016 3:15,0.001,,1001,,,
arm,2016,4/27/2016 4:05,0.001,,1001,,,
arm,2016,4/27/2016 4:45,0.001,,1001,,,
arm,2016,4/27/2016 16:20,0.001,,1001,,,
arm,2016,4/27/2016 16:25,0.001,,1001,,,
arm,2016,4/27/2016 16:30,0.003,,1001,,,
arm,2016,4/27/2016 16:35,0.005,,1001,,,
arm,2016,4/27/2016 16:40,0.004,,1001,,,
arm,2016,4/27/2016 16:45,0.004,,1001,,,
arm,2016,4/27/2016 16:50,0.001,,1001,,,
arm,2016,4/27/2016 16:55,0.001,,1001,,,
arm,2016,4/27/2016 17:00,0.002,,1001,,,
arm,2016,4/27/2016 17:05,0.001,,1001,,,
arm,2016,4/27/2016 17:10,0.001,,1001,,,
arm,2016,4/27/2016 17:15,0.001,,1001,,,
arm,2016,4/27/2016 17:20,0.001,,1001,,,
arm,2016,4/27/2016 17:45,0.001,,1001,,,
arm,2016,4/27/2016 18:00,0.001,,1001,,,
arm,2016,4/27/2016 18:05,0.001,,1001,,,
arm,2016,4/27/2016 18:15,0.001,,1001,,,
arm,2016,4/27/2016 18:30,0.001,,1001,,,
arm,2016,4/27/2016 18:40,0.001,,1001,,,
arm,2016,4/27/2016 18:50,0.001,,1001,,,
arm,2016,4/30/2016 3:45,0.001,,1001,,,
arm,2016,4/30/2016 4:25,0.001,,1001,,,
arm,2016,4/30/2016 4:30,0.001,,1001,,,
arm,2016,4/30/2016 5:35,0.001,,1001,,,
arm,2016,4/30/2016 5:45,0.001,,1001,,,
