site,year,date_time,rain,fstrips,fcontrol,pad
eia,2016,3/13/2016 5:20,0.001,,,
eia,2016,3/13/2016 5:25,0.001,,,
eia,2016,3/13/2016 5:30,0.001,,,
eia,2016,3/13/2016 5:35,0.001,,,
eia,2016,3/15/2016 6:55,0.001,,,
eia,2016,3/15/2016 7:00,0.001,,,
eia,2016,3/15/2016 17:45,0.001,,,
eia,2016,3/15/2016 17:50,0.001,,,
eia,2016,3/23/2016 22:40,0.001,,,
eia,2016,3/23/2016 22:55,0.001,,,
eia,2016,3/23/2016 23:00,0.001,,,
eia,2016,3/23/2016 23:05,0.001,,,
eia,2016,3/23/2016 23:10,0.001,,,
eia,2016,3/23/2016 23:15,0.001,,,
eia,2016,3/23/2016 23:20,0.001,,,
eia,2016,3/23/2016 23:25,0.001,,,
eia,2016,3/23/2016 23:30,0.001,,,
eia,2016,3/23/2016 23:35,0.001,,,
eia,2016,3/23/2016 23:40,0.001,,,
eia,2016,3/23/2016 23:45,0.001,,,
eia,2016,3/23/2016 23:50,0.001,,,
eia,2016,3/24/2016 0:00,0.001,,,
eia,2016,3/30/2016 23:00,0.001,,,
eia,2016,3/30/2016 23:05,0.001,,,
eia,2016,4/5/2016 23:05,0.001,,,
eia,2016,4/5/2016 23:10,0.001,,,
eia,2016,4/5/2016 23:15,0.001,,,
eia,2016,4/5/2016 23:20,0.001,,,
eia,2016,4/5/2016 23:25,0.001,,,
eia,2016,4/5/2016 23:30,0.001,,,
eia,2016,4/5/2016 23:35,0.001,,,
eia,2016,4/5/2016 23:40,0.001,,,
eia,2016,4/5/2016 23:45,0.001,,,
eia,2016,4/5/2016 23:50,0.001,,,
eia,2016,4/5/2016 23:55,0.001,,,
eia,2016,4/6/2016 0:00,0.001,,,
eia,2016,4/6/2016 0:05,0.001,,,
eia,2016,4/6/2016 0:10,0.001,,,
eia,2016,4/6/2016 0:15,0.001,,,
eia,2016,4/6/2016 0:20,0.001,,,
eia,2016,4/6/2016 0:25,0.001,,,
eia,2016,4/6/2016 0:35,0.001,,,
eia,2016,4/6/2016 1:00,0.001,,,
eia,2016,4/6/2016 1:05,0.001,,,
eia,2016,4/6/2016 1:10,0.001,,,
eia,2016,4/6/2016 1:15,0.001,,,
eia,2016,4/6/2016 1:20,0.001,,,
eia,2016,4/6/2016 1:25,0.001,,,
eia,2016,4/6/2016 1:30,0.001,,,
eia,2016,4/6/2016 1:45,0.001,,,
eia,2016,4/6/2016 1:55,0.001,,,
eia,2016,4/6/2016 14:25,0.001,,,
eia,2016,4/10/2016 11:45,0.001,,,
eia,2016,4/27/2016 9:20,0.001,,,
eia,2016,4/27/2016 9:25,0.001,,,
eia,2016,4/27/2016 9:30,0.001,,,
eia,2016,4/27/2016 12:05,0.001,,,
eia,2016,4/27/2016 22:25,0.001,,,
eia,2016,4/27/2016 22:30,0.001,,,
eia,2016,4/27/2016 22:35,0.001,,,
eia,2016,4/27/2016 23:00,0.001,,,
eia,2016,4/27/2016 23:05,0.001,,,
eia,2016,4/27/2016 23:15,0.001,,,
eia,2016,4/27/2016 23:20,0.001,,,
eia,2016,4/27/2016 23:25,0.001,,,
eia,2016,4/30/2016 9:45,0.001,,,
eia,2016,4/30/2016 11:45,0.001,,,
eia,2016,4/30/2016 12:20,0.001,,,
eia,2016,4/30/2016 12:45,0.001,,,
eia,2016,4/30/2016 12:50,0.001,,,
eia,2016,4/30/2016 13:00,0.001,,,
eia,2016,4/30/2016 13:05,0.001,1002,,
eia,2016,4/30/2016 13:10,0.001,1002,,
eia,2016,4/30/2016 13:15,0.001,1002,,
eia,2016,4/30/2016 13:20,0.001,1002,,
eia,2016,4/30/2016 13:25,0.001,1002,,
eia,2016,4/30/2016 14:00,0.001,1002,,
eia,2016,4/30/2016 14:10,0.001,1002,,
eia,2016,5/1/2016 14:05,0,1002,,
eia,2016,5/3/2016 23:50,0.001,,,
eia,2016,5/8/2016 7:30,0.001,,,
eia,2016,5/8/2016 7:35,0.001,,,
eia,2016,5/9/2016 17:50,0.001,,,
eia,2016,5/9/2016 17:55,0.001,,,
eia,2016,5/9/2016 18:00,0.001,,,
eia,2016,5/9/2016 18:05,0.001,,,
eia,2016,5/9/2016 18:10,0.001,,,
eia,2016,5/9/2016 18:15,0.001,,,
eia,2016,5/9/2016 18:25,0.001,,,
eia,2016,5/9/2016 18:35,0.001,,,
eia,2016,5/9/2016 18:40,0.001,,,
eia,2016,5/9/2016 18:45,0.001,,,
eia,2016,5/13/2016 15:30,0.001,,,
eia,2016,5/18/2016 8:45,0,,,1
eia,2016,5/24/2016 5:00,0.001,,,1
eia,2016,5/24/2016 5:05,0.001,,,1
eia,2016,5/26/2016 3:55,0.001,,,1
eia,2016,5/26/2016 4:45,0.001,,,1
eia,2016,5/26/2016 4:50,0.001,,,1
eia,2016,5/26/2016 5:00,0.001,,,1
eia,2016,5/26/2016 5:05,0.001,,,1
eia,2016,5/26/2016 5:10,0.001,,,1
eia,2016,5/27/2016 22:55,0.001,,,1
eia,2016,5/28/2016 0:00,0.001,,,1
eia,2016,5/28/2016 0:10,0.001,,,1
eia,2016,5/28/2016 0:15,0.001,,,1
eia,2016,5/28/2016 0:20,0.001,,,1
eia,2016,5/28/2016 0:30,0.001,,,1
eia,2016,5/28/2016 3:25,0.001,,,1
eia,2016,5/28/2016 3:35,0.001,,,1
eia,2016,5/28/2016 13:55,0.002,,,1
eia,2016,5/28/2016 14:00,0.003,,,1
eia,2016,5/28/2016 14:05,0.004,,,1
eia,2016,5/30/2016 20:15,0.001,,,1
eia,2016,5/30/2016 20:20,0.001,,,1
eia,2016,5/31/2016 20:05,0.002,,,1
eia,2016,5/31/2016 20:10,0.002,,,1
eia,2016,5/31/2016 20:20,0.001,,,1
eia,2016,5/31/2016 20:25,0.001,,,1
eia,2016,5/31/2016 20:30,0.001,,,1
eia,2016,5/31/2016 20:35,0.001,,,1
eia,2016,5/31/2016 20:40,0.001,,,1
eia,2016,5/31/2016 20:45,0.001,,,1
eia,2016,6/4/2016 1:45,0.002,,,1
eia,2016,6/4/2016 1:50,0.006,1009,,1
eia,2016,6/4/2016 1:55,0.006,1009,,1
eia,2016,6/4/2016 2:00,0.001,1009,,1
eia,2016,6/4/2016 18:15,0.001,1009,,1
eia,2016,6/4/2016 18:20,0.002,1009,,1
eia,2016,6/4/2016 18:45,0.001,1009,,1
eia,2016,6/4/2016 18:50,0.002,1009,,1
eia,2016,6/4/2016 18:55,0.005,1009,,1
eia,2016,6/4/2016 19:00,0.001,1009,,1
eia,2016,6/4/2016 19:20,0.001,1009,,1
eia,2016,6/6/2016 11:15,0.001,1009,,1
eia,2016,6/5/2016 19:15,0,1009,,1
eia,2016,6/7/2016 8:45,0,,,2
eia,2016,6/9/2016 4:50,0.001,,,2
eia,2016,6/9/2016 4:55,0.003,,,2
eia,2016,6/9/2016 5:00,0.001,,,2
eia,2016,6/11/2016 2:10,0.001,,,2
eia,2016,6/11/2016 2:15,0.001,,,2
eia,2016,6/11/2016 2:20,0.001,,,2
eia,2016,6/11/2016 2:25,0.002,,,2
eia,2016,6/11/2016 2:30,0.001,,,2
eia,2016,6/14/2016 12:05,0.001,,,2
eia,2016,6/14/2016 12:10,0.001,,,2
eia,2016,6/14/2016 12:15,0.001,,,2
eia,2016,6/14/2016 12:20,0.002,,,2
eia,2016,6/14/2016 12:55,0.001,,,2
eia,2016,6/14/2016 20:20,0.001,,,2
eia,2016,6/14/2016 20:25,0.005,,,2
eia,2016,6/14/2016 22:20,0.001,,,2
eia,2016,6/14/2016 22:25,0.001,,,2
eia,2016,6/20/2016 6:30,0.001,,,2
eia,2016,6/20/2016 6:35,0.002,,,2
eia,2016,6/20/2016 6:40,0.001,,,2
eia,2016,6/22/2016 0:30,0.001,,,2
eia,2016,6/22/2016 0:35,0.002,,,2
eia,2016,6/22/2016 0:40,0.001,,,2
eia,2016,6/22/2016 0:45,0.002,,,2
eia,2016,6/22/2016 0:50,0.001,,,2
eia,2016,6/22/2016 1:00,0.004,1010,,2
eia,2016,6/22/2016 1:05,0.003,1010,,2
eia,2016,6/22/2016 1:10,0.002,1010,,2
eia,2016,6/22/2016 1:15,0.004,1010,,2
eia,2016,6/22/2016 1:20,0.006,1010,1011,2
eia,2016,6/22/2016 1:25,0.014,1010,1011,2
eia,2016,6/22/2016 1:30,0.003,1010,1011,2
eia,2016,6/22/2016 1:35,0.002,1010,1011,2
eia,2016,6/22/2016 1:40,0.004,1010,1011,2
eia,2016,6/22/2016 1:45,0.004,1010,1011,2
eia,2016,6/22/2016 1:50,0.004,1010,1011,2
eia,2016,6/22/2016 1:55,0.007,1010,1011,2
eia,2016,6/22/2016 2:00,0.003,1010,1011,2
eia,2016,6/22/2016 2:05,0.003,1010,1011,2
eia,2016,6/22/2016 2:10,0.006,1010,1011,2
eia,2016,6/22/2016 2:15,0.003,1010,1011,2
eia,2016,6/22/2016 2:20,0.002,1010,1011,2
eia,2016,6/22/2016 2:25,0.003,1010,1011,2
