SiteID,precipitation,rain_time,sampleID,subtreatment,Treatment,rf_event,Year,flow_time,ro_event,flow,tss_sum,rf_rate,random
ARM,0.011,231,1001,control,control,10,2016,10721,17,17194.897,17.70880466,2.857142857,NR
ARM,0.011,231,NS,prairie strip,strips,10,2016,0,a17,0,0,2.857142857,NR
ARM,0.033,151,1001,control,control,12,2016,10721,17,17194.897,17.70880466,13.11258278,NR
ARM,0.033,151,NS,prairie strip,strips,12,2016,0,a17,0,0,13.11258278,NR
ARM,0.033,361,1001,control,control,14,2016,10721,17,17194.897,17.70880466,5.484764543,NR
ARM,0.033,361,1000,prairie strip,strips,14,2016,691,12,802.293,0.202753734,5.484764543,NR
ARM,0.025,341,1006,control,control,16,2016,6641,19,14240.346,11.30092702,4.398826979,NR
ARM,0.025,341,NS,prairie strip,strips,16,2016,0,a19,0,0,4.398826979,NR
ARM,0.01,96,1006,control,control,18,2016,6641,19,14240.346,11.30092702,6.25,NR
ARM,0.01,96,NS,prairie strip,strips,18,2016,0,a19,0,0,6.25,NR
ARM,0.016,46,1006,control,control,20,2016,6641,19,14240.346,11.30092702,20.86956522,NR
ARM,0.016,46,1006,prairie strip,strips,20,2016,0,a19,0,0,20.86956522,NR
ARM,0.012,121,1008,control,control,26,2016,5466,37,23738.361,61.53595112,5.950413223,NR
ARM,0.012,121,NS,prairie strip,strips,26,2016,0,a37,0,0,5.950413223,NR
ARM,0.051,206,1008,control,control,28,2016,5466,37,23738.361,61.53595112,14.85436893,NR
ARM,0.051,206,1007,prairie strip,strips,28,2016,826,14,1604.461,0.086412892,14.85436893,NR
ARM,0.007,231,1008,control,control,30,2016,5466,37,23738.361,61.53595112,1.818181818,NR
ARM,0.007,231,NS,prairie strip,strips,30,2016,0,a37,0,0,1.818181818,NR
ARM,0.056,301,1016,control,control,48,2016,1126,57,4413.512,1.513254485,11.1627907,NR
ARM,0.056,301,NS,prairie strip,strips,48,2016,0,a57,0,0,11.1627907,NR
ARM,0.047,126,1034,control,control,80,2016,26,123,20.8,0.003297607,22.38095238,NR
ARM,0.047,126,NS,prairie strip,strips,80,2016,0,a123,0,0,22.38095238,NR
ARM,0.028,261,2007,control,control,22,2017,2266,20,1053.45,4.967727228,6.436781609,NR
ARM,0.028,261,NS,prairie strip,strips,22,2017,0,b20,0,0,6.436781609,NR
ARM,0.05,1176,2011,control,control,24,2017,2451,26,6049.647,11.63584483,2.551020408,NR
ARM,0.05,1176,2012,control,control,24,2017,2451,26,6049.647,4.803453331,2.551020408,NR
ARM,0.05,1176,NS,prairie strip,strips,24,2017,0,b26,0,0,2.551020408,NR
ARM,0.019,146,2014,control,control,26,2017,4031,28,9944.343,8.513913491,7.808219178,NR
ARM,0.019,146,NS,prairie strip,strips,26,2017,0,b28,0,0,7.808219178,NR
ARM,0.024,641,2014,control,control,28,2017,4031,28,9944.343,8.513913491,2.24648986,NR
ARM,0.024,641,2015,prairie strip,strips,28,2017,336,10,261.986,0.014110014,2.24648986,NR
ARM,0.035,521,2020,control,control,38,2017,96,44,187.058,0.275019461,4.030710173,NR
ARM,0.035,521,NS,prairie strip,strips,38,2017,0,b44,0,0,4.030710173,NR
ARM,0.055,31,2022,control,control,42,2017,2901,46,16227.983,28.63822551,106.4516129,NR
ARM,0.055,31,2021,prairie strip,strips,42,2017,576,12,3436.717,0.256284475,106.4516129,NR
ARM,0.02,496,3046,control,control,72,2018,181,17,421.114,0.085212247,2.419354839,NR
ARM,0.02,496,NS,prairie strip,strips,72,2018,0,c17,0,0,2.419354839,NR
ARM,0.018,646,3048,control,control,78,2018,1276,21,5056.601,0.195652991,1.671826625,NR
ARM,0.018,646,NS,prairie strip,strips,78,2018,0,c21,0,0,1.671826625,NR
ARM,0.021,96,3075,control,control,98,2018,421,25,3804.778,0.180291934,13.125,NR
ARM,0.021,96,NS,prairie strip,strips,98,2018,0,c25,0,0,13.125,NR
ARM,0.052,456,4013,control,control,24,2019,661,10,681.16,2.167175397,6.842105263,NR
ARM,0.052,456,NS,prairie strip,strips,24,2019,0,d10,0,0,6.842105263,NR
ARM,0.024,261,4017,control,control,30,2019,1161,16,2623.566,8.399633621,5.517241379,NR
ARM,0.024,261,4016,prairie strip,strips,30,2019,656,12,4441.809,0.653272317,5.517241379,NR
ARM,0.06,101,4043,control,control,52,2019,461,24,452.92,22.62740997,35.64356436,NR
ARM,0.06,101,NS,prairie strip,strips,52,2019,0,d24,0,0,35.64356436,NR
ARM,0.064,696,4051,control,control,86,2019,31,28,608.061,1.445341171,5.517241379,NR
ARM,0.064,696,4051,control,control,86,2019,46,30,117.539,0.279386371,5.517241379,NR
ARM,0.064,696,NS,prairie strip,strips,86,2019,0,d30,0,0,5.517241379,NR
ARM,0.029,151,4053,control,control,88,2019,71,32,3036.538,3.499987412,11.52317881,NR
ARM,0.029,151,NS,prairie strip,strips,88,2019,0,d32,0,0,11.52317881,NR
ARM,0.048,456,4056,control,control,94,2019,621,36,6288.616,3.006721611,6.315789474,NR
ARM,0.048,456,NS,prairie strip,strips,94,2019,0,d36,0,0,6.315789474,NR
ARM,0.014,36,4063,control,control,98,2019,216,40,1455.414,0.569116633,23.33333333,NR
ARM,0.014,36,NS,prairie strip,strips,98,2019,0,d40,0,0,23.33333333,NR
ARM,0.015,166,4065,control,control,102,2019,796,42,1428.299,0.685351401,5.421686747,NR
ARM,0.015,166,NS,prairie strip,strips,102,2019,0,d42,0,0,5.421686747,NR
EIA,0.013,266,NS,prairie strip,strips,22,2016,0,a18,0,0,2.932330827,R
EIA,0.013,266,1002,prairie strip,strips,22,2016,3506,18,1207.933,0.020899248,2.932330827,R
EIA,0.015,16,NS,control,control,44,2016,0,a46,0,0,56.25,R
EIA,0.015,16,1009,prairie strip,strips,44,2016,9226,46,6677.659,0.201366784,56.25,R
EIA,0.013,66,NS,control,control,46,2016,0,a46,0,0,11.81818182,R
EIA,0.013,66,1009,prairie strip,strips,46,2016,9226,46,6677.659,0.201366784,11.81818182,R
EIA,0.129,496,1011,control,control,60,2016,2341,18,76397.393,11.53258131,15.60483871,R
EIA,0.129,496,1010,prairie strip,strips,60,2016,15421,54,124586.827,0.767643528,15.60483871,R
EIA,0.02,136,NS,control,control,64,2016,0,a54,0,0,8.823529412,R
EIA,0.02,136,1012,prairie strip,strips,64,2016,15421,54,124586.827,0.231084685,8.823529412,R
EIA,0.015,91,NS,control,control,74,2016,0,a60,0,0,9.89010989,R
EIA,0.015,91,1015,prairie strip,strips,74,2016,876,60,338.804,0.000741966,9.89010989,R
EIA,0.021,71,NS,control,control,78,2016,0,a64,0,0,17.74647887,R
EIA,0.021,71,1017,prairie strip,strips,78,2016,5136,64,2092.783,0.190270448,17.74647887,R
EIA,0.021,71,1017,prairie strip,strips,78,2016,236,68,194.991,0.029891543,17.74647887,R
EIA,0.03,46,NS,control,control,82,2016,0,a68,0,0,39.13043478,R
EIA,0.03,46,1017,prairie strip,strips,82,2016,5136,64,2092.783,0.190270448,39.13043478,R
EIA,0.03,46,1017,prairie strip,strips,82,2016,236,68,194.991,0.029891543,39.13043478,R
EIA,0.11,241,1020,control,control,86,2016,2071,68,58417.219,8.54253176,27.38589212,R
EIA,0.11,241,1019,prairie strip,strips,86,2016,3971,70,103744.018,3.927855667,27.38589212,R
EIA,0.11,241,1022,prairie strip,strips,86,2016,3971,70,103744.018,0.048486347,27.38589212,R
EIA,0.062,1071,1024,control,control,98,2016,1816,102,23057.473,2.359052018,3.473389356,R
EIA,0.062,1071,1023,prairie strip,strips,98,2016,1741,86,31320.114,0.205687822,3.473389356,R
EIA,0.031,131,1027,control,control,102,2016,316,104,2096.791,0.521034555,14.19847328,R
EIA,0.031,131,1026,prairie strip,strips,102,2016,35381,92,111145.804,0.263366957,14.19847328,R
EIA,0.062,141,1032,control,control,104,2016,4486,116,44304.789,2.302286001,26.38297872,R
EIA,0.062,141,1031,prairie strip,strips,104,2016,35381,92,111145.804,1.02063893,26.38297872,R
EIA,0.029,186,NS,control,control,108,2016,0,a102,0,0,9.35483871,R
EIA,0.029,186,1036,prairie strip,strips,108,2016,24736,102,26216.996,0.910995145,9.35483871,R
EIA,0.019,371,NS,control,control,110,2016,0,a102,0,0,3.07277628,R
EIA,0.019,371,1037,prairie strip,strips,110,2016,24736,102,26216.996,0.041579676,3.07277628,R
EIA,0.019,371,1038,prairie strip,strips,110,2016,24736,102,26216.996,0.255437694,3.07277628,R
EIA,0.026,61,3012,control,control,22,2018,3121,10,25799.587,9.730638821,25.57377049,R
EIA,0.026,61,3011,prairie strip,strips,22,2018,3461,16,29752.349,76.34594749,25.57377049,R
EIA,0.056,136,3012,control,control,24,2018,3121,10,25799.587,9.730638821,24.70588235,R
EIA,0.056,136,3011,prairie strip,strips,24,2018,3461,16,29752.349,76.34594749,24.70588235,R
EIA,0.047,746,3020,control,control,28,2018,5166,14,76910.36,0.12104337,3.780160858,R
EIA,0.047,746,3022,prairie strip,strips,28,2018,2681,26,7572.156,0.187583968,3.780160858,R
EIA,0.012,466,3026,control,control,32,2018,5166,14,76910.36,11.27534233,1.545064378,R
EIA,0.012,466,3025,prairie strip,strips,32,2018,2681,26,7572.156,0.014121221,1.545064378,R
EIA,0.012,466,3025,prairie strip,strips,32,2018,641,28,90949.729,1.422611595,1.545064378,R
