site,year,date_time,rain,fstrips,fcontrol,pad
hoe,2016,9/9/2016 4:00,0.00102,,,
hoe,2016,9/9/2016 4:05,0,,SPL1050,
hoe,2016,9/9/2016 5:00,0.00432,,SPL1051,
hoe,2016,9/9/2016 6:00,0.0033,,SPL1052,
hoe,2016,9/9/2016 8:00,0.01168,,SPL1053,
hoe,2016,9/9/2016 9:00,0.00406,,SPL1054,
hoe,2016,9/9/2016 10:00,0.00152,,SPL1055,
hoe,2016,9/9/2016 13:55,0,,SPL1050,
hoe,2016,9/9/2016 14:00,0.00279,,,
hoe,2016,9/9/2016 15:00,0.00076,,,
hoe,2016,9/15/2016 7:00,0.00025,,,
hoe,2016,9/15/2016 8:00,0.00178,,SPL1051,
hoe,2016,9/15/2016 9:00,0.00025,,SPL1052,
hoe,2016,9/15/2016 14:00,0.016,,SPL1053,
hoe,2016,9/15/2016 15:00,0.02337,,SPL1054,
hoe,2016,9/15/2016 16:00,0.00838,,SPL1055,
hoe,2016,9/15/2016 17:00,0.00254,,SPL1056,
hoe,2016,9/15/2016 18:00,0.00254,,SPL1057,
hoe,2016,9/15/2016 19:00,0.00229,,SPL1058,
hoe,2016,9/15/2016 20:00,0.00279,,SPL1059,
hoe,2016,9/15/2016 21:00,0.0033,,SPL1060,
hoe,2016,9/15/2016 22:00,0.00025,,SPL1061,
hoe,2016,9/15/2016 23:00,0.00025,,SPL1062,
hoe,2016,9/16/2016 11:10,0,,SPL1051,
hoe,2016,9/24/2016 16:50,0.003,,,
hoe,2016,9/25/2016 3:05,0.001,,,
hoe,2016,9/25/2016 3:10,0.001,,,
hoe,2016,9/25/2016 3:15,0.001,,,
hoe,2016,9/25/2016 3:20,0.001,,,
hoe,2016,9/25/2016 3:25,0.002,,,
hoe,2016,9/25/2016 3:30,0.001,,,
hoe,2016,9/25/2016 3:35,0.001,,,
hoe,2016,9/25/2016 3:40,0.001,,,
hoe,2016,9/25/2016 4:40,0.001,,,
hoe,2016,9/25/2016 4:45,0.001,,,
hoe,2016,10/4/2016 18:25,0.001,,SPL1052,
hoe,2016,10/4/2016 18:30,0.001,,SPL1052,
