"watershed","date_time","rain","treatment","site","year","cumulative_rain","watershed_year"
"mcnayctl",2017-04-03 07:35:00,0.001,"control","mcnay",2017,0.0393701,"mcnayctl_2017"
"mcnayctl",2017-04-03 07:40:00,0.001,"control","mcnay",2017,0.0787402,"mcnayctl_2017"
"mcnayctl",2017-04-03 07:45:00,0.001,"control","mcnay",2017,0.1181103,"mcnayctl_2017"
"mcnayctl",2017-04-03 07:50:00,0.001,"control","mcnay",2017,0.1574804,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:00:00,0.001,"control","mcnay",2017,0.1968505,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:10:00,0.001,"control","mcnay",2017,0.2362206,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:15:00,0.001,"control","mcnay",2017,0.2755907,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:20:00,0.001,"control","mcnay",2017,0.3149608,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:25:00,0.001,"control","mcnay",2017,0.3543309,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:35:00,0.001,"control","mcnay",2017,0.393701,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:40:00,0.001,"control","mcnay",2017,0.4330711,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:45:00,0.001,"control","mcnay",2017,0.4724412,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:50:00,0.001,"control","mcnay",2017,0.5118113,"mcnayctl_2017"
"mcnayctl",2017-04-03 08:55:00,0.001,"control","mcnay",2017,0.5511814,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:00:00,0.001,"control","mcnay",2017,0.5905515,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:05:00,0.001,"control","mcnay",2017,0.6299216,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:10:00,0.001,"control","mcnay",2017,0.6692917,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:20:00,0.001,"control","mcnay",2017,0.7086618,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:25:00,0.001,"control","mcnay",2017,0.7480319,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:30:00,0.001,"control","mcnay",2017,0.787402,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:35:00,0.001,"control","mcnay",2017,0.8267721,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:40:00,0.001,"control","mcnay",2017,0.8661422,"mcnayctl_2017"
"mcnayctl",2017-04-03 09:50:00,0.001,"control","mcnay",2017,0.9055123,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:10:00,0.001,"control","mcnay",2017,0.9448824,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:15:00,0.001,"control","mcnay",2017,0.9842525,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:20:00,0.001,"control","mcnay",2017,1.0236226,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:25:00,0.001,"control","mcnay",2017,1.0629927,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:30:00,0.001,"control","mcnay",2017,1.1023628,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:35:00,0.001,"control","mcnay",2017,1.1417329,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:40:00,0.001,"control","mcnay",2017,1.181103,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:45:00,0.001,"control","mcnay",2017,1.2204731,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:50:00,0.001,"control","mcnay",2017,1.2598432,"mcnayctl_2017"
"mcnayctl",2017-04-03 10:55:00,0.001,"control","mcnay",2017,1.2992133,"mcnayctl_2017"
"mcnayctl",2017-04-03 11:00:00,0.001,"control","mcnay",2017,1.3385834,"mcnayctl_2017"
"mcnayctl",2017-04-03 11:05:00,0.001,"control","mcnay",2017,1.3779535,"mcnayctl_2017"
"mcnayctl",2017-04-04 14:30:00,0.001,"control","mcnay",2017,1.4173236,"mcnayctl_2017"
"mcnayctl",2017-04-05 00:45:00,0.001,"control","mcnay",2017,1.4566937,"mcnayctl_2017"
"mcnayctl",2017-04-05 01:05:00,0.001,"control","mcnay",2017,1.4960638,"mcnayctl_2017"
"mcnayctl",2017-04-05 05:05:00,0.001,"control","mcnay",2017,1.5354339,"mcnayctl_2017"
"mcnayctl",2017-04-05 05:50:00,0.001,"control","mcnay",2017,1.574804,"mcnayctl_2017"
"mcnayctl",2017-04-05 07:50:00,0.001,"control","mcnay",2017,1.6141741,"mcnayctl_2017"
"mcnayctl",2017-04-05 08:05:00,0.001,"control","mcnay",2017,1.6535442,"mcnayctl_2017"
"mcnayctl",2017-04-05 08:10:00,0.001,"control","mcnay",2017,1.6929143,"mcnayctl_2017"
"mcnayctl",2017-04-05 08:30:00,0.001,"control","mcnay",2017,1.7322844,"mcnayctl_2017"
"mcnayctl",2017-04-10 00:25:00,0.002,"control","mcnay",2017,1.8110246,"mcnayctl_2017"
"mcnayctl",2017-04-10 00:30:00,0.001,"control","mcnay",2017,1.8503947,"mcnayctl_2017"
"mcnayctl",2017-04-10 01:30:00,0.001,"control","mcnay",2017,1.8897648,"mcnayctl_2017"
"mcnayctl",2017-04-14 09:35:00,0.001,"control","mcnay",2017,1.9291349,"mcnayctl_2017"
"mcnayctl",2017-04-14 09:40:00,0.001,"control","mcnay",2017,1.968505,"mcnayctl_2017"
"mcnayctl",2017-04-14 16:00:00,0.001,"control","mcnay",2017,2.0078751,"mcnayctl_2017"
"mcnayctl",2017-04-14 16:05:00,0.001,"control","mcnay",2017,2.0472452,"mcnayctl_2017"
"mcnayctl",2017-04-15 21:00:00,0.001,"control","mcnay",2017,2.0866153,"mcnayctl_2017"
"mcnayctl",2017-04-15 21:05:00,0.001,"control","mcnay",2017,2.1259854,"mcnayctl_2017"
"mcnayctl",2017-04-15 21:10:00,0.001,"control","mcnay",2017,2.1653555,"mcnayctl_2017"
"mcnayctl",2017-04-15 21:15:00,0.002,"control","mcnay",2017,2.2440957,"mcnayctl_2017"
"mcnayctl",2017-04-15 23:25:00,0.001,"control","mcnay",2017,2.2834658,"mcnayctl_2017"
"mcnayctl",2017-04-15 23:40:00,0.003,"control","mcnay",2017,2.4015761,"mcnayctl_2017"
"mcnayctl",2017-04-15 23:45:00,0.004,"control","mcnay",2017,2.5590565,"mcnayctl_2017"
"mcnayctl",2017-04-15 23:50:00,0.004,"control","mcnay",2017,2.7165369,"mcnayctl_2017"
"mcnayctl",2017-04-15 23:55:00,0.003,"control","mcnay",2017,2.8346472,"mcnayctl_2017"
"mcnayctl",2017-04-16 00:00:00,0.002,"control","mcnay",2017,2.9133874,"mcnayctl_2017"
