"watershed","date_time","rain","treatment","site","year","cumulative_rain","watershed_year"
"rhodestrt",2016-03-13 02:50:00,0.001,"treatment","rhodes",2016,0.0393701,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:00:00,0.001,"treatment","rhodes",2016,0.0787402,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:05:00,0.001,"treatment","rhodes",2016,0.1181103,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:10:00,0.001,"treatment","rhodes",2016,0.1574804,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:15:00,0.001,"treatment","rhodes",2016,0.1968505,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:20:00,0.001,"treatment","rhodes",2016,0.2362206,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:25:00,0.001,"treatment","rhodes",2016,0.2755907,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:30:00,0.001,"treatment","rhodes",2016,0.3149608,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:35:00,0.001,"treatment","rhodes",2016,0.3543309,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:40:00,0.001,"treatment","rhodes",2016,0.393701,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:45:00,0.001,"treatment","rhodes",2016,0.4330711,"rhodestrt_2016"
"rhodestrt",2016-03-15 15:50:00,0.001,"treatment","rhodes",2016,0.4724412,"rhodestrt_2016"
"rhodestrt",2016-03-15 16:05:00,0.001,"treatment","rhodes",2016,0.5118113,"rhodestrt_2016"
"rhodestrt",2016-03-15 16:20:00,0.001,"treatment","rhodes",2016,0.5511814,"rhodestrt_2016"
"rhodestrt",2016-03-15 16:30:00,0.001,"treatment","rhodes",2016,0.5905515,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:15:00,0.001,"treatment","rhodes",2016,0.6299216,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:20:00,0.001,"treatment","rhodes",2016,0.6692917,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:30:00,0.001,"treatment","rhodes",2016,0.7086618,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:35:00,0.001,"treatment","rhodes",2016,0.7480319,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:40:00,0.001,"treatment","rhodes",2016,0.787402,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:45:00,0.001,"treatment","rhodes",2016,0.8267721,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:50:00,0.001,"treatment","rhodes",2016,0.8661422,"rhodestrt_2016"
"rhodestrt",2016-03-23 20:55:00,0.001,"treatment","rhodes",2016,0.9055123,"rhodestrt_2016"
"rhodestrt",2016-03-23 21:00:00,0.001,"treatment","rhodes",2016,0.9448824,"rhodestrt_2016"
"rhodestrt",2016-03-23 21:05:00,0.001,"treatment","rhodes",2016,0.9842525,"rhodestrt_2016"
"rhodestrt",2016-03-23 21:10:00,0.002,"treatment","rhodes",2016,1.0629927,"rhodestrt_2016"
"rhodestrt",2016-03-23 21:15:00,0.001,"treatment","rhodes",2016,1.1023628,"rhodestrt_2016"
"rhodestrt",2016-03-30 20:25:00,0.001,"treatment","rhodes",2016,1.1417329,"rhodestrt_2016"
"rhodestrt",2016-03-30 20:30:00,0.001,"treatment","rhodes",2016,1.181103,"rhodestrt_2016"
"rhodestrt",2016-03-30 20:35:00,0.001,"treatment","rhodes",2016,1.2204731,"rhodestrt_2016"
"rhodestrt",2016-03-30 20:40:00,0.001,"treatment","rhodes",2016,1.2598432,"rhodestrt_2016"
"rhodestrt",2016-03-30 21:10:00,0.001,"treatment","rhodes",2016,1.2992133,"rhodestrt_2016"
"rhodestrt",2016-04-01 00:55:00,0.001,"treatment","rhodes",2016,1.3385834,"rhodestrt_2016"
"rhodestrt",2016-04-01 01:15:00,0.001,"treatment","rhodes",2016,1.3779535,"rhodestrt_2016"
"rhodestrt",2016-04-05 22:55:00,0.001,"treatment","rhodes",2016,1.4173236,"rhodestrt_2016"
"rhodestrt",2016-04-05 23:35:00,0.001,"treatment","rhodes",2016,1.4566937,"rhodestrt_2016"
"rhodestrt",2016-04-06 00:00:00,0.001,"treatment","rhodes",2016,1.4960638,"rhodestrt_2016"
"rhodestrt",2016-04-06 00:05:00,0.001,"treatment","rhodes",2016,1.5354339,"rhodestrt_2016"
"rhodestrt",2016-04-06 00:10:00,0.001,"treatment","rhodes",2016,1.574804,"rhodestrt_2016"
"rhodestrt",2016-04-06 00:15:00,0.001,"treatment","rhodes",2016,1.6141741,"rhodestrt_2016"
"rhodestrt",2016-04-06 00:25:00,0.001,"treatment","rhodes",2016,1.6535442,"rhodestrt_2016"
"rhodestrt",2016-04-20 08:10:00,0.001,"treatment","rhodes",2016,1.6929143,"rhodestrt_2016"
"rhodestrt",2016-04-20 11:30:00,0.001,"treatment","rhodes",2016,1.7322844,"rhodestrt_2016"
"rhodestrt",2016-04-20 12:55:00,0.001,"treatment","rhodes",2016,1.7716545,"rhodestrt_2016"
"rhodestrt",2016-04-21 18:30:00,0.001,"treatment","rhodes",2016,1.8110246,"rhodestrt_2016"
"rhodestrt",2016-04-25 00:35:00,0.001,"treatment","rhodes",2016,1.8503947,"rhodestrt_2016"
"rhodestrt",2016-04-27 07:45:00,0.001,"treatment","rhodes",2016,1.8897648,"rhodestrt_2016"
"rhodestrt",2016-04-27 07:55:00,0.001,"treatment","rhodes",2016,1.9291349,"rhodestrt_2016"
"rhodestrt",2016-04-27 08:00:00,0.001,"treatment","rhodes",2016,1.968505,"rhodestrt_2016"
"rhodestrt",2016-04-27 09:10:00,0.001,"treatment","rhodes",2016,2.0078751,"rhodestrt_2016"
"rhodestrt",2016-04-27 20:45:00,0.001,"treatment","rhodes",2016,2.0472452,"rhodestrt_2016"
"rhodestrt",2016-04-27 20:55:00,0.001,"treatment","rhodes",2016,2.0866153,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:00:00,0.001,"treatment","rhodes",2016,2.1259854,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:05:00,0.001,"treatment","rhodes",2016,2.1653555,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:10:00,0.001,"treatment","rhodes",2016,2.2047256,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:15:00,0.001,"treatment","rhodes",2016,2.2440957,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:20:00,0.001,"treatment","rhodes",2016,2.2834658,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:25:00,0.001,"treatment","rhodes",2016,2.3228359,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:30:00,0.001,"treatment","rhodes",2016,2.362206,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:35:00,0.001,"treatment","rhodes",2016,2.4015761,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:40:00,0.001,"treatment","rhodes",2016,2.4409462,"rhodestrt_2016"
"rhodestrt",2016-04-27 21:45:00,0.001,"treatment","rhodes",2016,2.4803163,"rhodestrt_2016"
"rhodestrt",2016-04-30 09:40:00,0.001,"treatment","rhodes",2016,2.5196864,"rhodestrt_2016"
"rhodestrt",2016-04-30 10:15:00,0.001,"treatment","rhodes",2016,2.5590565,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:05:00,0.001,"treatment","rhodes",2016,2.5984266,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:10:00,0.001,"treatment","rhodes",2016,2.6377967,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:15:00,0.001,"treatment","rhodes",2016,2.6771668,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:20:00,0.001,"treatment","rhodes",2016,2.7165369,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:25:00,0.001,"treatment","rhodes",2016,2.755907,"rhodestrt_2016"
"rhodestrt",2016-04-30 12:40:00,0.001,"treatment","rhodes",2016,2.7952771,"rhodestrt_2016"
"rhodestrt",2016-04-30 15:05:00,0.001,"treatment","rhodes",2016,2.8346472,"rhodestrt_2016"
"rhodestrt",2016-04-30 16:25:00,0.001,"treatment","rhodes",2016,2.8740173,"rhodestrt_2016"
"rhodestrt",2016-05-01 14:05:00,0.001,"treatment","rhodes",2016,2.9133874,"rhodestrt_2016"
"rhodestrt",2016-06-11 01:50:00,0.001,"treatment","rhodes",2016,2.9527575,"rhodestrt_2016"
"rhodestrt",2016-06-11 01:55:00,0.003,"treatment","rhodes",2016,3.0708678,"rhodestrt_2016"
"rhodestrt",2016-06-11 02:00:00,0.002,"treatment","rhodes",2016,3.149608,"rhodestrt_2016"
"rhodestrt",2016-06-11 02:05:00,0.001,"treatment","rhodes",2016,3.1889781,"rhodestrt_2016"
"rhodestrt",2016-06-11 03:50:00,0.001,"treatment","rhodes",2016,3.2283482,"rhodestrt_2016"
"rhodestrt",2016-06-11 03:55:00,0.006,"treatment","rhodes",2016,3.4645688,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:00:00,0.005,"treatment","rhodes",2016,3.6614193,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:05:00,0.001,"treatment","rhodes",2016,3.7007894,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:15:00,0.001,"treatment","rhodes",2016,3.7401595,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:20:00,0.001,"treatment","rhodes",2016,3.7795296,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:45:00,0.004,"treatment","rhodes",2016,3.93701,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:50:00,0.007,"treatment","rhodes",2016,4.2126007,"rhodestrt_2016"
"rhodestrt",2016-06-11 04:55:00,0.002,"treatment","rhodes",2016,4.2913409,"rhodestrt_2016"
"rhodestrt",2016-06-11 05:00:00,0.001,"treatment","rhodes",2016,4.330711,"rhodestrt_2016"
"rhodestrt",2016-06-14 19:50:00,0.001,"treatment","rhodes",2016,4.3700811,"rhodestrt_2016"
"rhodestrt",2016-06-14 20:40:00,0.001,"treatment","rhodes",2016,4.4094512,"rhodestrt_2016"
"rhodestrt",2016-06-14 20:45:00,0.001,"treatment","rhodes",2016,4.4488213,"rhodestrt_2016"
"rhodestrt",2016-06-14 20:50:00,0.001,"treatment","rhodes",2016,4.4881914,"rhodestrt_2016"
"rhodestrt",2016-06-14 21:00:00,0.001,"treatment","rhodes",2016,4.5275615,"rhodestrt_2016"
"rhodestrt",2016-06-20 06:10:00,0.002,"treatment","rhodes",2016,4.6063017,"rhodestrt_2016"
"rhodestrt",2016-06-20 06:15:00,0.002,"treatment","rhodes",2016,4.6850419,"rhodestrt_2016"
"rhodestrt",2016-06-20 06:20:00,0.001,"treatment","rhodes",2016,4.724412,"rhodestrt_2016"
"rhodestrt",2016-06-21 19:45:00,0.003,"treatment","rhodes",2016,4.8425223,"rhodestrt_2016"
"rhodestrt",2016-06-21 22:30:00,0.001,"treatment","rhodes",2016,4.8818924,"rhodestrt_2016"
"rhodestrt",2016-06-26 02:10:00,0.001,"treatment","rhodes",2016,4.9212625,"rhodestrt_2016"
"rhodestrt",2016-06-26 02:15:00,0.001,"treatment","rhodes",2016,4.9606326,"rhodestrt_2016"
"rhodestrt",2016-06-26 02:20:00,0.003,"treatment","rhodes",2016,5.0787429,"rhodestrt_2016"
"rhodestrt",2016-06-26 02:25:00,0.001,"treatment","rhodes",2016,5.118113,"rhodestrt_2016"
"rhodestrt",2016-06-26 02:55:00,0.002,"treatment","rhodes",2016,5.1968532,"rhodestrt_2016"
"rhodestrt",2016-06-26 03:00:00,0.001,"treatment","rhodes",2016,5.2362233,"rhodestrt_2016"
"rhodestrt",2016-06-26 03:10:00,0.001,"treatment","rhodes",2016,5.2755934,"rhodestrt_2016"
"rhodestrt",2016-06-30 16:50:00,0.002,"treatment","rhodes",2016,5.3543336,"rhodestrt_2016"
"rhodestrt",2016-06-30 16:55:00,0.005,"treatment","rhodes",2016,5.5511841,"rhodestrt_2016"
