SiteID,random,control,strips,Scenario
ARM,NR,11.98,4.09,current
EIA,R,6.42,1.41,current
GUT,NR,1.09,0.25,current
MCN,R,12.6,3.79,current
NYK,NR,16.9,4.49,current
RDM,NR,0.74,0.1,current
RHO,R,20.06,4.15,current
SLO,NR,0.71,0.14,current
SMI,NR,2.48,1.17,current
STN,NR,3.5,0.94,current
WHI,NR,15.03,3.98,current
WOR,R,12.88,3.61,current
ARM,NR,17.64,15.84,none
EIA,R,7.03,6.24,none
GUT,NR,1.19,1.12,none
MCN,R,14.03,19.19,none
NYK,NR,21.51,24.47,none
RDM,NR,0.74,0.36,none
RHO,R,23.52,21.45,none
SLO,NR,0.79,0.7,none
SMI,NR,2.54,4.99,none
STN,NR,5.15,5.36,none
WHI,NR,15.03,18.9,none
WOR,R,13.19,17.46,none
ARM,NR,11.98,14.81,pre-prairie
EIA,R,6.42,5.72,pre-prairie
GUT,NR,1.09,1.06,pre-prairie
MCN,R,12.6,16.32,pre-prairie
NYK,NR,16.9,21.31,pre-prairie
RDM,NR,0.74,0.34,pre-prairie
RHO,R,20.06,18.68,pre-prairie
SLO,NR,0.71,0.64,pre-prairie
SMI,NR,2.48,4.85,pre-prairie
STN,NR,3.5,5.25,pre-prairie
WHI,NR,15.03,17.13,pre-prairie
WOR,R,12.88,17.13,pre-prairie
