"watershed","date_time","rain","treatment","site","year","cumulative_rain","watershed_year"
"whitetrt",2016-07-07 01:45:00,0.002,"treatment","white",2016,0.0787402,"whitetrt_2016"
"whitetrt",2016-07-07 01:50:00,0.004,"treatment","white",2016,0.2362206,"whitetrt_2016"
"whitetrt",2016-07-07 01:55:00,0.002,"treatment","white",2016,0.3149608,"whitetrt_2016"
"whitetrt",2016-07-07 02:00:00,0.002,"treatment","white",2016,0.393701,"whitetrt_2016"
"whitetrt",2016-07-07 02:05:00,0.001,"treatment","white",2016,0.4330711,"whitetrt_2016"
"whitetrt",2016-07-07 02:20:00,0.001,"treatment","white",2016,0.4724412,"whitetrt_2016"
"whitetrt",2016-07-07 02:30:00,0.001,"treatment","white",2016,0.5118113,"whitetrt_2016"
"whitetrt",2016-07-11 22:10:00,0.002,"treatment","white",2016,0.5905515,"whitetrt_2016"
"whitetrt",2016-07-11 22:15:00,0.002,"treatment","white",2016,0.6692917,"whitetrt_2016"
"whitetrt",2016-07-11 22:20:00,0.002,"treatment","white",2016,0.7480319,"whitetrt_2016"
"whitetrt",2016-07-11 22:25:00,0.002,"treatment","white",2016,0.8267721,"whitetrt_2016"
"whitetrt",2016-07-11 22:30:00,0.002,"treatment","white",2016,0.9055123,"whitetrt_2016"
"whitetrt",2016-07-11 22:35:00,0.002,"treatment","white",2016,0.9842525,"whitetrt_2016"
"whitetrt",2016-07-11 22:40:00,0.002,"treatment","white",2016,1.0629927,"whitetrt_2016"
"whitetrt",2016-07-11 22:45:00,0.001,"treatment","white",2016,1.1023628,"whitetrt_2016"
"whitetrt",2016-07-11 22:50:00,0.001,"treatment","white",2016,1.1417329,"whitetrt_2016"
"whitetrt",2016-07-11 22:55:00,0.001,"treatment","white",2016,1.181103,"whitetrt_2016"
"whitetrt",2016-07-11 23:00:00,0.001,"treatment","white",2016,1.2204731,"whitetrt_2016"
"whitetrt",2016-07-11 23:05:00,0.001,"treatment","white",2016,1.2598432,"whitetrt_2016"
"whitetrt",2016-07-11 23:10:00,0.001,"treatment","white",2016,1.2992133,"whitetrt_2016"
"whitetrt",2016-07-11 23:15:00,0.001,"treatment","white",2016,1.3385834,"whitetrt_2016"
"whitetrt",2016-07-11 23:20:00,0.001,"treatment","white",2016,1.3779535,"whitetrt_2016"
"whitetrt",2016-07-11 23:25:00,0.001,"treatment","white",2016,1.4173236,"whitetrt_2016"
"whitetrt",2016-07-11 23:30:00,0.001,"treatment","white",2016,1.4566937,"whitetrt_2016"
"whitetrt",2016-07-13 10:40:00,0.002,"treatment","white",2016,1.5354339,"whitetrt_2016"
"whitetrt",2016-07-13 10:45:00,0.002,"treatment","white",2016,1.6141741,"whitetrt_2016"
"whitetrt",2016-07-13 17:15:00,0.001,"treatment","white",2016,1.6535442,"whitetrt_2016"
"whitetrt",2016-07-13 17:20:00,0.002,"treatment","white",2016,1.7322844,"whitetrt_2016"
"whitetrt",2016-07-13 17:25:00,0.004,"treatment","white",2016,1.8897648,"whitetrt_2016"
"whitetrt",2016-07-13 17:30:00,0.001,"treatment","white",2016,1.9291349,"whitetrt_2016"
"whitetrt",2016-07-17 04:15:00,0.004,"treatment","white",2016,2.0866153,"whitetrt_2016"
"whitetrt",2016-07-17 04:20:00,0.002,"treatment","white",2016,2.1653555,"whitetrt_2016"
"whitetrt",2016-07-17 04:30:00,0.001,"treatment","white",2016,2.2047256,"whitetrt_2016"
"whitetrt",2016-07-17 07:40:00,0.001,"treatment","white",2016,2.2440957,"whitetrt_2016"
"whitetrt",2016-07-17 07:45:00,0.001,"treatment","white",2016,2.2834658,"whitetrt_2016"
"whitetrt",2016-07-17 08:05:00,0.001,"treatment","white",2016,2.3228359,"whitetrt_2016"
"whitetrt",2016-07-17 08:10:00,0.001,"treatment","white",2016,2.362206,"whitetrt_2016"
"whitetrt",2016-07-17 09:20:00,0.001,"treatment","white",2016,2.4015761,"whitetrt_2016"
"whitetrt",2016-07-17 09:25:00,0.001,"treatment","white",2016,2.4409462,"whitetrt_2016"
"whitetrt",2016-07-17 09:30:00,0.001,"treatment","white",2016,2.4803163,"whitetrt_2016"
"whitetrt",2016-07-18 02:55:00,0.002,"treatment","white",2016,2.5590565,"whitetrt_2016"
"whitetrt",2016-07-18 03:00:00,0.004,"treatment","white",2016,2.7165369,"whitetrt_2016"
"whitetrt",2016-07-18 03:05:00,0.002,"treatment","white",2016,2.7952771,"whitetrt_2016"
"whitetrt",2016-07-18 03:10:00,0.001,"treatment","white",2016,2.8346472,"whitetrt_2016"
"whitetrt",2016-07-18 03:20:00,0.001,"treatment","white",2016,2.8740173,"whitetrt_2016"
"whitetrt",2016-07-18 03:25:00,0.001,"treatment","white",2016,2.9133874,"whitetrt_2016"
"whitetrt",2016-07-18 03:30:00,0.001,"treatment","white",2016,2.9527575,"whitetrt_2016"
"whitetrt",2016-07-18 04:05:00,0.001,"treatment","white",2016,2.9921276,"whitetrt_2016"
"whitetrt",2016-07-18 04:10:00,0.001,"treatment","white",2016,3.0314977,"whitetrt_2016"
"whitetrt",2016-07-19 11:45:00,0.001,"treatment","white",2016,3.0708678,"whitetrt_2016"
"whitetrt",2016-07-19 11:55:00,0.001,"treatment","white",2016,3.1102379,"whitetrt_2016"
"whitetrt",2016-07-19 12:00:00,0.001,"treatment","white",2016,3.149608,"whitetrt_2016"
"whitetrt",2016-07-19 12:05:00,0.001,"treatment","white",2016,3.1889781,"whitetrt_2016"
"whitetrt",2016-07-19 12:15:00,0.003,"treatment","white",2016,3.3070884,"whitetrt_2016"
"whitetrt",2016-07-19 12:20:00,0.002,"treatment","white",2016,3.3858286,"whitetrt_2016"
"whitetrt",2016-07-19 12:25:00,0.001,"treatment","white",2016,3.4251987,"whitetrt_2016"
"whitetrt",2016-08-01 04:50:00,0.001,"treatment","white",2016,3.4645688,"whitetrt_2016"
"whitetrt",2016-08-01 04:55:00,0.001,"treatment","white",2016,3.5039389,"whitetrt_2016"
"whitetrt",2016-08-01 05:00:00,0.002,"treatment","white",2016,3.5826791,"whitetrt_2016"
"whitetrt",2016-08-01 05:05:00,0.001,"treatment","white",2016,3.6220492,"whitetrt_2016"
"whitetrt",2016-08-01 05:15:00,0.001,"treatment","white",2016,3.6614193,"whitetrt_2016"
"whitetrt",2016-08-01 05:30:00,0.001,"treatment","white",2016,3.7007894,"whitetrt_2016"
"whitetrt",2016-08-01 05:35:00,0.003,"treatment","white",2016,3.8188997,"whitetrt_2016"
"whitetrt",2016-08-01 05:40:00,0.001,"treatment","white",2016,3.8582698,"whitetrt_2016"
"whitetrt",2016-08-01 05:45:00,0.002,"treatment","white",2016,3.93701,"whitetrt_2016"
"whitetrt",2016-08-01 05:50:00,0.003,"treatment","white",2016,4.0551203,"whitetrt_2016"
"whitetrt",2016-08-01 05:55:00,0.002,"treatment","white",2016,4.1338605,"whitetrt_2016"
"whitetrt",2016-08-01 06:00:00,0.002,"treatment","white",2016,4.2126007,"whitetrt_2016"
"whitetrt",2016-08-01 06:05:00,0.001,"treatment","white",2016,4.2519708,"whitetrt_2016"
"whitetrt",2016-08-01 06:35:00,0.001,"treatment","white",2016,4.2913409,"whitetrt_2016"
"whitetrt",2016-08-01 06:40:00,0.001,"treatment","white",2016,4.330711,"whitetrt_2016"
"whitetrt",2016-08-01 06:45:00,0.002,"treatment","white",2016,4.4094512,"whitetrt_2016"
"whitetrt",2016-08-01 06:50:00,0.002,"treatment","white",2016,4.4881914,"whitetrt_2016"
"whitetrt",2016-08-01 06:55:00,0.001,"treatment","white",2016,4.5275615,"whitetrt_2016"
"whitetrt",2016-08-01 07:00:00,0.001,"treatment","white",2016,4.5669316,"whitetrt_2016"
"whitetrt",2016-08-01 07:05:00,0.002,"treatment","white",2016,4.6456718,"whitetrt_2016"
"whitetrt",2016-08-01 07:10:00,0.001,"treatment","white",2016,4.6850419,"whitetrt_2016"
"whitetrt",2016-08-01 07:15:00,0.001,"treatment","white",2016,4.724412,"whitetrt_2016"
"whitetrt",2016-08-01 07:20:00,0.002,"treatment","white",2016,4.8031522,"whitetrt_2016"
"whitetrt",2016-08-01 07:25:00,0.002,"treatment","white",2016,4.8818924,"whitetrt_2016"
"whitetrt",2016-08-01 07:30:00,0.001,"treatment","white",2016,4.9212625,"whitetrt_2016"
"whitetrt",2016-08-01 07:55:00,0.001,"treatment","white",2016,4.9606326,"whitetrt_2016"
"whitetrt",2016-08-01 08:00:00,0.001,"treatment","white",2016,5.0000027,"whitetrt_2016"
"whitetrt",2016-08-01 08:15:00,0.001,"treatment","white",2016,5.0393728,"whitetrt_2016"
"whitetrt",2016-08-01 08:20:00,0.001,"treatment","white",2016,5.0787429,"whitetrt_2016"
"whitetrt",2016-08-01 08:25:00,0.001,"treatment","white",2016,5.118113,"whitetrt_2016"
"whitetrt",2016-08-01 08:30:00,0.001,"treatment","white",2016,5.1574831,"whitetrt_2016"
