"watershed","date_time","rain","treatment","site","year","cumulative_rain","watershed_year"
"worlectl",2016-03-15 06:20:00,0.001,"control","worle",2016,0.0393701,"worlectl_2016"
"worlectl",2016-03-15 06:25:00,0.001,"control","worle",2016,0.0787402,"worlectl_2016"
"worlectl",2016-03-15 06:30:00,0.001,"control","worle",2016,0.1181103,"worlectl_2016"
"worlectl",2016-03-15 16:00:00,0.001,"control","worle",2016,0.1574804,"worlectl_2016"
"worlectl",2016-03-15 16:05:00,0.001,"control","worle",2016,0.1968505,"worlectl_2016"
"worlectl",2016-03-30 17:50:00,0.001,"control","worle",2016,0.2362206,"worlectl_2016"
"worlectl",2016-03-30 19:20:00,0.002,"control","worle",2016,0.3149608,"worlectl_2016"
"worlectl",2016-03-30 19:25:00,0.001,"control","worle",2016,0.3543309,"worlectl_2016"
"worlectl",2016-03-30 19:30:00,0.002,"control","worle",2016,0.4330711,"worlectl_2016"
"worlectl",2016-03-30 19:35:00,0.001,"control","worle",2016,0.4724412,"worlectl_2016"
"worlectl",2016-03-30 19:40:00,0.001,"control","worle",2016,0.5118113,"worlectl_2016"
"worlectl",2016-03-30 19:45:00,0.001,"control","worle",2016,0.5511814,"worlectl_2016"
"worlectl",2016-03-30 19:50:00,0.001,"control","worle",2016,0.5905515,"worlectl_2016"
"worlectl",2016-03-30 19:55:00,0.002,"control","worle",2016,0.6692917,"worlectl_2016"
"worlectl",2016-03-30 20:00:00,0.001,"control","worle",2016,0.7086618,"worlectl_2016"
"worlectl",2016-03-30 20:05:00,0.001,"control","worle",2016,0.7480319,"worlectl_2016"
"worlectl",2016-04-01 00:00:00,0.001,"control","worle",2016,0.787402,"worlectl_2016"
"worlectl",2016-04-01 00:05:00,0.001,"control","worle",2016,0.8267721,"worlectl_2016"
"worlectl",2016-04-01 00:10:00,0.001,"control","worle",2016,0.8661422,"worlectl_2016"
"worlectl",2016-04-01 00:15:00,0.001,"control","worle",2016,0.9055123,"worlectl_2016"
"worlectl",2016-04-01 00:20:00,0.001,"control","worle",2016,0.9448824,"worlectl_2016"
"worlectl",2016-04-01 01:10:00,0.001,"control","worle",2016,0.9842525,"worlectl_2016"
"worlectl",2016-04-20 08:35:00,0.001,"control","worle",2016,1.0236226,"worlectl_2016"
"worlectl",2016-04-20 08:40:00,0.001,"control","worle",2016,1.0629927,"worlectl_2016"
"worlectl",2016-04-20 11:15:00,0.001,"control","worle",2016,1.1023628,"worlectl_2016"
"worlectl",2016-04-20 11:30:00,0.001,"control","worle",2016,1.1417329,"worlectl_2016"
"worlectl",2016-04-20 11:35:00,0.001,"control","worle",2016,1.181103,"worlectl_2016"
"worlectl",2016-04-20 11:40:00,0.001,"control","worle",2016,1.2204731,"worlectl_2016"
"worlectl",2016-04-20 12:40:00,0.001,"control","worle",2016,1.2598432,"worlectl_2016"
"worlectl",2016-04-20 12:50:00,0.001,"control","worle",2016,1.2992133,"worlectl_2016"
"worlectl",2016-04-21 15:30:00,0.002,"control","worle",2016,1.3779535,"worlectl_2016"
"worlectl",2016-04-21 15:35:00,0.001,"control","worle",2016,1.4173236,"worlectl_2016"
"worlectl",2016-04-24 23:50:00,0.001,"control","worle",2016,1.4566937,"worlectl_2016"
"worlectl",2016-04-24 23:55:00,0.001,"control","worle",2016,1.4960638,"worlectl_2016"
"worlectl",2016-04-27 07:05:00,0.001,"control","worle",2016,1.5354339,"worlectl_2016"
"worlectl",2016-04-27 07:35:00,0.002,"control","worle",2016,1.6141741,"worlectl_2016"
"worlectl",2016-04-27 07:40:00,0.001,"control","worle",2016,1.6535442,"worlectl_2016"
"worlectl",2016-04-27 20:10:00,0.001,"control","worle",2016,1.6929143,"worlectl_2016"
"worlectl",2016-04-27 20:15:00,0.001,"control","worle",2016,1.7322844,"worlectl_2016"
"worlectl",2016-04-27 20:20:00,0.001,"control","worle",2016,1.7716545,"worlectl_2016"
"worlectl",2016-04-27 20:25:00,0.001,"control","worle",2016,1.8110246,"worlectl_2016"
"worlectl",2016-04-27 20:35:00,0.001,"control","worle",2016,1.8503947,"worlectl_2016"
"worlectl",2016-04-27 20:40:00,0.001,"control","worle",2016,1.8897648,"worlectl_2016"
"worlectl",2016-04-27 21:00:00,0.001,"control","worle",2016,1.9291349,"worlectl_2016"
"worlectl",2016-04-27 21:10:00,0.001,"control","worle",2016,1.968505,"worlectl_2016"
"worlectl",2016-04-27 21:20:00,0.001,"control","worle",2016,2.0078751,"worlectl_2016"
"worlectl",2016-04-30 10:20:00,0.001,"control","worle",2016,2.0472452,"worlectl_2016"
"worlectl",2016-04-30 10:25:00,0.001,"control","worle",2016,2.0866153,"worlectl_2016"
"worlectl",2016-04-30 10:30:00,0.001,"control","worle",2016,2.1259854,"worlectl_2016"
"worlectl",2016-04-30 10:35:00,0.001,"control","worle",2016,2.1653555,"worlectl_2016"
"worlectl",2016-04-30 10:55:00,0.001,"control","worle",2016,2.2047256,"worlectl_2016"
"worlectl",2016-04-30 11:05:00,0.001,"control","worle",2016,2.2440957,"worlectl_2016"
"worlectl",2016-04-30 11:10:00,0.001,"control","worle",2016,2.2834658,"worlectl_2016"
"worlectl",2016-04-30 11:25:00,0.001,"control","worle",2016,2.3228359,"worlectl_2016"
"worlectl",2016-04-30 11:30:00,0.001,"control","worle",2016,2.362206,"worlectl_2016"
"worlectl",2016-04-30 11:35:00,0.001,"control","worle",2016,2.4015761,"worlectl_2016"
"worlectl",2016-04-30 11:40:00,0.001,"control","worle",2016,2.4409462,"worlectl_2016"
"worlectl",2016-04-30 11:45:00,0.001,"control","worle",2016,2.4803163,"worlectl_2016"
"worlectl",2016-04-30 11:50:00,0.001,"control","worle",2016,2.5196864,"worlectl_2016"
"worlectl",2016-04-30 11:55:00,0.001,"control","worle",2016,2.5590565,"worlectl_2016"
"worlectl",2016-04-30 12:00:00,0.001,"control","worle",2016,2.5984266,"worlectl_2016"
"worlectl",2016-04-30 12:05:00,0.001,"control","worle",2016,2.6377967,"worlectl_2016"
"worlectl",2016-04-30 12:10:00,0.002,"control","worle",2016,2.7165369,"worlectl_2016"
"worlectl",2016-04-30 12:15:00,0.001,"control","worle",2016,2.755907,"worlectl_2016"
"worlectl",2016-04-30 12:20:00,0.001,"control","worle",2016,2.7952771,"worlectl_2016"
"worlectl",2016-04-30 12:30:00,0.001,"control","worle",2016,2.8346472,"worlectl_2016"
"worlectl",2016-04-30 12:35:00,0.001,"control","worle",2016,2.8740173,"worlectl_2016"
"worlectl",2016-04-30 12:40:00,0.001,"control","worle",2016,2.9133874,"worlectl_2016"
"worlectl",2016-04-30 15:35:00,0.001,"control","worle",2016,2.9527575,"worlectl_2016"
"worlectl",2016-04-30 15:40:00,0.001,"control","worle",2016,2.9921276,"worlectl_2016"
"worlectl",2016-05-09 05:55:00,0.001,"control","worle",2016,3.0314977,"worlectl_2016"
"worlectl",2016-05-09 07:50:00,0.001,"control","worle",2016,3.0708678,"worlectl_2016"
"worlectl",2016-05-09 07:55:00,0.002,"control","worle",2016,3.149608,"worlectl_2016"
"worlectl",2016-05-09 08:00:00,0.002,"control","worle",2016,3.2283482,"worlectl_2016"
"worlectl",2016-05-11 10:40:00,0.001,"control","worle",2016,3.2677183,"worlectl_2016"
"worlectl",2016-05-13 12:00:00,0.001,"control","worle",2016,3.3070884,"worlectl_2016"
"worlectl",2016-05-13 12:10:00,0.001,"control","worle",2016,3.3464585,"worlectl_2016"
"worlectl",2016-05-13 12:15:00,0.001,"control","worle",2016,3.3858286,"worlectl_2016"
"worlectl",2016-05-13 14:05:00,0.001,"control","worle",2016,3.4251987,"worlectl_2016"
"worlectl",2016-05-24 02:05:00,0.001,"control","worle",2016,3.4645688,"worlectl_2016"
"worlectl",2016-05-24 02:15:00,0.001,"control","worle",2016,3.5039389,"worlectl_2016"
"worlectl",2016-05-24 02:20:00,0.001,"control","worle",2016,3.543309,"worlectl_2016"
"worlectl",2016-05-24 02:40:00,0.001,"control","worle",2016,3.5826791,"worlectl_2016"
"worlectl",2016-05-24 02:45:00,0.001,"control","worle",2016,3.6220492,"worlectl_2016"
"worlectl",2016-05-25 05:30:00,0.002,"control","worle",2016,3.7007894,"worlectl_2016"
"worlectl",2016-05-25 05:35:00,0.001,"control","worle",2016,3.7401595,"worlectl_2016"
"worlectl",2016-05-25 08:55:00,0.002,"control","worle",2016,3.8188997,"worlectl_2016"
"worlectl",2016-05-25 09:00:00,0.002,"control","worle",2016,3.8976399,"worlectl_2016"
"worlectl",2016-05-25 09:05:00,0.001,"control","worle",2016,3.93701,"worlectl_2016"
"worlectl",2016-05-26 03:15:00,0.001,"control","worle",2016,3.9763801,"worlectl_2016"
"worlectl",2016-05-26 03:20:00,0.001,"control","worle",2016,4.0157502,"worlectl_2016"
"worlectl",2016-05-26 03:35:00,0.001,"control","worle",2016,4.0551203,"worlectl_2016"
"worlectl",2016-05-26 03:40:00,0.001,"control","worle",2016,4.0944904,"worlectl_2016"
"worlectl",2016-05-26 03:45:00,0.001,"control","worle",2016,4.1338605,"worlectl_2016"
"worlectl",2016-05-26 03:50:00,0.001,"control","worle",2016,4.1732306,"worlectl_2016"
"worlectl",2016-05-26 03:55:00,0.001,"control","worle",2016,4.2126007,"worlectl_2016"
"worlectl",2016-05-26 04:00:00,0.001,"control","worle",2016,4.2519708,"worlectl_2016"
"worlectl",2016-05-26 19:40:00,0.001,"control","worle",2016,4.2913409,"worlectl_2016"
"worlectl",2016-05-26 19:45:00,0.001,"control","worle",2016,4.330711,"worlectl_2016"
"worlectl",2016-05-27 09:00:00,0.001,"control","worle",2016,4.3700811,"worlectl_2016"
"worlectl",2016-05-27 09:05:00,0.001,"control","worle",2016,4.4094512,"worlectl_2016"
"worlectl",2016-05-27 09:10:00,0.002,"control","worle",2016,4.4881914,"worlectl_2016"
"worlectl",2016-05-27 09:15:00,0.001,"control","worle",2016,4.5275615,"worlectl_2016"
"worlectl",2016-05-27 09:40:00,0.001,"control","worle",2016,4.5669316,"worlectl_2016"
"worlectl",2016-05-27 10:05:00,0.001,"control","worle",2016,4.6063017,"worlectl_2016"
"worlectl",2016-05-27 10:30:00,0.001,"control","worle",2016,4.6456718,"worlectl_2016"
"worlectl",2016-05-27 10:35:00,0.001,"control","worle",2016,4.6850419,"worlectl_2016"
"worlectl",2016-05-27 10:40:00,0.001,"control","worle",2016,4.724412,"worlectl_2016"
"worlectl",2016-05-27 10:45:00,0.001,"control","worle",2016,4.7637821,"worlectl_2016"
"worlectl",2016-05-27 10:50:00,0.004,"control","worle",2016,4.9212625,"worlectl_2016"
"worlectl",2016-05-27 10:55:00,0.001,"control","worle",2016,4.9606326,"worlectl_2016"
"worlectl",2016-05-27 11:00:00,0.001,"control","worle",2016,5.0000027,"worlectl_2016"
"worlectl",2016-05-27 11:05:00,0.001,"control","worle",2016,5.0393728,"worlectl_2016"
"worlectl",2016-05-27 11:10:00,0.001,"control","worle",2016,5.0787429,"worlectl_2016"
"worlectl",2016-05-27 11:15:00,0.001,"control","worle",2016,5.118113,"worlectl_2016"
"worlectl",2016-05-27 11:20:00,0.001,"control","worle",2016,5.1574831,"worlectl_2016"
"worlectl",2016-05-27 11:25:00,0.001,"control","worle",2016,5.1968532,"worlectl_2016"
"worlectl",2016-05-27 11:40:00,0.001,"control","worle",2016,5.2362233,"worlectl_2016"
"worlectl",2016-05-28 13:10:00,0.001,"control","worle",2016,5.2755934,"worlectl_2016"
"worlectl",2016-05-28 13:15:00,0.001,"control","worle",2016,5.3149635,"worlectl_2016"
"worlectl",2016-05-28 14:55:00,0.001,"control","worle",2016,5.3543336,"worlectl_2016"
"worlectl",2016-05-28 16:20:00,0.001,"control","worle",2016,5.3937037,"worlectl_2016"
"worlectl",2016-05-30 19:05:00,0.002,"control","worle",2016,5.4724439,"worlectl_2016"
"worlectl",2016-05-30 19:10:00,0.004,"control","worle",2016,5.6299243,"worlectl_2016"
"worlectl",2016-05-30 19:15:00,0.001,"control","worle",2016,5.6692944,"worlectl_2016"
"worlectl",2016-05-30 20:35:00,0.001,"control","worle",2016,5.7086645,"worlectl_2016"
"worlectl",2016-05-30 20:40:00,0.002,"control","worle",2016,5.7874047,"worlectl_2016"
"worlectl",2016-05-31 14:50:00,0.001,"control","worle",2016,5.8267748,"worlectl_2016"
"worlectl",2016-05-31 14:55:00,0.003,"control","worle",2016,5.9448851,"worlectl_2016"
"worlectl",2016-05-31 15:00:00,0.001,"control","worle",2016,5.9842552,"worlectl_2016"
"worlectl",2016-05-31 15:05:00,0.001,"control","worle",2016,6.0236253,"worlectl_2016"
"worlectl",2016-05-31 15:10:00,0.001,"control","worle",2016,6.0629954,"worlectl_2016"
"worlectl",2016-05-31 15:15:00,0.001,"control","worle",2016,6.1023655,"worlectl_2016"
"worlectl",2016-05-31 15:35:00,0.001,"control","worle",2016,6.1417356,"worlectl_2016"
"worlectl",2016-06-03 23:00:00,0.001,"control","worle",2016,6.1811057,"worlectl_2016"
"worlectl",2016-06-03 23:05:00,0.002,"control","worle",2016,6.2598459,"worlectl_2016"
"worlectl",2016-06-03 23:10:00,0.001,"control","worle",2016,6.299216,"worlectl_2016"
"worlectl",2016-06-13 16:20:00,0.001,"control","worle",2016,6.3385861,"worlectl_2016"
"worlectl",2016-06-13 16:25:00,0.002,"control","worle",2016,6.4173263,"worlectl_2016"
"worlectl",2016-06-13 18:30:00,0.001,"control","worle",2016,6.4566964,"worlectl_2016"
"worlectl",2016-06-14 19:50:00,0.001,"control","worle",2016,6.4960665,"worlectl_2016"
"worlectl",2016-06-14 19:55:00,0.001,"control","worle",2016,6.5354366,"worlectl_2016"
"worlectl",2016-06-14 20:00:00,0.001,"control","worle",2016,6.5748067,"worlectl_2016"
"worlectl",2016-06-14 20:05:00,0.002,"control","worle",2016,6.6535469,"worlectl_2016"
"worlectl",2016-06-14 20:10:00,0.001,"control","worle",2016,6.692917,"worlectl_2016"
