SiteID,precipitation,rain_time,subtreatment,Treatment,sampleID,rf_event,sample_event,ro_event,Year,flow_time,flow,tss_sum,random,rf_rate,crop,f_loc,per_prairie,plant_date
ARM,0.011,231,control,control,1001,10,1,17,2016,10721,17194.897,17.70880466,NR,2.857142857,soybean,eofilter,0,
ARM,0.033,151,control,control,1001,12,1,17,2016,10721,17194.897,17.70880466,NR,13.11258278,soybean,eofilter,0,
ARM,0.033,361,control,control,1001,14,1,17,2016,10721,17194.897,17.70880466,NR,5.484764543,soybean,eofilter,0,
ARM,0.033,361,prairie strip,strips,1000,14,1,12,2016,691,802.293,0.202753734,NR,5.484764543,soybean,gw_eop,0.0837,
ARM,0.025,341,control,control,1006,16,2,19,2016,6641,14240.346,11.30092702,NR,4.398826979,soybean,eofilter,0,
ARM,0.01,96,control,control,1006,18,2,19,2016,6641,14240.346,11.30092702,NR,6.25,soybean,eofilter,0,
ARM,0.016,46,control,control,1006,20,2,19,2016,6641,14240.346,11.30092702,NR,20.86956522,soybean,eofilter,0,
ARM,0.016,46,prairie strip,strips,NS,20,2,,2016,0,0,0,NR,20.86956522,soybean,gw_eop,0.0837,
ARM,0.012,121,control,control,1008,26,3,35,2016,6116,23867.338,61.53595112,NR,5.950413223,soybean,eofilter,0,
ARM,0.051,206,control,control,1008,28,3,35,2016,6116,23867.338,61.53595112,NR,14.85436893,soybean,eofilter,0,
ARM,0.051,206,prairie strip,strips,1007,28,3,14,2016,826,1604.461,0.086412892,NR,14.85436893,soybean,gw_eop,0.0837,
ARM,0.007,231,control,control,1008,30,3,35,2016,6116,23867.338,61.53595112,NR,1.818181818,soybean,eofilter,0,
ARM,0.056,301,control,control,1016,48,4,55,2016,1126,4413.512,1.513254485,NR,11.1627907,soybean,eofilter,0,
ARM,0.056,301,prairie strip,strips,NS,48,4,,2016,0,0,0,NR,11.1627907,soybean,gw_eop,0.0837,
ARM,0.047,126,control,control,1034,80,5,113,2016,26,20.8,0.003297607,NR,22.38095238,soybean,eofilter,0,
ARM,0.047,126,prairie strip,strips,NS,80,5,,2016,0,0,0,NR,22.38095238,soybean,gw_eop,0.0837,
ARM,0.028,261,control,control,2007,22,1,18,2017,2266,1053.45,4.967727228,NR,6.436781609,corn,eofilter,0,114
ARM,0.028,261,prairie strip,strips,NS,22,1,,2017,0,0,0,NR,6.436781609,corn,gw_eop,0.0837,114
ARM,0.05,1176,control,control,2011,24,2,24,2017,8201,16019.967,11.63584483,NR,2.551020408,corn,eofilter,0,114
ARM,0.05,1176,control,control,2012,24,2,24,2017,8201,16019.967,4.803453331,NR,2.551020408,corn,eofilter,0,114
ARM,0.019,146,control,control,2014,26,2,24,2017,8201,16019.967,8.513913491,NR,7.808219178,corn,eofilter,0,114
ARM,0.019,146,prairie strip,strips,NS,26,2,,2017,0,0,0,NR,7.808219178,corn,gw_eop,0.0837,114
ARM,0.024,641,control,control,2014,28,2,24,2017,8201,16019.967,8.513913491,NR,2.24648986,corn,eofilter,0,114
ARM,0.035,521,control,control,2020,38,3,36,2017,96,187.058,0.275019461,NR,4.030710173,corn,eofilter,0,114
ARM,0.035,521,prairie strip,strips,NS,38,3,,2017,0,0,0,NR,4.030710173,corn,gw_eop,0.0837,114
ARM,0.055,31,control,control,2022,42,4,38,2017,2901,16227.983,28.63822551,NR,106.4516129,corn,eofilter,0,114
ARM,0.055,31,prairie strip,strips,2021,42,4,12,2017,576,3436.717,0.256284475,NR,106.4516129,corn,gw_eop,0.0837,114
ARM,0.02,496,control,control,3046,72,1,15,2018,181,421.114,0.085212247,NR,2.419354839,soybean,eofilter,0,129
ARM,0.02,496,prairie strip,strips,NS,72,1,,2018,0,0,0,NR,2.419354839,soybean,gw_eop,0.0837,129
ARM,0.018,646,control,control,3048,78,2,19,2018,1276,5056.601,0.195652991,NR,1.671826625,soybean,eofilter,0,129
ARM,0.018,646,prairie strip,strips,NS,78,2,,2018,0,0,0,NR,1.671826625,soybean,gw_eop,0.0837,129
ARM,0.021,96,control,control,3075,98,3,23,2018,1516,5369.519,0.180291934,NR,13.125,soybean,eofilter,0,129
