"SiteID","Year","Treatment","crop","per_prairie","sampleID","sample_event","tss_sum","flow_sum","flow_min","ro_count","rf_count","rain","rain_min","slope75","Lfactor","Lfact_below","Sfactor","LSfactor","LSfact_below","C_factor","K_factor","pre_Lupslp","post_Lupslp","post_Tupslp","Lfactor_pre","Sfactor_pre","LSfactor_pre","random","ln_ppt","ln_slp","ln_LS","ln_L","ln_S","ln_postL","ln_postT"
"ARM","2016","strips","soybean",8.37,"1000",1,0.228433318,802.293,691,1,2,0.077,743,10.52,1.259345,0.860623,0.945,1.0455,0.411355,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,"NR",-2.56394985712845,2.35327820730956,0.0444952398865513,0.230591744529228,-0.0565703514883944,5.25211634764732,9.38753882807137
"ARM","2016","strips","soybean",8.37,"NS",2,0,0,0,0,3,0.051,483,10.52,1.259345,0.860623,0.945,1.0455,0.411355,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,"NR",-2.97592964625781,2.35327820730956,0.0444952398865513,0.230591744529228,-0.0565703514883944,5.25211634764732,9.38753882807137
"ARM","2016","strips","soybean",8.37,"1007",3,0.097357436,1604.461,826,1,3,0.07,558,10.52,1.259345,0.860623,0.945,1.0455,0.411355,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,"NR",-2.65926003693278,2.35327820730956,0.0444952398865513,0.230591744529228,-0.0565703514883944,5.25211634764732,9.38753882807137
"ARM","2016","strips","soybean",8.37,"NS",4,0,0,0,0,1,0.056,301,10.52,1.259345,0.860623,0.945,1.0455,0.411355,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,"NR",-2.88240358824699,2.35327820730956,0.0444952398865513,0.230591744529228,-0.0565703514883944,5.25211634764732,9.38753882807137
"ARM","2016","strips","soybean",8.37,"NS",5,0,0,0,0,1,0.047,126,10.52,1.259345,0.860623,0.945,1.0455,0.411355,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,"NR",-3.05760767727208,2.35327820730956,0.0444952398865513,0.230591744529228,-0.0565703514883944,5.25211634764732,9.38753882807137
"ARM","2016","control","soybean",0,"1001",1,12.11588906,14054.791,4307,2,2,0.077,743,9.69,1.218611,1.351495,0.7436,0.9334,1.30774,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,"NR",-2.56394985712845,2.27109442590267,-0.0689214454664218,0.197711685543527,-0.296252023134848,5.64385552607585,9.34842786977289
"ARM","2016","control","soybean",0,"1006",2,7.731791093,13617.388,4641,1,3,0.051,483,9.69,1.218611,1.351495,0.7436,0.9334,1.30774,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,"NR",-2.97592964625781,2.27109442590267,-0.0689214454664218,0.197711685543527,-0.296252023134848,5.64385552607585,9.34842786977289
"ARM","2016","control","soybean",0,"1008",3,42.1012469,22129.4,5101,1,3,0.07,558,9.69,1.218611,1.351495,0.7436,0.9334,1.30774,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,"NR",-2.65926003693278,2.27109442590267,-0.0689214454664218,0.197711685543527,-0.296252023134848,5.64385552607585,9.34842786977289
"ARM","2016","control","soybean",0,"1016",4,1.035328122,4408.917,1106,1,1,0.056,301,9.69,1.218611,1.351495,0.7436,0.9334,1.30774,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,"NR",-2.88240358824699,2.27109442590267,-0.0689214454664218,0.197711685543527,-0.296252023134848,5.64385552607585,9.34842786977289
"ARM","2016","control","soybean",0,"1034",5,0.002256134,20.8,26,1,1,0.047,126,9.69,1.218611,1.351495,0.7436,0.9334,1.30774,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,"NR",-3.05760767727208,2.27109442590267,-0.0689214454664218,0.197711685543527,-0.296252023134848,5.64385552607585,9.34842786977289
"EIA","2016","strips","soybean",6.12,"1002",1,0.020226526,954.611,1576,1,1,0.013,266,6.04,1.132814,1.05655,0.581,0.6406,0.5607,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,"R",-4.3428059215206,1.79840401194672,-0.445350041807079,0.124704802638012,-0.543004522130226,5.71876960446445,10.3977193572697
"EIA","2016","strips","soybean",6.12,"1009",2,0.19488502,4179.549,2486,1,2,0.028,82,6.04,1.132814,1.05655,0.581,0.6406,0.5607,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,"R",-3.57555076880693,1.79840401194672,-0.445350041807079,0.124704802638012,-0.543004522130226,5.71876960446445,10.3977193572697
"EIA","2016","strips","soybean",6.12,"1010",3,0.742933972,118876.945,3566,1,1,0.129,496,6.04,1.132814,1.05655,0.581,0.6406,0.5607,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,"R",-2.04794287462046,1.79840401194672,-0.445350041807079,0.124704802638012,-0.543004522130226,5.71876960446445,10.3977193572697
"EIA","2016","strips","soybean",6.12,"1012",4,0.223646337,1954.077,1571,1,1,0.02,136,6.04,1.132814,1.05655,0.581,0.6406,0.5607,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,"R",-3.91202300542815,1.79840401194672,-0.445350041807079,0.124704802638012,-0.543004522130226,5.71876960446445,10.3977193572697
