SiteID,Year,Treatment,crop,per_prairie,sampleID,Time,sample_event,tss_sum,flow_sum,flow_min,ro_count,rf_count,rain,rain_min,slope75,Lfactor,Sfactor,LSfactor,C_factor,K_factor,pre_Lupslp,post_Lupslp,post_Tupslp,Lfactor_pre,Sfactor_pre,LSfactor_pre,random,ln_ppt,ln_slp,ln_LS,ln_L,ln_S,ln_postL,ln_postT
ARM,2017,strips,corn,8.37,NS,3,4,0,0,0,0,1,0.035,521,10.52,1.259345,0.945,1.0455,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,NR,-3.352407217,2.353278207,0.04449524,0.230591745,-0.056570351,5.252116348,9.387538828
ARM,2017,control,corn,0,2020,3,4,0.188160937,187.058,96,1,1,0.035,521,9.69,1.218611,0.7436,0.9334,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,NR,-3.352407217,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,strips,corn,8.37,2021,3,5,0.288743945,3436.717,576,1,1,0.055,31,10.52,1.259345,0.945,1.0455,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,NR,-2.900422094,2.353278207,0.04449524,0.230591745,-0.056570351,5.252116348,9.387538828
ARM,2017,control,corn,0,2022,3,5,19.5935056,16066.336,1666,1,1,0.055,31,9.69,1.218611,0.7436,0.9334,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,NR,-2.900422094,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
EIA,2018,strips,soybean,6.12,3022_5,3,2,1.57203191,7572.156,2681,2,3,0.125,2662,6.04,1.132814,0.581,0.6406,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,R,-2.079441542,1.798404012,-0.445350042,0.124704803,-0.543004522,5.718769604,10.39771936
EIA,2018,control,soybean,0,3020_6,3,2,11.3963857,76910.36,5166,1,3,0.125,2662,6.6,1.177394,0.6186,0.7337,0.08,0.042144,226.82,226.82,10301.02,1.177394,0.6186,0.7337,R,-2.079441542,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
RHO,2018,strips,corn,6.62,3021,3,3,1.026007857,2520.362,1066,1,1,0.032,941,6.61,0.838134,0.580101,0.4767,0.29,0.051363,223.55,190.34,10168.82,0.914546,0.594294,0.5412,R,-3.442019376,1.888583654,-0.740867917,-0.176577287,-0.544553053,5.248811947,9.227081455
RHO,2018,control,corn,0,3024,3,3,0.669929716,8754.961,3796,1,1,0.032,941,7.4,1.075335,0.552776,0.5796,0.29,0.051363,193.51,193.51,6424.85,1.075335,0.552776,0.5796,R,-3.442019376,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,strips,corn,6.62,3028_37,3,4,2.610299127,NA,NA,NA,3,0.151,NA,6.61,0.838134,0.580101,0.4767,0.29,0.051363,223.55,190.34,10168.82,0.914546,0.594294,0.5412,R,-1.890475442,1.888583654,-0.740867917,-0.176577287,-0.544553053,5.248811947,9.227081455
RHO,2018,control,corn,0,3029_38,3,4,75.7143608,NA,NA,NA,3,0.151,NA,7.4,1.075335,0.552776,0.5796,0.29,0.051363,193.51,193.51,6424.85,1.075335,0.552776,0.5796,R,-1.890475442,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
WHI,2018,strips,corn,28.14,3206,3,4,4.003503058,17500.742,321,1,1,0.015,91,12.7,0.913835,1.263059,1.2022,0.08,0.051363,158.91,98.04,1662.3,1.112209,1.215166,1.5491,NR,-4.199705078,2.541601993,0.184153212,-0.090105249,0.233536556,4.585375559,7.415957465
WHI,2018,control,corn,0,3205,3,4,27.97317149,17555.539,1496,1,1,0.015,91,10.78,1.551593,1.02196,1.3615,0.08,0.051363,622.47,622.47,115684.8,1.551593,1.02196,1.3615,NR,-4.199705078,2.377692565,0.308587033,0.439282145,0.021722352,6.433695434,11.65862453
WHI,2018,strips,corn,28.14,3209,3,6,0.141992588,2557.92,61,1,1,0.027,41,12.7,0.913835,1.263059,1.2022,0.08,0.051363,158.91,98.04,1662.3,1.112209,1.215166,1.5491,NR,-3.611918413,2.541601993,0.184153212,-0.090105249,0.233536556,4.585375559,7.415957465
WHI,2018,control,corn,0,3210,3,6,22.97112764,15510.971,1476,1,1,0.027,41,10.78,1.551593,1.02196,1.3615,0.08,0.051363,622.47,622.47,115684.8,1.551593,1.02196,1.3615,NR,-3.611918413,2.377692565,0.308587033,0.439282145,0.021722352,6.433695434,11.65862453
WHI,2018,strips,corn,28.14,3208,3,5,0.253254207,3605.013,476,1,1,0.029,441,12.7,0.913835,1.263059,1.2022,0.08,0.051363,158.91,98.04,1662.3,1.112209,1.215166,1.5491,NR,-3.540459449,2.541601993,0.184153212,-0.090105249,0.233536556,4.585375559,7.415957465
WHI,2018,control,corn,0,3207,3,5,12.53414805,15888.063,1876,1,1,0.029,441,10.78,1.551593,1.02196,1.3615,0.08,0.051363,622.47,622.47,115684.8,1.551593,1.02196,1.3615,NR,-3.540459449,2.377692565,0.308587033,0.439282145,0.021722352,6.433695434,11.65862453
ARM,2019,strips,corn,8.37,NS,3,3,0,0,0,0,1,0.06,101,10.52,1.259345,0.945,1.0455,0.08,0.051363,270.65,190.97,11938.68,1.404695,0.9169,1.1531,NR,-2.813410717,2.353278207,0.04449524,0.230591745,-0.056570351,5.252116348,9.387538828
ARM,2019,control,corn,0,4043,3,3,15.48106686,452.92,461,1,1,0.06,101,9.69,1.218611,0.7436,0.9334,0.08,0.051363,282.55,282.55,11480.76,1.218611,0.7436,0.9334,NR,-2.813410717,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
RHO,2019,strips,corn,6.62,4033,3,5,139.5909851,5592.628,3691,1,2,0.053,142,6.61,0.838134,0.580101,0.4767,0.29,0.051363,223.55,190.34,10168.82,0.914546,0.594294,0.5412,R,-2.937463365,1.888583654,-0.740867917,-0.176577287,-0.544553053,5.248811947,9.227081455
RHO,2019,control,corn,0,4034,3,5,700.1722004,39638.763,3771,1,2,0.053,142,7.4,1.075335,0.552776,0.5796,0.29,0.051363,193.51,193.51,6424.85,1.075335,0.552776,0.5796,R,-2.937463365,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
EIA,2016,strips,soybean,6.12,1012,2,4,0.223646337,1954.077,1571,1,1,0.02,136,6.04,1.132814,0.581,0.6406,0.08,0.042144,303.12,304.53,32784.77,1.152225,0.58282,0.6458,R,-3.912023005,1.798404012,-0.445350042,0.124704803,-0.543004522,5.718769604,10.39771936
EIA,2016,control,soybean,0,NS,2,4,0,0,0,0,1,0.02,136,6.6,1.177394,0.6186,0.7337,0.08,0.042144,226.82,226.82,10301.02,1.177394,0.6186,0.7337,R,-3.912023005,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
