"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"ARM",2016,2,0.008,2016-03-15 01:55:00,2016-03-15 02:30:00,1.58333333333333
"ARM",2016,4,0.011,2016-03-23 17:25:00,2016-03-23 18:25:00,2
"ARM",2016,6,0.034,2016-04-20 05:20:00,2016-04-20 11:20:00,7
"ARM",2016,10,0.011,2016-04-27 00:55:00,2016-04-27 04:45:00,4.83333333333333
"ARM",2016,12,0.033,2016-04-27 16:20:00,2016-04-27 18:50:00,3.5
"ARM",2016,14,0.033,2016-04-30 03:45:00,2016-04-30 09:45:00,7
"ARM",2016,16,0.025,2016-05-09 02:05:00,2016-05-09 07:45:00,6.66666666666667
"ARM",2016,18,0.01,2016-05-09 21:45:00,2016-05-09 23:20:00,2.58333333333333
"ARM",2016,20,0.016,2016-05-11 08:05:00,2016-05-11 08:50:00,1.75
"ARM",2016,26,0.012,2016-05-26 00:30:00,2016-05-26 02:30:00,3
"ARM",2016,28,0.051,2016-05-26 16:00:00,2016-05-26 19:25:00,4.41666666666667
"ARM",2016,30,0.007,2016-05-27 22:55:00,2016-05-28 02:45:00,4.83333333333333
"ARM",2016,36,0.021,2016-06-20 15:30:00,2016-06-20 17:30:00,3
"ARM",2016,38,0.016,2016-06-26 01:50:00,2016-06-26 02:55:00,2.08333333333333
"ARM",2016,42,0.007,2016-07-02 06:20:00,2016-07-02 10:35:00,5.25
"ARM",2016,44,0.021,2016-07-07 02:05:00,2016-07-07 05:40:00,4.58333333333333
"ARM",2016,46,0.029,2016-07-11 22:20:00,2016-07-12 00:35:00,3.25
"ARM",2016,48,0.056,2016-07-18 00:50:00,2016-07-18 05:50:00,6
"ARM",2016,50,0.009,2016-07-19 13:10:00,2016-07-19 13:35:00,1.41666666666667
"ARM",2016,56,0.037,2016-08-11 20:30:00,2016-08-11 23:45:00,4.25
"ARM",2016,60,0.026,2016-08-23 23:00:00,2016-08-23 23:40:00,1.66666666666667
"ARM",2016,66,0.019,2016-08-29 16:40:00,2016-08-29 23:10:00,7.5
"ARM",2016,72,0.016,2016-09-07 08:55:00,2016-09-07 11:25:00,3.5
"ARM",2016,74,0.012,2016-09-09 15:15:00,2016-09-09 18:20:00,4.08333333333333
"ARM",2016,76,0.01,2016-09-13 01:50:00,2016-09-13 02:30:00,1.66666666666667
"ARM",2016,80,0.047,2016-09-16 00:15:00,2016-09-16 02:20:00,3.08333333333333
"ARM",2016,82,0.051,2016-10-04 13:50:00,2016-10-04 22:30:00,9.66666666666667
"ARM",2016,84,0.008,2016-10-06 11:30:00,2016-10-06 19:30:00,9
"ARM",2016,88,0.014,2016-11-02 03:55:00,2016-11-02 04:40:00,1.75
"ARM",2017,8,0.02,2017-04-14 12:55:00,2017-04-14 14:15:00,2.33333333333333
"ARM",2017,12,0.008,2017-04-18 08:55:00,2017-04-18 09:40:00,1.75
"ARM",2017,18,0.018,2017-04-30 08:55:00,2017-04-30 17:00:00,9.08333333333333
"ARM",2017,22,0.028,2017-05-10 06:50:00,2017-05-10 11:10:00,5.33333333333333
"ARM",2017,24,0.05,2017-05-16 20:00:00,2017-05-17 15:35:00,20.5833333333333
"ARM",2017,26,0.019,2017-05-18 22:25:00,2017-05-19 00:50:00,3.41666666666667
"ARM",2017,28,0.024,2017-05-19 21:40:00,2017-05-20 08:20:00,11.6666666666667
"ARM",2017,32,0.009,2017-05-27 09:10:00,2017-05-27 10:20:00,2.16666666666667
"ARM",2017,34,0.009,2017-06-02 03:40:00,2017-06-02 03:50:00,1.16666666666667
"ARM",2017,38,0.035,2017-06-14 00:10:00,2017-06-14 08:50:00,9.66666666666667
"ARM",2017,42,0.055,2017-06-16 20:50:00,2017-06-16 21:20:00,1.5
"ARM",2017,44,0.014,2017-06-23 00:40:00,2017-06-23 01:10:00,1.5
"ARM",2017,50,0.024,2017-08-15 10:10:00,2017-08-15 11:10:00,2
"ARM",2017,52,0.022,2017-08-16 10:20:00,2017-08-16 10:35:00,1.25
"ARM",2017,54,0.013,2017-08-20 02:40:00,2017-08-20 04:10:00,2.5
"ARM",2017,56,0.075,2017-08-21 02:20:00,2017-08-21 08:35:00,7.25
"ARM",2017,58,0.013,2017-08-21 18:05:00,2017-08-21 22:30:00,5.41666666666667
"ARM",2017,62,0.021,2017-09-16 22:35:00,2017-09-17 00:10:00,2.58333333333333
"ARM",2017,66,0.029,2017-09-25 12:50:00,2017-09-25 17:15:00,5.41666666666667
"ARM",2017,70,0.011,2017-10-02 03:10:00,2017-10-02 11:40:00,9.5
"ARM",2017,76,0.035,2017-10-06 21:45:00,2017-10-07 11:05:00,14.3333333333333
"ARM",2017,78,0.016,2017-10-10 02:55:00,2017-10-10 05:30:00,3.58333333333333
"ARM",2017,80,0.011,2017-10-14 06:55:00,2017-10-14 10:25:00,4.5
"ARM",2018,4,0.01,2018-05-01 19:45:00,2018-05-01 20:35:00,1.83333333333333
"ARM",2018,6,0.021,2018-05-02 19:40:00,2018-05-02 20:45:00,2.08333333333333
"ARM",2018,8,0.013,2018-05-03 16:20:00,2018-05-03 17:45:00,2.41666666666667
"ARM",2018,14,0.01,2018-05-29 17:00:00,2018-05-29 19:00:00,3
"ARM",2018,16,0.056,2018-06-02 01:45:00,2018-06-02 05:25:00,4.66666666666667
"ARM",2018,20,0.012,2018-06-10 07:05:00,2018-06-10 08:55:00,2.83333333333333
"ARM",2018,24,0.011,2018-06-11 10:10:00,2018-06-11 11:15:00,2.08333333333333
"ARM",2018,26,0.024,2018-06-11 18:15:00,2018-06-11 19:35:00,2.33333333333333
"ARM",2018,30,0.032,2018-06-19 02:00:00,2018-06-19 09:30:00,8.5
"ARM",2018,36,0.012,2018-06-24 18:20:00,2018-06-24 18:45:00,1.41666666666667
"ARM",2018,38,0.014,2018-06-25 13:35:00,2018-06-25 21:30:00,8.91666666666667
"ARM",2018,42,0.025,2018-06-30 18:00:00,2018-07-01 02:10:00,9.16666666666667
"ARM",2018,54,0.038,2018-08-14 20:15:00,2018-08-14 23:20:00,4.08333333333333
"ARM",2018,56,0.01,2018-08-16 07:40:00,2018-08-16 08:50:00,2.16666666666667
"ARM",2018,58,0.144,2018-08-19 18:25:00,2018-08-20 07:35:00,14.1666666666667
"ARM",2018,66,0.011,2018-08-26 23:30:00,2018-08-27 01:40:00,3.16666666666667
"ARM",2018,68,0.01,2018-08-28 11:30:00,2018-08-28 15:10:00,4.66666666666667
"ARM",2018,70,0.04,2018-08-31 21:40:00,2018-09-01 06:55:00,10.25
"ARM",2018,72,0.02,2018-09-01 22:55:00,2018-09-02 07:10:00,9.25
"ARM",2018,74,0.009,2018-09-03 00:45:00,2018-09-03 02:30:00,2.75
"ARM",2018,78,0.018,2018-09-04 22:10:00,2018-09-05 08:55:00,11.75
"ARM",2018,80,0.01,2018-09-07 04:50:00,2018-09-07 06:55:00,3.08333333333333
"ARM",2018,84,0.014,2018-09-20 20:40:00,2018-09-21 00:30:00,4.83333333333333
"ARM",2018,86,0.012,2018-09-25 09:50:00,2018-09-25 12:10:00,3.33333333333333
"ARM",2018,94,0.009,2018-10-07 12:45:00,2018-10-07 16:10:00,4.41666666666667
"ARM",2018,98,0.021,2018-10-08 16:55:00,2018-10-08 18:30:00,2.58333333333333
"ARM",2019,4,0.021,2019-04-27 01:45:00,2019-04-27 04:30:00,3.75
"ARM",2019,10,0.027,2019-05-08 03:55:00,2019-05-08 08:15:00,5.33333333333333
"ARM",2019,24,0.052,2019-05-23 22:25:00,2019-05-24 06:00:00,8.58333333333333
"ARM",2019,26,0.008,2019-05-26 01:25:00,2019-05-26 02:40:00,2.25
"ARM",2019,28,0.008,2019-05-27 00:10:00,2019-05-27 05:25:00,6.25
"ARM",2019,30,0.024,2019-05-28 03:05:00,2019-05-28 07:25:00,5.33333333333333
