Year,SiteID,rf_event,rain_mm,rain_hr,rf_rate,eventStart,eventEnd,Time
2016,ARM,1,8,0.6,13.33333333,3/15/2016 1:55,3/15/2016 2:30,0
2016,ARM,2,11,1.016666667,10.81967213,3/23/2016 17:25,3/23/2016 18:25,0
2016,ARM,3,34,6.016666667,5.650969529,4/20/2016 5:20,4/20/2016 11:20,0
2016,ARM,4,6,4.016666667,1.493775934,4/24/2016 18:00,4/24/2016 22:00,0
2016,ARM,5,44,17.93333333,2.453531599,4/27/2016 0:55,4/27/2016 18:50,0
2016,ARM,6,33,6.016666667,5.484764543,4/30/2016 3:45,4/30/2016 9:45,0
2016,ARM,7,25,5.683333333,4.398826979,5/9/2016 2:05,5/9/2016 7:45,0
2016,ARM,8,10,1.6,6.25,5/9/2016 21:45,5/9/2016 23:20,0
2016,ARM,9,16,0.766666667,20.86956522,5/11/2016 8:05,5/11/2016 8:50,0
2016,ARM,10,3,0.1,30,5/24/2016 1:30,5/24/2016 1:35,1
2016,ARM,11,6,4.183333333,1.434262948,5/25/2016 2:45,5/25/2016 6:55,1
2016,ARM,12,12,2.016666667,5.950413223,5/26/2016 0:30,5/26/2016 2:30,1
2016,ARM,13,51,3.433333333,14.85436893,5/26/2016 16:00,5/26/2016 19:25,1
2016,ARM,14,7,3.85,1.818181818,5/27/2016 22:55,5/28/2016 2:45,1
2016,ARM,15,4,0.35,11.42857143,6/3/2016 20:00,6/3/2016 20:20,1
2016,ARM,16,21,2.016666667,10.41322314,6/20/2016 15:30,6/20/2016 17:30,2
2016,ARM,17,16,1.1,14.54545455,6/26/2016 1:50,6/26/2016 2:55,2
2016,ARM,18,7,4.266666667,1.640625,7/2/2016 6:20,7/2/2016 10:35,0
2016,ARM,19,21,3.6,5.833333333,7/7/2016 2:05,7/7/2016 5:40,0
2016,ARM,20,29,2.266666667,12.79411765,7/11/2016 22:20,7/12/2016 0:35,0
2016,ARM,21,56,5.016666667,11.1627907,7/18/2016 0:50,7/18/2016 5:50,0
2016,ARM,22,9,0.433333333,20.76923077,7/19/2016 13:10,7/19/2016 13:35,0
2016,ARM,23,7,27.35,0.255941499,7/31/2016 5:20,8/1/2016 8:40,0
2016,ARM,24,18,3.183333333,5.654450262,8/11/2016 20:30,8/11/2016 23:40,0
2016,ARM,25,26,0.683333333,38.04878049,8/23/2016 23:00,8/23/2016 23:40,0
2016,ARM,26,4,0.183333333,21.81818182,8/28/2016 17:25,8/28/2016 17:35,0
2016,ARM,27,22,15.43333333,1.425485961,8/29/2016 7:45,8/29/2016 23:10,0
2016,ARM,28,3,0.433333333,6.923076923,9/4/2016 14:10,9/4/2016 14:35,0
2016,ARM,29,16,2.516666667,6.357615894,9/7/2016 8:55,9/7/2016 11:25,0
2016,ARM,30,12,3.1,3.870967742,9/9/2016 15:15,9/9/2016 18:20,0
2016,ARM,31,10,0.683333333,14.63414634,9/13/2016 1:50,9/13/2016 2:30,0
2016,ARM,32,47,2.1,22.38095238,9/16/2016 0:15,9/16/2016 2:20,0
2016,ARM,33,51,8.683333333,5.873320537,10/4/2016 13:50,10/4/2016 22:30,0
2016,ARM,34,8,8.016666667,0.997920998,10/6/2016 11:30,10/6/2016 19:30,0
2016,ARM,35,14,0.766666667,18.26086957,11/2/2016 3:55,11/2/2016 4:40,0
2016,ARM,36,6,0.266666667,22.5,7/31/2016 5:15,7/31/2016 5:30,0
2016,ARM,37,5,3.766666667,1.327433628,8/1/2016 4:55,8/1/2016 8:40,0
2016,ARM,38,37,3.266666667,11.32653061,8/11/2016 20:30,8/11/2016 23:45,0
2017,ARM,1,3,7.266666667,0.412844037,3/29/2017 5:50,3/29/2017 13:05,0
2017,ARM,2,20,1.35,14.81481481,4/14/2017 12:55,4/14/2017 14:15,0
2017,ARM,3,8,0.766666667,10.43478261,4/18/2017 8:55,4/18/2017 9:40,0
2017,ARM,4,6,4.766666667,1.258741259,4/19/2017 4:05,4/19/2017 8:50,0
2017,ARM,5,22,18.35,1.198910082,4/30/2017 8:55,5/1/2017 3:15,0
2017,ARM,6,28,4.35,6.436781609,5/10/2017 6:50,5/10/2017 11:10,1
2017,ARM,7,50,19.6,2.551020408,5/16/2017 20:00,5/17/2017 15:35,1
2017,ARM,8,19,2.433333333,7.808219178,5/18/2017 22:25,5/19/2017 0:50,1
2017,ARM,9,24,10.68333333,2.24648986,5/19/2017 21:40,5/20/2017 8:20,1
2017,ARM,10,9,1.183333333,7.605633803,5/27/2017 9:10,5/27/2017 10:20,2
2017,ARM,11,9,0.183333333,49.09090909,6/2/2017 3:40,6/2/2017 3:50,2
2017,ARM,12,35,8.683333333,4.030710173,6/14/2017 0:10,6/14/2017 8:50,3
2017,ARM,13,3,1.266666667,2.368421053,6/15/2017 22:00,6/15/2017 23:15,3
2017,ARM,14,55,0.516666667,106.4516129,6/16/2017 20:50,6/16/2017 21:20,3
2017,ARM,15,14,0.516666667,27.09677419,6/23/2017 0:40,6/23/2017 1:10,3
2017,ARM,16,6,1.683333333,3.564356436,6/28/2017 2:55,6/28/2017 4:35,0
2017,ARM,17,3,0.1,30,8/3/2017 6:20,8/3/2017 6:25,0
2017,ARM,18,24,1.016666667,23.60655738,8/15/2017 10:10,8/15/2017 11:10,0
2017,ARM,19,22,0.266666667,82.5,8/16/2017 10:20,8/16/2017 10:35,0
2017,ARM,20,13,1.516666667,8.571428571,8/20/2017 2:40,8/20/2017 4:10,0
2017,ARM,21,88,20.18333333,4.360033031,8/21/2017 2:20,8/21/2017 22:30,0
2017,ARM,22,5,0.6,8.333333333,8/25/2017 8:15,8/25/2017 8:50,0
2017,ARM,23,21,1.6,13.125,9/16/2017 22:35,9/17/2017 0:10,0
2017,ARM,24,5,0.85,5.882352941,9/18/2017 8:10,9/18/2017 9:00,0
2017,ARM,25,29,4.433333333,6.541353383,9/25/2017 12:50,9/25/2017 17:15,0
2017,ARM,26,11,8.516666667,1.291585127,10/2/2017 3:10,10/2/2017 11:40,0
2017,ARM,27,6,7.016666667,0.855106888,10/5/2017 10:25,10/5/2017 17:25,0
2017,ARM,28,35,13.35,2.621722846,10/6/2017 21:45,10/7/2017 11:05,0
2017,ARM,29,16,2.6,6.153846154,10/10/2017 2:55,10/10/2017 5:30,0
2017,ARM,30,11,3.516666667,3.127962085,10/14/2017 6:55,10/14/2017 10:25,0
2017,ARM,31,4,0.1,40,10/21/2017 3:35,10/21/2017 3:40,0
2017,ARM,32,6,0.266666667,22.5,10/21/2017 16:15,10/21/2017 16:30,0
2018,ARM,1,10,0.85,11.76470588,5/1/2018 19:45,5/1/2018 20:35,0
2018,ARM,2,21,1.1,19.09090909,5/2/2018 19:40,5/2/2018 20:45,0
2018,ARM,3,13,1.433333333,9.069767442,5/3/2018 16:20,5/3/2018 17:45,0
2018,ARM,4,3,0.266666667,11.25,5/11/2018 6:40,5/11/2018 6:55,0
2018,ARM,5,3,0.766666667,3.913043478,5/14/2018 3:45,5/14/2018 4:30,0
2018,ARM,6,10,2.016666667,4.958677686,5/29/2018 17:00,5/29/2018 19:00,1
2018,ARM,7,56,3.683333333,15.20361991,6/2/2018 1:45,6/2/2018 5:25,1
2018,ARM,8,12,1.85,6.486486486,6/10/2018 7:05,6/10/2018 8:55,2
2018,ARM,9,41,16.51666667,2.48234107,6/11/2018 3:05,6/11/2018 19:35,2
2018,ARM,10,38,15.18333333,2.502744237,6/18/2018 18:20,6/19/2018 9:30,3
2018,ARM,11,3,0.1,30,6/21/2018 18:20,6/21/2018 18:25,3
2018,ARM,12,12,0.433333333,27.69230769,6/24/2018 18:20,6/24/2018 18:45,3
