"Year","SiteID","rf_event","rain_mm","rain_hr","rf_rate","eventStart","eventEnd"
2016,"ARM",1,8,0.6,13.3333333333333,2016-03-15 01:55:00,2016-03-15 02:30:00
2016,"ARM",2,1,0.0166666666666667,60,2016-03-23 17:25:00,2016-03-23 17:25:00
2016,"ARM",3,10,0.433333333333333,23.0769230769231,2016-03-23 18:00:00,2016-03-23 18:25:00
2016,"ARM",4,4,0.183333333333333,21.8181818181818,2016-04-20 05:20:00,2016-04-20 05:30:00
2016,"ARM",5,21,1.85,11.3513513513514,2016-04-20 05:55:00,2016-04-20 07:45:00
2016,"ARM",6,5,0.516666666666667,9.67741935483871,2016-04-20 08:45:00,2016-04-20 09:15:00
2016,"ARM",7,1,0.0166666666666667,60,2016-04-20 09:45:00,2016-04-20 09:45:00
2016,"ARM",8,3,0.1,30,2016-04-20 11:15:00,2016-04-20 11:20:00
2016,"ARM",9,1,0.0166666666666667,60,2016-04-24 18:00:00,2016-04-24 18:00:00
2016,"ARM",10,5,0.6,8.33333333333333,2016-04-24 21:25:00,2016-04-24 22:00:00
2016,"ARM",11,7,1.1,6.36363636363636,2016-04-27 00:55:00,2016-04-27 02:00:00
2016,"ARM",12,1,0.0166666666666667,60,2016-04-27 02:40:00,2016-04-27 02:40:00
2016,"ARM",13,1,0.0166666666666667,60,2016-04-27 03:15:00,2016-04-27 03:15:00
2016,"ARM",14,1,0.0166666666666667,60,2016-04-27 04:05:00,2016-04-27 04:05:00
2016,"ARM",15,1,0.0166666666666667,60,2016-04-27 04:45:00,2016-04-27 04:45:00
2016,"ARM",16,26,1.01666666666667,25.5737704918033,2016-04-27 16:20:00,2016-04-27 17:20:00
2016,"ARM",17,7,1.1,6.36363636363636,2016-04-27 17:45:00,2016-04-27 18:50:00
2016,"ARM",18,1,0.0166666666666667,60,2016-04-30 03:45:00,2016-04-30 03:45:00
2016,"ARM",19,2,0.1,20,2016-04-30 04:25:00,2016-04-30 04:30:00
2016,"ARM",20,26,3.01666666666667,8.61878453038674,2016-04-30 05:35:00,2016-04-30 08:35:00
2016,"ARM",21,2,0.183333333333333,10.9090909090909,2016-04-30 08:55:00,2016-04-30 09:05:00
2016,"ARM",22,2,0.1,20,2016-04-30 09:40:00,2016-04-30 09:45:00
2016,"ARM",23,3,0.183333333333333,16.3636363636364,2016-05-09 02:05:00,2016-05-09 02:15:00
2016,"ARM",24,17,0.516666666666667,32.9032258064516,2016-05-09 03:15:00,2016-05-09 03:45:00
2016,"ARM",25,3,0.183333333333333,16.3636363636364,2016-05-09 05:05:00,2016-05-09 05:15:00
2016,"ARM",26,2,0.1,20,2016-05-09 07:40:00,2016-05-09 07:45:00
2016,"ARM",27,2,0.1,20,2016-05-09 21:45:00,2016-05-09 21:50:00
2016,"ARM",28,6,0.433333333333333,13.8461538461538,2016-05-09 22:10:00,2016-05-09 22:35:00
2016,"ARM",29,2,0.1,20,2016-05-09 23:15:00,2016-05-09 23:20:00
2016,"ARM",30,16,0.766666666666667,20.8695652173913,2016-05-11 08:05:00,2016-05-11 08:50:00
2016,"ARM",31,3,0.1,30,2016-05-24 01:30:00,2016-05-24 01:35:00
2016,"ARM",32,4,0.183333333333333,21.8181818181818,2016-05-25 02:45:00,2016-05-25 02:55:00
2016,"ARM",33,2,0.266666666666667,7.5,2016-05-25 06:40:00,2016-05-25 06:55:00
2016,"ARM",34,1,0.0166666666666667,60,2016-05-26 00:30:00,2016-05-26 00:30:00
