"SiteID","Year","Treatment","sampleID","tss_sum","ro_count","flow_sum","flow_min","rf_event","rain_mm","rain_hr","rf_rate"
"ARM",2016,"control","1001",12.1158890626351,2,14054.791,4307,5,11,3.85,2.85714285714286
"ARM",2016,"control","1001",12.1158890626351,2,14054.791,4307,6,33,2.51666666666667,13.112582781457
"ARM",2016,"control","1001",12.1158890626351,2,14054.791,4307,7,33,6.01666666666667,5.48476454293629
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,8,25,5.68333333333333,4.39882697947214
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,9,10,1.6,6.25
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,10,16,0.766666666666667,20.8695652173913
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,13,12,2.01666666666667,5.9504132231405
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,14,51,3.43333333333333,14.8543689320388
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,15,6,0.516666666666667,11.6129032258065
"ARM",2016,"control","1016",1.03532812154757,1,4408.917,1106,22,56,5.01666666666667,11.1627906976744
"ARM",2016,"control","1034",0.0022561341222799,1,20.8,26,36,47,2.1,22.3809523809524
"ARM",2016,"strips","1000",0.228433318074387,1,802.293,691,7,33,6.01666666666667,5.48476454293629
"ARM",2016,"strips","1007",0.0973574359165653,1,1604.461,826,14,51,3.43333333333333,14.8543689320388
"EIA",2016,"control","1011",11.5325813146733,1,76336.211,2341,19,129,8.26666666666667,15.6048387096774
"EIA",2016,"control","1020",8.54253176007114,1,58415.639,2071,32,110,4.01666666666667,27.3858921161826
"EIA",2016,"control","1024",2.35905201751408,1,23041.334,1816,35,5,0.1,50
"EIA",2016,"control","1024",2.35905201751408,1,23041.334,1816,36,16,1.68333333333333,9.5049504950495
"EIA",2016,"control","1024",2.35905201751408,1,23041.334,1816,37,41,4.68333333333333,8.75444839857651
"EIA",2016,"control","1027",0.521034554963325,1,2097.214,756,39,31,2.18333333333333,14.1984732824427
"EIA",2016,"control","1032",2.30228600104709,1,42933.249,1561,40,62,2.35,26.3829787234043
"EIA",2016,"strips","1002",0.020226525786226,1,954.611,1576,6,13,4.43333333333333,2.93233082706767
"EIA",2016,"strips","1009",0.194885020329877,1,4179.549,2486,12,15,0.266666666666667,56.25
"EIA",2016,"strips","1009",0.194885020329877,1,4179.549,2486,13,13,1.1,11.8181818181818
"EIA",2016,"strips","1010",0.742933972006363,1,118876.945,3566,19,129,8.26666666666667,15.6048387096774
"EIA",2016,"strips","1012",0.223646337059571,1,1954.077,1571,21,20,2.26666666666667,8.82352941176471
"EIA",2016,"strips","1015",0.000718083397687206,1,339.15,1526,27,15,1.51666666666667,9.89010989010989
"EIA",2016,"strips","1017",0.213075231462707,2,1436.179,1742,29,21,1.18333333333333,17.7464788732394
"EIA",2016,"strips","1017",0.213075231462707,2,1436.179,1742,31,30,0.766666666666667,39.1304347826087
"EIA",2016,"strips","1019",3.80142254485798,1,101778.842,1656,32,110,4.01666666666667,27.3858921161826
"EIA",2016,"strips","1023",0.199066969548976,1,31307.731,1476,37,41,4.68333333333333,8.75444839857651
"EIA",2016,"strips","1026",0.254889480095988,1,9250.862,1556,39,31,2.18333333333333,14.1984732824427
"EIA",2016,"strips","1031",0.987785746035734,1,77675.695,1576,40,62,2.35,26.3829787234043
"EIA",2016,"strips","1036",0.881671266760161,1,6819.468,1621,41,29,3.1,9.35483870967742
"EIA",2016,"strips","1037",0.0402412745772072,1,5712.529,1806,42,19,6.18333333333333,3.07277628032345
"EIA",2016,"strips","1038",0.24721545073041,1,5712.529,1806,42,19,6.18333333333333,3.07277628032345
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,1,8.64,2.01666666666667,4.28429752066116
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,2,17.26,2.01666666666667,8.55867768595041
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,10,29.45,11.0166666666667,2.6732223903177
"HOE",2016,"control","SPL1051",4.1518030140632,1,372.238,1441,4,63.99,16.0166666666667,3.9952133194589
"HOE",2016,"control","SPL1052",1.83508339033948,2,5056.094,2062,7,45,6.76666666666667,6.65024630541872
"HOE",2016,"control","SPL1052",1.83508339033948,2,5056.094,2062,8,13,3.01666666666667,4.30939226519337
"HOE",2016,"control","SPL1053",0.487347441715697,1,1084.536,1331,9,29,6.68333333333333,4.33915211970075
"WHI",2016,"control","1018",4.01195355204057,1,669.637,1761,12,52,4.85,10.7216494845361
"WOR",2016,"control","1025",0.0335283023558345,1,470.253,1091,35,9,0.6,15
"WOR",2016,"control","1025",0.0335283023558345,1,470.253,1091,36,43,1.76666666666667,24.3396226415094
"WOR",2016,"control","1030",3.75612604339564,1,21759.852,1966,40,59,3.35,17.6119402985075
"WOR",2016,"control","1030",3.75612604339564,1,21759.852,1966,41,4,0.433333333333333,9.23076923076923
"WOR",2016,"control","1035",0.0981246570454456,1,653.72,511,42,23,3.93333333333333,5.84745762711864
"ARM",2017,"control","2007",3.39878569742421,1,813.535,1691,8,28,4.35,6.4367816091954
"ARM",2017,"control","2011",7.96093286982615,1,15942.344,6481,9,43,4.35,9.88505747126437
"ARM",2017,"control","2012",3.28639390422923,1,15942.344,6481,9,43,4.35,9.88505747126437
"ARM",2017,"control","2012",3.28639390422923,1,15942.344,6481,10,4,0.183333333333333,21.8181818181818
"ARM",2017,"control","2014",5.82499120293417,1,15942.344,6481,11,19,2.43333333333333,7.80821917808219
"ARM",2017,"control","2014",5.82499120293417,1,15942.344,6481,12,13,4.68333333333333,2.77580071174377
"ARM",2017,"control","2014",5.82499120293417,1,15942.344,6481,13,11,2.18333333333333,5.0381679389313
"ARM",2017,"control","2020",0.188160937398134,1,187.058,96,17,28,2.6,10.7692307692308
"ARM",2017,"control","2022",19.5935055987286,1,16066.336,1666,19,55,0.516666666666667,106.451612903226
"ARM",2017,"strips","2021",0.288743945385142,1,3436.717,576,19,55,0.516666666666667,106.451612903226
"HOE",2017,"control","SPL2050",4.12012080724056,1,2383.903,1096,5,21,1.85,11.3513513513514
"HOE",2017,"control","SPL2051",2.94029038079832,1,1341.035,3296,9,10,0.266666666666667,37.5
"HOE",2017,"control","SPL2052",2.49819909977022,1,13551.175,2131,10,23,11.6,1.98275862068966
"HOE",2017,"control","SPL2053",12.0926776507704,1,6132.195,1766,14,51,5.6,9.10714285714286
"HOE",2017,"control","SPL2054",10.3028263342533,1,1318.782,1606,18,58.92,5.01666666666667,11.7448504983389
"ARM",2018,"control","3046",0.0582999336016813,1,421.114,181,35,9,2.01666666666667,4.46280991735537
"ARM",2018,"control","3048",0.133860527827472,1,5056.601,1276,38,7,1.6,4.375
"ARM",2018,"control","3048",0.133860527827472,1,5056.601,1276,39,9,1.85,4.86486486486487
"ARM",2018,"control","3075",0.123350904716954,1,5369.519,1516,44,21,1.6,13.125
"EIA",2018,"control","3012",9.73063882063219,1,25590.214,2351,9,26,1.01666666666667,25.5737704918033
"EIA",2018,"control","3012",9.73063882063219,1,25590.214,2351,10,56,2.26666666666667,24.7058823529412
"EIA",2018,"control","3020",0.121043369938603,1,76910.36,5166,12,15,0.85,17.6470588235294
"EIA",2018,"control","3020",0.121043369938603,1,76910.36,5166,13,32,7.26666666666667,4.40366972477064
"EIA",2018,"control","3026",11.2753423284514,1,76910.36,5166,14,10,1.35,7.40740740740741
"EIA",2018,"control","3026",11.2753423284514,1,76910.36,5166,15,64,3.43333333333333,18.6407766990291
"EIA",2018,"control","3052",1.85254850414491,1,14865.17,4736,34,52,7.93333333333333,6.5546218487395
"EIA",2018,"control","3060",1.25307451054931,1,16266.427,3671,36,17,4.68333333333333,3.62989323843416
"EIA",2018,"control","3060",1.25307451054931,1,16266.427,3671,37,31,3.18333333333333,9.73821989528796
"EIA",2018,"control","3072",3.51370282909298,1,37123.009,4791,43,14,2.01666666666667,6.94214876033058
"EIA",2018,"control","3072",3.51370282909298,1,37123.009,4791,44,21,1.93333333333333,10.8620689655172
"EIA",2018,"control","3081",0.450533762718377,1,37123.009,4791,46,12,1.1,10.9090909090909
"EIA",2018,"strips","3011",73.8884599107298,1,29124.341,2361,9,26,1.01666666666667,25.5737704918033
"EIA",2018,"strips","3011",73.8884599107298,1,29124.341,2361,10,56,2.26666666666667,24.7058823529412
"EIA",2018,"strips","3022",0.18154585792412,1,7572.156,2681,12,15,0.85,17.6470588235294
"EIA",2018,"strips","3022",0.18154585792412,1,7572.156,2681,13,32,7.26666666666667,4.40366972477064
"EIA",2018,"strips","3025",1.39048605158047,2,98521.885,3322,15,64,3.43333333333333,18.6407766990291
"EIA",2018,"strips","3051",0.295690250334663,2,9824.768,3637,34,52,7.93333333333333,6.5546218487395
"EIA",2018,"strips","3051",0.295690250334663,2,9824.768,3637,35,32,6.51666666666667,4.91048593350384
"EIA",2018,"strips","3059",0.402383829056129,1,15563.181,1481,37,31,3.18333333333333,9.73821989528796
"EIA",2018,"strips","3071",1.26569501036943,2,63324.468,5297,42,25,8.43333333333333,2.96442687747036
"EIA",2018,"strips","3071",1.26569501036943,2,63324.468,5297,43,14,2.01666666666667,6.94214876033058
"EIA",2018,"strips","3071",1.26569501036943,2,63324.468,5297,44,21,1.93333333333333,10.8620689655172
"EIA",2018,"strips","3080",0.378521650465186,1,60937.901,3686,46,12,1.1,10.9090909090909
"HOE",2018,"control","SPL3300",0.11161377493237,1,715.401,1116,1,37,5.93333333333333,6.23595505617978
"HOE",2018,"control","SPL3301",11.5875867675428,1,21627.68,2391,3,80,15.9333333333333,5.02092050209205
"HOE",2018,"control","SPL3302",24.4739643282972,1,27089.94,2471,4,35,2.85,12.280701754386
"HOE",2018,"control","SPL3302",24.4739643282972,1,27089.94,2471,5,14,0.85,16.4705882352941
"HOE",2018,"control","SPL3304",1.6203403681845,1,27089.94,2471,6,15,0.683333333333333,21.9512195121951
"HOE",2018,"control","SPL3306",10.6460941731909,1,13311.517,1846,7,46,6.93333333333333,6.63461538461538
"HOE",2018,"control","SPL3308",0.0325957160216956,1,89.809,26,12,4,0.266666666666667,15
"HOE",2018,"control","SPL3309",0.475850246887053,1,2886.819,5331,13,72.6,45.0166666666667,1.61273602369493
"HOE",2018,"control","SPL3310",10.9597527332574,1,22709.749,4856,14,69.32,57.0166666666667,1.21578485822859
"HOE",2018,"strips","SPL3303",12.9702215190039,1,72920.742,931,4,35,2.85,12.280701754386
