SiteID,precipitation,rain_time,sampleID,subtreatment,Treatment,rf_event,Year,flow_time,ro_event,flow,tss_sum
ARM,0.011,231,1001,prairie strip,strips,10,2016,0,NA,0,0
ARM,0.033,151,1001,control,control,12,2016,0,NA,0,0
ARM,0.025,341,1006,control,control,16,2016,0,NA,0,0
ARM,0.01,96,1006,control,control,18,2016,0,NA,0,0
ARM,0.016,46,1006,control,control,20,2016,0,NA,0,0
ARM,0.012,121,1008,control,control,26,2016,0,NA,0,0
ARM,0.007,231,1008,control,control,30,2016,0,NA,0,0
MAR,0.04,176,2023,grass strip,strips,18,2017,16,4,48.757,1.36483222
MAR,0.014,46,4027,control,control,42,2019,16,18,154.922,1.293150312
ARM,0.047,126,1034,control,control,80,2016,26,113,20.8,0.003297607
HOE,NA,NA,SPL3308,control,control,NA,2018,26,28,89.809,0.05995933
RHO,NA,NA,5013,control,control,NA,2020,26,10,342.835,4.309061969
RHO,NA,NA,3040,prairie strip,strips,NA,2018,41,22,125.991,0.058663463
RHO,0.03,51,4046,control,control,68,2019,51,40,284.601,1.643851112
WHI,0.027,41,3209,prairie strip,strips,42,2018,61,18,2557.92,0.141992588
WOR,0.016,316,4007,prairie strip,strips,28,2019,61,16,184.262,0.101733664
WOR,0.024,46,5008,prairie strip,strips,20,2020,61,6,278.536,0.219996094
ARM,0.029,151,4053,control,control,88,2019,71,28,3036.538,3.499987412
WHI,0.035,161,3211,prairie strip,strips,74,2018,81,20,1173.609,0.815306233
WHI,0.07696,15421,4012,prairie strip,strips,24,2019,86,2,2423.494,1.589017058
WHI,0.017,546,4064,prairie strip,strips,84,2019,86,24,587.591,0.052997137
RHO,NA,NA,6008,control,control,NA,2021,91,14,7402.286,6.072865656
WHI,0.039,866,3213,control,control,78,2018,91,42,11937.446,45.12562028
ARM,0.035,521,2020,control,control,38,2017,96,36,187.058,0.275019461
RHO,0.008,11,4028,prairie strip,strips,40,2019,101,28,252.014,6.898277023
WHI,0.102,106,4049,prairie strip,strips,48,2019,106,18,13551.214,5.81765841
WHI,0.039,866,3212,prairie strip,strips,78,2018,111,22,22808.552,29.25706145
WHI,0.102,106,4050,control,control,48,2019,111,8,4483.814,4.531913279
WOR,0.09906,102421,3044,control,control,12,2018,111,26,2055.831,0.003853517
RHO,0.011,119,4069,control,control,100,2019,131,48,6055.452,7.982430616
WOR,0.026,76,3064,control,control,40,2018,136,36,8580.907,2.067985483
RHO,0.035,296,5017,control,control,34,2020,141,12,2085.566,4.814615496
RHO,0.017,281,5017,control,control,36,2020,141,12,2085.566,4.814615496
WHI,0.07696,15421,4020,control,control,24,2019,141,2,1270.267,0.830954978
WHI,0.018,61,3077,control,control,88,2018,156,44,3457.227,9.389230337
WHI,0.02,251,3077,control,control,90,2018,156,44,3457.227,9.389230337
WHI,0.07696,15421,4019,prairie strip,strips,24,2019,176,8,2919.821,2.431040958
ARM,0.02,496,3046,control,control,72,2018,181,15,421.114,0.085212247
WHI,NA,NA,3203,control,control,NA,2018,191,4,4992.789,17.32999285
WHI,0.07696,15421,4020,control,control,24,2019,191,4,2054.508,1.343972291
ARM,0.014,36,4063,control,control,98,2019,216,34,1455.414,0.569116633
MCN,NA,NA,6004,control,control,NA,2021,226,16,239.915,0.201617394
WOR,0.026,76,3063,prairie strip,strips,40,2018,226,70,8615.366,2.956399921
EIA,0.021,71,1017,prairie strip,strips,78,2016,236,46,194.991,0.029891543
EIA,0.03,46,1017,prairie strip,strips,82,2016,236,46,194.991,0.029891543
HOE,0.015,41,SPL3305,prairie strip,strips,16,2018,246,6,37740.114,7.303059104
MCN,NA,NA,6000,control,control,NA,2021,286,2,2180.942,8.051957286
MCN,NA,NA,6005,prairie strip,strips,NA,2021,316,16,3671.541,0.910299028
WHI,0.015,91,3206,prairie strip,strips,36,2018,321,12,17500.742,4.003503058
ARM,NA,NA,2015,prairie strip,strips,NA,2017,336,10,261.986,0.014110014
MAR,0.035,166,5010,control,control,14,2020,346,12,267.336,0.78632521
MCN,NA,NA,6001,prairie strip,strips,NA,2021,356,8,1258.642,0.197857488
RHO,0.035,296,5017,control,control,34,2020,371,14,2327.317,5.370115201
RHO,0.017,281,5017,control,control,36,2020,371,14,2327.317,5.370115201
RHO,NA,NA,6002,prairie strip,strips,NA,2021,386,2,589.492,5.894506629
ARM,0.06,101,4043,control,control,52,2019,461,22,452.92,22.62740997
WOR,0.04,321,3055,prairie strip,strips,22,2018,461,60,1201.873,0.609375627
WOR,0.009,36,3055,prairie strip,strips,24,2018,461,60,1201.873,0.609375627
WOR,0.017,136,3055,prairie strip,strips,28,2018,461,60,1201.873,0.609375627
WOR,0.011,431,3055,prairie strip,strips,30,2018,461,60,1201.873,0.609375627
RHO,0.028,341,4011,control,control,24,2019,476,18,3381.682,4.955737554
WHI,0.029,441,3208,prairie strip,strips,40,2018,476,16,3605.013,0.253254207
WOR,0.029,146,4032,control,control,44,2019,486,10,1169.809,1.378286226
WOR,0.09906,102421,3015,prairie strip,strips,12,2018,501,20,109610.09,96.6595536
RHO,0.016,86,3008,control,control,10,2018,506,12,758.573,0.350441849
WHI,0.07696,15421,4019,prairie strip,strips,24,2019,516,4,7193.132,5.988996759
RHO,0.057,501,4023,prairie strip,strips,26,2019,521,20,7660.874,354.1355998
RHO,0.011,51,4023,prairie strip,strips,34,2019,521,20,7660.874,354.1355998
RHO,0.019,496,4038,prairie strip,strips,54,2019,531,40,410.733,4.125419489
WOR,0.057,466,4015,control,control,30,2019,546,4,23770.585,71.80656162
WOR,0.029,146,4031,prairie strip,strips,44,2019,561,32,5040.568,13.62233634
ARM,0.055,31,2021,prairie strip,strips,42,2017,576,12,3436.717,0.256284475
RHO,0.013,96,3066,control,control,86,2018,576,102,6835.727,2.967370675
RHO,0.022,81,3066,control,control,88,2018,576,102,6835.727,2.967370675
WHI,0.015,26,3200,prairie strip,strips,10,2018,576,2,3958.067,6.255575116
WHI,0.011,96,3201,prairie strip,strips,12,2018,576,2,3958.067,1.535907051
RHO,0.028,341,4010,prairie strip,strips,24,2019,586,18,3238.151,10.16579495
WOR,0.09906,102421,3030,control,control,12,2018,606,16,3885.192,1.51750412
WOR,0.026,986,3068,control,control,44,2018,621,38,17517.722,10.01886109
RHO,0.022,86,5020,control,control,40,2020,626,18,185.925,0.536089065
RHO,0.008,41,5020,control,control,42,2020,626,18,185.925,0.536089065
RHO,0.02,366,5020,control,control,44,2020,626,18,185.925,0.536089065
RHO,0.057,501,4024,control,control,26,2019,631,20,10573.189,291.3597747
RHO,0.011,51,4024,control,control,34,2019,631,20,10573.189,291.3597747
EIA,0.012,466,3025,prairie strip,strips,32,2018,641,24,90949.729,1.422611595
EIA,0.064,206,3025,prairie strip,strips,34,2018,641,24,90949.729,1.422611595
WOR,0.09906,102421,3035,control,control,12,2018,646,18,19826.006,0.076096922
ARM,0.024,261,4016,prairie strip,strips,30,2019,656,12,4441.809,0.653272317
RHO,0.057,501,4023,prairie strip,strips,26,2019,656,24,888.548,35.96576359
RHO,0.011,51,4023,prairie strip,strips,34,2019,656,24,888.548,35.96576359
WHI,0.018,61,3077,control,control,88,2018,656,46,13306.934,36.13553355
WHI,0.02,251,3077,control,control,90,2018,656,46,13306.934,36.13553355
WHI,0.02,251,3076,prairie strip,strips,90,2018,656,26,12523.72,17.58785889
ARM,0.052,456,4013,control,control,24,2019,661,8,681.16,2.167175397
ARM,0.064,696,4051,control,control,86,2019,676,26,725.6,1.724727541
ARM,0.033,361,1000,prairie strip,strips,14,2016,691,12,802.293,0.202753734
RHO,0.015,711,4005,control,control,20,2019,701,14,28.471,1.144730446
RHO,0.024,451,4005,control,control,22,2019,701,14,28.471,1.144730446
RHO,0.057,501,4024,control,control,26,2019,701,24,738.565,20.35222494
RHO,0.011,51,4024,control,control,34,2019,701,24,738.565,20.35222494
WOR,0.021,36,4040,prairie strip,strips,56,2019,741,42,14950.446,6.158659827
EIA,0.031,131,1027,control,control,102,2016,756,88,2097.325,0.521034555
RHO,0.024,451,4004,prairie strip,strips,22,2019,756,16,2794.517,15.21977717
HOE,0.046,416,SPL3307,prairie strip,strips,18,2018,771,10,45926.228,3.954462414
ARM,0.015,166,4065,control,control,102,2019,796,36,1428.299,0.685351401
HOE,NA,NA,6011,control,control,NA,2021,796,54,630.489,0.101537837
ARM,0.051,206,1007,prairie strip,strips,28,2016,826,14,1604.461,0.086412892
WOR,0.023,411,3000,control,control,8,2018,831,2,5566.28,1.476607614
WOR,0.04,321,3055,prairie strip,strips,22,2018,831,56,40030.336,20.33628073
WOR,0.009,36,3055,prairie strip,strips,24,2018,831,56,40030.336,20.33628073
WOR,0.017,136,3055,prairie strip,strips,28,2018,831,56,40030.336,20.33628073
WOR,0.011,431,3055,prairie strip,strips,30,2018,831,56,40030.336,20.33628073
RHO,0.015,711,4005,control,control,20,2019,846,16,269.517,14.30405694
RHO,0.024,451,4005,control,control,22,2019,846,16,269.517,14.30405694
WHI,0.016,1,3202,prairie strip,strips,28,2018,856,8,23983.284,2.124183723
WHI,NA,NA,3204,prairie strip,strips,NA,2018,856,8,23983.284,0.436901312
WOR,0.026,986,3067,prairie strip,strips,44,2018,856,74,21482.993,10.66672184
WHI,0.02,251,3076,prairie strip,strips,90,2018,871,24,9464.307,0.52718133
RHO,0.024,451,4004,prairie strip,strips,22,2019,876,14,245.016,1.300554589
HOE,NA,NA,SPL3311,prairie strip,strips,NA,2018,906,16,88518.424,14.21401249
MAR,0.046,231,3036,control,control,16,2018,906,42,133.76,0.010645826
HOE,0.049,461,SPL3303,prairie strip,strips,14,2018,931,4,72920.742,14.49719291
RHO,0.019,366,3045,control,control,58,2018,956,80,84.876,0.024197524
RHO,0.007,116,3045,control,control,60,2018,956,80,84.876,0.024197524
RHO,0.012,271,3045,control,control,64,2018,956,80,84.876,0.024197524
WOR,0.057,466,4014,prairie strip,strips,30,2019,986,18,34544.681,65.75345526
RHO,0.013,96,3065,prairie strip,strips,86,2018,1001,46,1261.667,2.380078966
RHO,0.022,81,3065,prairie strip,strips,88,2018,1001,46,1261.667,2.380078966
HOE,0.045,406,SPL1052,control,control,14,2016,1026,24,1009.896,0.674238523
HOE,0.013,181,SPL1052,control,control,16,2016,1026,24,1009.896,0.674238523
RHO,0.061,436,3037,prairie strip,strips,36,2018,1036,20,9258.3,0.609555825
RHO,0.021,66,3021,prairie strip,strips,24,2018,1066,12,2520.362,1.147663074
RHO,0.011,321,3021,prairie strip,strips,26,2018,1066,12,2520.362,1.147663074
RHO,NA,NA,3023,prairie strip,strips,NA,2018,1066,12,2520.362,0.05104997
WOR,0.061,836,1025,control,control,82,2016,1091,26,470.253,0.050369002
MCN,NA,NA,6007,prairie strip,strips,NA,2021,1106,18,25017.192,3.708710987
HOE,0.037,356,SPL3300,control,control,8,2018,1116,6,715.401,0.205311862
RHO,0.032,251,5005,prairie strip,strips,16,2020,1116,12,2989.048,3.011980453
ARM,0.056,301,1016,control,control,48,2016,1126,55,4413.512,1.513254485
ARM,0.024,261,4017,control,control,30,2019,1161,14,2623.566,8.399633621
WOR,0.036,391,4072,prairie strip,strips,128,2019,1161,82,1095.795,0.201661731
