Year,SiteID,rf_event,rain_mm,rain_hr,rf_rate,sampleID,sample_event,period,Time
2016,ARM,5,44,17.93333333,2.453531599,1001,1,o,
2016,ARM,6,33,6.016666667,5.484764543,1000,1,o,
2016,ARM,6,33,6.016666667,5.484764543,1001,1,o,
2016,ARM,7,25,5.683333333,4.398826979,1006,2,o,
2016,ARM,8,10,1.6,6.25,1006,2,o,
2016,ARM,9,16,0.766666667,20.86956522,1006,2,o,
2016,ARM,12,12,2.016666667,5.950413223,1008,3,i,1
2016,ARM,13,51,3.433333333,14.85436893,1007,3,i,1
2016,ARM,13,51,3.433333333,14.85436893,1008,3,i,1
2016,ARM,14,7,3.85,1.818181818,1008,3,i,1
2016,ARM,21,56,5.016666667,11.1627907,1016,4,o,
2016,ARM,32,47,2.1,22.38095238,1034,5,o,
2017,ARM,6,28,4.35,6.436781609,2007,1,i,1
2017,ARM,7,50,19.6,2.551020408,2011_2,2,i,1
2017,ARM,8,19,2.433333333,7.808219178,2014,3,i,1
2017,ARM,9,24,10.68333333,2.24648986,2014,3,i,1
2017,ARM,12,35,8.683333333,4.030710173,2020,4,i,3
2017,ARM,14,55,0.516666667,106.4516129,2021,5,i,3
2017,ARM,14,55,0.516666667,106.4516129,2022,5,i,3
2018,ARM,26,20,8.266666667,2.419354839,3046,1,o,
2018,ARM,28,22,18.6,1.182795699,3048,2,o,
2018,ARM,34,22,13.51666667,1.627620222,3075,3,o,
2019,ARM,9,52,7.6,6.842105263,4013,1,i,1
2019,ARM,12,24,4.35,5.517241379,4016,2,i,1
2019,ARM,12,24,4.35,5.517241379,4017,2,i,1
2019,ARM,20,60,1.683333333,35.64356436,4043,3,i,3
2019,ARM,32,64,11.6,5.517241379,4051,4,o,
2019,ARM,33,29,2.516666667,11.52317881,4053,5,o,
2019,ARM,36,51,19.76666667,2.58010118,4056,6,o,
2019,ARM,37,14,0.6,23.33333333,4063,7,o,
2019,ARM,38,21,24.6,0.853658537,4065,8,o,
2016,EIA,6,13,4.433333333,2.932330827,1002,1,o,
2016,EIA,11,15,0.266666667,56.25,1009,2,i,1
2016,EIA,12,13,1.1,11.81818182,1009,2,i,1
2016,EIA,17,129,8.266666667,15.60483871,1010,3,i,2
2016,EIA,17,129,8.266666667,15.60483871,1011,3,i,2
2016,EIA,19,20,2.266666667,8.823529412,1012,4,i,2
2016,EIA,24,15,1.516666667,9.89010989,1015,5,o,
2016,EIA,26,21,1.183333333,17.74647887,1017,6,o,
2016,EIA,28,30,0.766666667,39.13043478,1017,6,o,
2016,EIA,29,112,14.26666667,7.85046729,1019,7,o,
2016,EIA,29,112,14.26666667,7.85046729,1020,7,o,
2016,EIA,32,62,17.85,3.473389356,1023,8,o,
2016,EIA,32,62,17.85,3.473389356,1024,8,o,
2016,EIA,34,31,2.183333333,14.19847328,1026,9,o,
2016,EIA,34,31,2.183333333,14.19847328,1027,9,o,
2016,EIA,35,62,2.35,26.38297872,1031,10,o,
2016,EIA,35,62,2.35,26.38297872,1032,10,o,
2016,EIA,36,29,3.1,9.35483871,1036,11,o,
2016,EIA,37,19,6.183333333,3.07277628,1037,12,o,
2016,EIA,37,19,6.183333333,3.07277628,1038,12,o,
2018,EIA,9,26,1.016666667,25.57377049,3011,1,i,2
2018,EIA,9,26,1.016666667,25.57377049,3012,1,i,2
2018,EIA,10,56,2.266666667,24.70588235,3011,1,i,2
2018,EIA,10,56,2.266666667,24.70588235,3012,1,i,2
2018,EIA,12,47,12.43333333,3.780160858,3020,2,i,3
2018,EIA,12,47,12.43333333,3.780160858,3022,2,i,3
2018,EIA,13,78,31.93333333,2.442588727,3020_6,2,i,3
2018,EIA,13,78,31.93333333,2.442588727,3022_5,2,i,3
2018,EIA,27,53,19.1,2.77486911,3051,3,o,
2018,EIA,27,53,19.1,2.77486911,3052,3,o,
2018,EIA,28,32,6.516666667,4.910485934,3051,3,o,
2018,EIA,29,17,4.683333333,3.629893238,3060,4,o,
2018,EIA,30,31,3.183333333,9.738219895,3059,4,o,
2018,EIA,30,31,3.183333333,9.738219895,3060,4,o,
2018,EIA,35,25,8.433333333,2.964426877,3071,5,o,
2018,EIA,36,35,11.26666667,3.106508876,3071,5,o,
2018,EIA,36,35,11.26666667,3.106508876,3072,5,o,
2018,EIA,38,14,10.1,1.386138614,3080,6,o,
2018,EIA,38,14,10.1,1.386138614,3081,6,o,
2018,EIA,39,17,22.43333333,0.757800892,3080,6,o,
2018,EIA,39,17,22.43333333,0.757800892,3081,6,o,
2016,HOE,1,8.64,2.016666667,4.284297521,SPL1050,1,o,
2016,HOE,2,17.26,2.016666667,8.558677686,SPL1050,1,o,
2016,HOE,4,63.99,24.01666667,2.664399722,SPL1051,2,o,
2016,HOE,6,45,6.766666667,6.650246305,SPL1052,3,o,
2016,HOE,7,13,3.016666667,4.309392265,SPL1052,3,o,
2016,HOE,8,29,6.683333333,4.33915212,SPL1053,4,o,
2016,HOE,9,93.44,163.0166667,0.573192925,SPL1050,1,o,
2016,HOE,9,93.44,163.0166667,0.573192925,SPL1051,2,o,
2017,HOE,5,21,1.85,11.35135135,SPL2050,1,o,
2017,HOE,7,23,19.01666667,1.209465381,SPL2051,2,o,
2017,HOE,8,23,11.6,1.982758621,SPL2052,3,o,
2017,HOE,12,51,5.6,9.107142857,SPL2053,4,o,
2017,HOE,16,58.92,5.016666667,11.7448505,SPL2054,5,o,
2018,HOE,1,43,15.43333333,2.786177106,SPL3300,1,o,
2018,HOE,2,80,15.93333333,5.020920502,SPL3301,2,o,
2018,HOE,3,49,7.683333333,6.377440347,SPL3302_4,3,o,
2018,HOE,3,49,7.683333333,6.377440347,SPL3303_5,3,o,
2018,HOE,4,15,0.683333333,21.95121951,SPL3302_4,3,o,
2018,HOE,4,15,0.683333333,21.95121951,SPL3303_5,3,o,
2018,HOE,5,46,6.933333333,6.634615385,SPL3306,4,o,
2018,HOE,5,46,6.933333333,6.634615385,SPL3307,4,o,
2018,HOE,10,72.6,45.01666667,1.612736024,SPL3309,5,o,
2018,HOE,11,69.32,57.01666667,1.215784858,SPL3310,6,o,
2019,HOE,3,202.92,905.0166667,0.224216865,SPL4300,1,o,
2019,HOE,3,202.92,905.0166667,0.224216865,SPL4301,1,o,
2019,HOE,19,246.8,949.2666667,0.259990168,SPL4300,1,o,
2019,HOE,19,246.8,949.2666667,0.259990168,SPL4301,1,o,
2020,HOE,1,49,15.76666667,3.10782241,5007,1,o,
2021,HOE,22,78,18.51666667,4.212421242,6011,1,o,
2021,HOE,24,78,27.35,2.851919561,6011,1,o,
2021,MCN,1,43,5.6,7.678571429,6000,1,o,
2021,MCN,1,43,5.6,7.678571429,6001,1,o,
2021,MCN,8,44,3.1,14.19354839,6004,2,o,
2021,MCN,8,44,3.1,14.19354839,6005,2,o,
2021,MCN,11,97,16.26666667,5.963114754,6006,3,o,
2021,MCN,11,97,16.26666667,5.963114754,6007,3,o,
2021,MCN,12,71,3.6,19.72222222,6009,4,o,
2021,MCN,12,71,3.6,19.72222222,6010,4,o,
2018,RHO,4,16,1.433333333,11.1627907,3008,1,o,
2018,RHO,8,139,6.35,21.88976378,3017,2,i,2
2018,RHO,10,32,15.68333333,2.040382572,3021,3,i,3
2018,RHO,10,32,15.68333333,2.040382572,3024,3,i,3
2018,RHO,11,4,0.1,40,3024,3,i,3
2018,RHO,13,82,22.85,3.588621444,3028_37,4,i,3
2018,RHO,13,82,22.85,3.588621444,3029_38,4,i,3
2018,RHO,14,61,7.266666667,8.394495413,3028_37,4,i,3
2018,RHO,14,61,7.266666667,8.394495413,3029_38,4,i,3
2018,RHO,19,30,2.016666667,14.87603306,3042,5,o,
2018,RHO,20,37,14.68333333,2.519863791,3042,5,o,
2018,RHO,22,26,15.43333333,1.684665227,3045,6,o,
2018,RHO,24,12,4.516666667,2.656826568,3045,6,o,
2018,RHO,25,56,5.266666667,10.63291139,3053,7,o,
2018,RHO,25,56,5.266666667,10.63291139,3054,7,o,
2018,RHO,26,26,6.766666667,3.842364532,3054,7,o,
2018,RHO,27,22,14.35,1.533101045,3053,7,o,
2018,RHO,27,22,14.35,1.533101045,3054,7,o,
2018,RHO,28,7,6.433333333,1.088082902,3062,8,o,
2018,RHO,29,25,3.6,6.944444444,3061,8,o,
2018,RHO,29,25,3.6,6.944444444,3062,8,o,
2018,RHO,30,13,1.6,8.125,3065,9,o,
2018,RHO,30,13,1.6,8.125,3066,9,o,
2018,RHO,31,22,1.35,16.2962963,3065,9,o,
2018,RHO,31,22,1.35,16.2962963,3066,9,o,
2018,RHO,34,8,4.016666667,1.991701245,3074,10,o,
2018,RHO,35,4,0.433333333,9.230769231,3074,10,o,
2018,RHO,36,16,1.266666667,12.63157895,3074,10,o,
2019,RHO,8,15,11.85,1.265822785,4005,1,o,
2019,RHO,9,24,7.516666667,3.192904656,4004,1,o,
2019,RHO,9,24,7.516666667,3.192904656,4005,1,o,
2019,RHO,10,28,5.683333333,4.926686217,4010,2,o,
2019,RHO,10,28,5.683333333,4.926686217,4011,2,o,
2019,RHO,11,57,8.35,6.826347305,4023,3,i,
2019,RHO,11,57,8.35,6.826347305,4024,3,i,1
2019,RHO,13,22,17.35,1.268011527,4023,3,i,1
2019,RHO,13,22,17.35,1.268011527,4024,3,i,1
2019,RHO,15,8,0.183333333,43.63636364,4028,4,i,2
2019,RHO,15,8,0.183333333,43.63636364,4029,4,i,2
2019,RHO,17,40,2.016666667,19.83471074,4033,5,i,3
2019,RHO,17,40,2.016666667,19.83471074,4034,5,i,3
2019,RHO,18,13,0.35,37.14285714,4033,5,i,3
2019,RHO,18,13,0.35,37.14285714,4034,5,i,3
2019,RHO,19,3,0.183333333,16.36363636,4033,5,i,3
2019,RHO,19,3,0.183333333,16.36363636,4034,5,i,3
2019,RHO,21,19,8.266666667,2.298387097,4038,6,o,
2019,RHO,21,19,8.266666667,2.298387097,4039,6,o,
2019,RHO,28,30,0.85,35.29411765,4046,7,o,
2019,RHO,33,52,19.01666667,2.734443471,4059,8,o,
2019,RHO,33,52,19.01666667,2.734443471,4060,8,o,
2019,RHO,34,5,4.183333333,1.195219124,4059,8,o,
2019,RHO,34,5,4.183333333,1.195219124,4060,8,o,
2019,RHO,35,27,4.933333333,5.472972973,4061,9,o,
2019,RHO,35,27,4.933333333,5.472972973,4062,9,o,
2019,RHO,36,5,1.983333333,2.521008403,4068,10,o,
2019,RHO,37,11,1.983333333,5.546218487,4068,10,o,
2019,RHO,37,11,1.983333333,5.546218487,4069,10,o,
2020,RHO,3,32,4.183333333,7.64940239,5005,1,o,
