"Year","SiteID","rf_event","rain_mm","rain_hr","rf_rate","sampleID"
2016,"ARM",5,11,3.85,2.85714285714286,"1001"
2016,"ARM",6,33,2.51666666666667,13.112582781457,"1001"
2016,"ARM",7,33,6.01666666666667,5.48476454293629,"1001"
2016,"ARM",7,33,6.01666666666667,5.48476454293629,"1000"
2016,"ARM",8,25,5.68333333333333,4.39882697947214,"1006"
2016,"ARM",9,10,1.6,6.25,"1006"
2016,"ARM",10,16,0.766666666666667,20.8695652173913,"1006"
2016,"ARM",13,12,2.01666666666667,5.9504132231405,"1008"
2016,"ARM",14,51,3.43333333333333,14.8543689320388,"1008"
2016,"ARM",14,51,3.43333333333333,14.8543689320388,"1007"
2016,"ARM",15,7,3.85,1.81818181818182,"1008"
2016,"ARM",22,56,5.01666666666667,11.1627906976744,"1016"
2016,"ARM",35,47,2.1,22.3809523809524,"1034"
2016,"EIA",6,13,4.43333333333333,2.93233082706767,"1002"
2016,"EIA",12,15,0.266666666666667,56.25,"1009"
2016,"EIA",13,13,1.1,11.8181818181818,"1009"
2016,"EIA",19,129,8.26666666666667,15.6048387096774,"1010"
2016,"EIA",19,129,8.26666666666667,15.6048387096774,"1011"
2016,"EIA",21,20,2.26666666666667,8.82352941176471,"1012"
2016,"EIA",26,15,1.51666666666667,9.89010989010989,"1015"
2016,"EIA",28,21,1.18333333333333,17.7464788732394,"1017"
2016,"EIA",30,30,0.766666666666667,39.1304347826087,"1017"
2016,"EIA",31,110,4.01666666666667,27.3858921161826,"1020"
2016,"EIA",31,110,4.01666666666667,27.3858921161826,"1019"
2016,"EIA",34,62,17.85,3.4733893557423,"1024"
2016,"EIA",34,62,17.85,3.4733893557423,"1023"
2016,"EIA",36,31,2.18333333333333,14.1984732824427,"1027"
2016,"EIA",36,31,2.18333333333333,14.1984732824427,"1026"
2016,"EIA",37,62,2.35,26.3829787234043,"1031"
2016,"EIA",37,62,2.35,26.3829787234043,"1032"
2016,"EIA",38,29,3.1,9.35483870967742,"1036"
2016,"EIA",39,19,6.18333333333333,3.07277628032345,"1037"
2016,"EIA",39,19,6.18333333333333,3.07277628032345,"1038"
2016,"HOE",1,8.64,2.01666666666667,4.28429752066116,"SPL1050"
2016,"HOE",2,17.26,2.01666666666667,8.55867768595041,"SPL1050"
2016,"HOE",4,63.99,16.0166666666667,3.9952133194589,"SPL1051"
2016,"HOE",7,45,6.76666666666667,6.65024630541872,"SPL1052"
2016,"HOE",8,13,3.01666666666667,4.30939226519337,"SPL1052"
2016,"HOE",9,29,6.68333333333333,4.33915211970075,"SPL1053"
2016,"HOE",10,29.45,11.0166666666667,2.6732223903177,"SPL1050"
2016,"WHI",11,52,4.85,10.7216494845361,"1018"
2016,"WOR",31,61,13.9333333333333,4.37799043062201,"1025"
2016,"WOR",35,59,3.35,17.6119402985075,"1030"
2016,"WOR",36,4,0.433333333333333,9.23076923076923,"1030"
2016,"WOR",37,25,7.85,3.18471337579618,"1035"
2017,"ARM",6,28,4.35,6.4367816091954,"2007"
2017,"ARM",7,50,19.6,2.55102040816327,"2011"
2017,"ARM",7,50,19.6,2.55102040816327,"2012"
2017,"ARM",8,19,2.43333333333333,7.80821917808219,"2014"
2017,"ARM",9,24,10.6833333333333,2.24648985959438,"2014"
2017,"ARM",12,35,8.68333333333333,4.03071017274472,"2020"
2017,"ARM",14,55,0.516666666666667,106.451612903226,"2021"
2017,"ARM",14,55,0.516666666666667,106.451612903226,"2022"
2017,"HOE",5,21,1.85,11.3513513513514,"SPL2050"
2017,"HOE",8,11,3.35,3.28358208955224,"SPL2051"
2017,"HOE",9,23,11.6,1.98275862068966,"SPL2052"
2017,"HOE",13,51,5.6,9.10714285714286,"SPL2053"
2017,"HOE",17,58.92,5.01666666666667,11.7448504983389,"SPL2054"
2018,"ARM",30,20,8.26666666666667,2.41935483870968,"3046"
2018,"ARM",33,18,10.7666666666667,1.671826625387,"3048"
2018,"ARM",38,21,1.6,13.125,"3075"
2018,"EIA",9,26,1.01666666666667,25.5737704918033,"3011"
2018,"EIA",9,26,1.01666666666667,25.5737704918033,"3012"
2018,"EIA",10,56,2.26666666666667,24.7058823529412,"3012"
2018,"EIA",10,56,2.26666666666667,24.7058823529412,"3011"
2018,"EIA",12,47,12.4333333333333,3.78016085790885,"3020"
2018,"EIA",12,47,12.4333333333333,3.78016085790885,"3022"
2018,"EIA",13,12,7.76666666666667,1.5450643776824,"3026"
2018,"EIA",13,12,7.76666666666667,1.5450643776824,"3025"
2018,"EIA",14,64,3.43333333333333,18.6407766990291,"3026"
2018,"EIA",14,64,3.43333333333333,18.6407766990291,"3025"
2018,"EIA",30,52,7.93333333333333,6.5546218487395,"3051"
2018,"EIA",30,52,7.93333333333333,6.5546218487395,"3052"
2018,"EIA",31,32,6.51666666666667,4.91048593350384,"3051"
2018,"EIA",32,17,4.68333333333333,3.62989323843416,"3060"
2018,"EIA",33,31,3.18333333333333,9.73821989528796,"3060"
2018,"EIA",33,31,3.18333333333333,9.73821989528796,"3059"
2018,"EIA",38,25,8.43333333333333,2.96442687747036,"3071"
2018,"EIA",39,14,2.01666666666667,6.94214876033058,"3072"
2018,"EIA",39,14,2.01666666666667,6.94214876033058,"3071"
2018,"EIA",40,21,1.93333333333333,10.8620689655172,"3072"
2018,"EIA",40,21,1.93333333333333,10.8620689655172,"3071"
2018,"EIA",42,12,1.1,10.9090909090909,"3081"
2018,"EIA",42,12,1.1,10.9090909090909,"3080"
2018,"HOE",1,37,5.93333333333333,6.23595505617978,"SPL3300"
2018,"HOE",3,80,15.9333333333333,5.02092050209205,"SPL3301"
2018,"HOE",4,49,7.68333333333333,6.37744034707158,"SPL3302"
2018,"HOE",4,49,7.68333333333333,6.37744034707158,"SPL3303"
2018,"HOE",5,15,0.683333333333333,21.9512195121951,"SPL3304"
2018,"HOE",5,15,0.683333333333333,21.9512195121951,"SPL3305"
2018,"HOE",6,46,6.93333333333333,6.63461538461538,"SPL3306"
2018,"HOE",6,46,6.93333333333333,6.63461538461538,"SPL3307"
2018,"HOE",10,4,0.266666666666667,15,"SPL3308"
2018,"HOE",11,72.6,45.0166666666667,1.61273602369493,"SPL3309"
2018,"HOE",12,69.32,57.0166666666667,1.21578485822859,"SPL3310"
2018,"RHO",4,16,1.43333333333333,11.1627906976744,"3008"
2018,"RHO",8,139,6.35,21.8897637795276,"3017"
2018,"RHO",10,21,1.1,19.0909090909091,"3021"
2018,"RHO",11,11,5.35,2.05607476635514,"3021"
2018,"RHO",11,11,5.35,2.05607476635514,"3024"
2018,"RHO",12,4,0.1,40,"3024"
2018,"RHO",14,76,9.85,7.71573604060914,"3029"
2018,"RHO",14,76,9.85,7.71573604060914,"3028"
2018,"RHO",15,6,2.85,2.10526315789474,"3037"
2018,"RHO",16,61,7.26666666666667,8.39449541284404,"3038"
2018,"RHO",16,61,7.26666666666667,8.39449541284404,"3037"
2018,"RHO",22,30,2.01666666666667,14.8760330578512,"3042"
2018,"RHO",23,33,2.51666666666667,13.112582781457,"3042"
2018,"RHO",26,19,6.1,3.11475409836066,"3045"
2018,"RHO",27,7,1.93333333333333,3.62068965517241,"3045"
2018,"RHO",29,12,4.51666666666667,2.65682656826568,"3045"
2018,"RHO",30,56,5.26666666666667,10.6329113924051,"3054"
2018,"RHO",30,56,5.26666666666667,10.6329113924051,"3053"
2018,"RHO",31,26,6.76666666666667,3.84236453201971,"3054"
2018,"RHO",32,13,2.76666666666667,4.69879518072289,"3054"
2018,"RHO",33,9,3.68333333333333,2.44343891402715,"3054"
2018,"RHO",33,9,3.68333333333333,2.44343891402715,"3053"
2018,"RHO",34,6,0.266666666666667,22.5,"3062"
2018,"RHO",35,25,3.6,6.94444444444444,"3062"
2018,"RHO",35,25,3.6,6.94444444444444,"3061"
2018,"RHO",36,13,1.6,8.125,"3065"
2018,"RHO",36,13,1.6,8.125,"3066"
2018,"RHO",37,22,1.35,16.2962962962963,"3066"
2018,"RHO",37,22,1.35,16.2962962962963,"3065"
2018,"RHO",40,8,4.01666666666667,1.99170124481328,"3074"
2018,"RHO",41,4,0.433333333333333,9.23076923076923,"3074"
2018,"RHO",42,16,1.26666666666667,12.6315789473684,"3074"
2018,"WHI",4,15,0.433333333333333,34.6153846153846,"3200"
2018,"WHI",5,11,1.6,6.875,"3201"
2018,"WHI",12,16,0.0166666666666667,960,"3202"
2018,"WHI",16,15,1.51666666666667,9.89010989010989,"3205"
2018,"WHI",16,15,1.51666666666667,9.89010989010989,"3206"
2018,"WHI",18,29,7.35,3.94557823129252,"3207"
2018,"WHI",18,29,7.35,3.94557823129252,"3208"
2018,"WHI",19,27,0.683333333333333,39.5121951219512,"3210"
2018,"WHI",19,27,0.683333333333333,39.5121951219512,"3209"
2018,"WHI",31,35,2.68333333333333,13.0434782608696,"3211"
2018,"WHI",32,39,14.4333333333333,2.70207852193995,"3213"
2018,"WHI",32,39,14.4333333333333,2.70207852193995,"3212"
2018,"WHI",33,6,1.01666666666667,5.9016393442623,"3076"
2018,"WHI",34,18,1.01666666666667,17.7049180327869,"3077"
2018,"WHI",35,20,4.18333333333333,4.7808764940239,"3076"
2018,"WHI",35,20,4.18333333333333,4.7808764940239,"3077"
2018,"WOR",4,23,6.85,3.35766423357664,"3000"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3010"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3016"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3015"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3019"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3027"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3030"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3035"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3039"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3041"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3043"
2018,"WOR",5,99.06,1707.01666666667,0.0580310678474141,"3044"
2018,"WOR",10,40,5.35,7.47663551401869,"3056"
2018,"WOR",10,40,5.35,7.47663551401869,"3055"
2018,"WOR",11,9,0.6,15,"3055"
2018,"WOR",11,9,0.6,15,"3056"
2018,"WOR",12,17,2.26666666666667,7.5,"3056"
