SiteID,Year,Treatment,ro_event,tss_sum,ppt_sum
ARM,2016,control,123,0.003297607,0.047
ARM,2016,control,17,17.70880466,0.077
ARM,2016,control,19,11.30092702,0.051
ARM,2016,control,37,61.53595112,0.07
ARM,2016,control,57,1.513254485,0.056
ARM,2016,strips,12,0.202753734,0.033
ARM,2016,strips,14,0.086412892,0.051
ARM,2016,strips,a123,0,0.047
ARM,2016,strips,a17,0,0.044
ARM,2016,strips,a19,0,0.051
ARM,2016,strips,a37,0,0.019
ARM,2016,strips,a57,0,0.056
ARM,2017,control,20,4.967727228,0.028
ARM,2017,control,26,4.803453331,0.05
ARM,2017,control,26,11.63584483,0.05
ARM,2017,control,28,8.513913491,0.043
ARM,2017,control,44,0.275019461,0.035
ARM,2017,control,46,28.63822551,0.055
ARM,2017,strips,10,0.014110014,0.024
ARM,2017,strips,12,0.256284475,0.055
ARM,2017,strips,b20,0,0.028
ARM,2017,strips,b26,0,0.05
ARM,2017,strips,b28,0,0.019
ARM,2017,strips,b44,0,0.035
ARM,2018,control,17,0.085212247,0.02
ARM,2018,control,21,0.195652991,0.018
ARM,2018,control,25,0.180291934,0.021
ARM,2018,strips,c17,0,0.02
ARM,2018,strips,c21,0,0.018
ARM,2018,strips,c25,0,0.021
ARM,2019,control,10,2.167175397,0.052
ARM,2019,control,16,8.399633621,0.024
ARM,2019,control,24,22.62740997,0.06
ARM,2019,control,28,1.445341171,0.064
ARM,2019,control,30,0.279386371,0.064
ARM,2019,control,32,3.499987412,0.029
ARM,2019,control,36,3.006721611,0.048
ARM,2019,control,40,0.569116633,0.014
ARM,2019,control,42,0.685351401,0.015
ARM,2019,strips,12,0.653272317,0.024
ARM,2019,strips,d10,0,0.052
ARM,2019,strips,d24,0,0.06
ARM,2019,strips,d30,0,0.064
ARM,2019,strips,d32,0,0.029
ARM,2019,strips,d36,0,0.048
ARM,2019,strips,d40,0,0.014
ARM,2019,strips,d42,0,0.015
EIA,2016,control,102,2.359052018,0.062
EIA,2016,control,104,0.521034555,0.031
EIA,2016,control,116,2.302286001,0.062
EIA,2016,control,18,11.53258131,0.129
EIA,2016,control,68,8.54253176,0.11
EIA,2016,control,a102,0,0.048
EIA,2016,control,a46,0,0.028
EIA,2016,control,a54,0,0.02
EIA,2016,control,a60,0,0.015
EIA,2016,control,a64,0,0.021
EIA,2016,control,a68,0,0.03
EIA,2016,strips,102,0.041579676,0.019
EIA,2016,strips,102,0.255437694,0.019
EIA,2016,strips,102,0.910995145,0.029
EIA,2016,strips,18,0.020899248,0.013
EIA,2016,strips,46,0.201366784,0.028
EIA,2016,strips,54,0.231084685,0.02
EIA,2016,strips,54,0.767643528,0.129
EIA,2016,strips,60,0.000741966,0.015
EIA,2016,strips,64,0.190270448,0.051
EIA,2016,strips,68,0.029891543,0.051
EIA,2016,strips,70,0.048486347,0.11
EIA,2016,strips,70,3.927855667,0.11
EIA,2016,strips,86,0.205687822,0.062
EIA,2016,strips,92,0.263366957,0.031
EIA,2016,strips,92,1.02063893,0.062
EIA,2016,strips,a18,0,0.013
EIA,2018,control,10,9.730638821,0.082
EIA,2018,control,14,0.12104337,0.047
EIA,2018,control,14,11.27534233,0.076
EIA,2018,control,62,1.852548504,0.052
EIA,2018,control,72,1.253074511,0.048
EIA,2018,control,82,3.513702829,0.035
EIA,2018,control,84,0.450533763,0.012
EIA,2018,strips,16,76.34594749,0.082
EIA,2018,strips,26,0.014121221,0.076
EIA,2018,strips,26,0.187583968,0.047
EIA,2018,strips,28,1.422611595,0.076
EIA,2018,strips,52,0.305524738,0.084
EIA,2018,strips,54,0.415766883,0.031
EIA,2018,strips,60,0.057365975,0.06
EIA,2018,strips,62,0.391111062,0.012
EIA,2018,strips,62,1.250425321,0.06
HOE,2016,control,16,1.034269928,0.0259
HOE,2016,control,24,8.302997186,0.06399
HOE,2016,control,28,2.701369808,0.058
HOE,2016,control,30,0.674238523,0.058
HOE,2016,control,32,0.896468298,0.029
HOE,2016,strips,a16,0,0.0259
HOE,2016,strips,a30,0,0.058
HOE,2016,strips,a32,0,0.029
HOE,2017,control,11,7.578900335,0.021
HOE,2017,control,21,5.408619988,0.011
HOE,2017,control,23,4.595399717,0.023
HOE,2017,control,45,22.24429889,0.051
HOE,2017,control,73,18.95189428,0.05892
HOE,2017,strips,c11,0,0.021
HOE,2017,strips,c21,0,0.011
HOE,2017,strips,c23,0,0.023
HOE,2017,strips,c45,0,0.051
HOE,2017,strips,c73,0,0.05892
HOE,2018,control,10,0.205311862,0.037
HOE,2018,control,114,20.16030052,0.06932
HOE,2018,control,14,21.3151918,0.08
HOE,2018,control,18,45.01948975,0.049
HOE,2018,control,20,2.980591767,0.015
HOE,2018,control,22,19.58333031,0.046
HOE,2018,control,98,0.875319381,0.0726
HOE,2018,strips,10,3.954462414,0.046
HOE,2018,strips,16,14.21401249,0.06932
HOE,2018,strips,4,14.49719291,0.049
HOE,2018,strips,6,7.303059104,0.015
HOE,2018,strips,d10,0,0.037
HOE,2018,strips,d14,0,0.08
HOE,2018,strips,d98,0,0.0726
HOE,2019,control,47,8.191859302,0.19962
HOE,2019,strips,2,3.749025274,0.19962
HOE,2020,control,4,34.41373482,0.049
HOE,2020,strips,a4,0,0.049
MAR,2017,control,12,4.620400243,0.04
MAR,2017,strips,a12,0,0.04
MAR,2018,control,50,0.010645826,0.046
MAR,2018,control,76,0.051813586,0.019
MAR,2018,strips,a50,0,0.046
MAR,2018,strips,a76,0,0.019
MAR,2019,control,16,10.0958513,0.037
MAR,2019,control,26,1.293150312,0.014
MAR,2019,strips,a16,0,0.037
MAR,2019,strips,a26,0,0.014
MAR,2020,control,16,0.78632521,0.035
MAR,2020,strips,0,0,0.035
MAR,2020,strips,a2,0,0.021
RHO,2018,control,112,0.595108338,0.035
RHO,2018,control,112,10.27947613,0.025
RHO,2018,control,116,2.967370675,0.035
RHO,2018,control,12,0.350441849,0.016
RHO,2018,control,122,6.128949929,0.024
RHO,2018,control,18,0.709909393,0.011
RHO,2018,control,24,59.85951115,0.076
RHO,2018,control,26,0.98362964,0.061
RHO,2018,control,32,19.38965767,0.061
RHO,2018,control,52,4.057102504,0.063
RHO,2018,control,74,0.266482396,0.038
RHO,2018,control,86,0.024197524,0.038
RHO,2018,control,90,24.79390288,0.104
RHO,2018,control,a12,0,0.021
RHO,2018,control,a20,0,0.007
RHO,2018,control,a6,0,0.139
RHO,2018,strips,12,0.05104997,0.011
RHO,2018,strips,12,1.147663074,0.032
RHO,2018,strips,18,0.163211085,0.061
RHO,2018,strips,18,2.147039114,0.076
RHO,2018,strips,20,0.609555825,0.061
RHO,2018,strips,48,1.918764156,0.065
RHO,2018,strips,52,0.436886954,0.065
RHO,2018,strips,54,6.313361012,0.025
RHO,2018,strips,56,2.380078966,0.035
RHO,2018,strips,6,22.9213654,0.139
RHO,2018,strips,60,6.683724289,0.035
RHO,2018,strips,a12,0,0.016
RHO,2018,strips,a122,0,0.024
RHO,2018,strips,a52,0,0.063
RHO,2018,strips,a72,0,0.026
RHO,2018,strips,a90,0,0.013
RHO,2019,control,16,1.144730446,0.039
RHO,2019,control,18,14.30405694,0.039
RHO,2019,control,22,4.955737554,0.028
RHO,2019,control,24,291.3597747,0.068
RHO,2019,control,28,18.29041057,0.068
RHO,2019,control,30,2.061814371,0.068
RHO,2019,control,36,46.54209198,0.008
RHO,2019,control,44,741.9566704,0.053
RHO,2019,control,50,7.440553545,0.019
RHO,2019,control,52,1.671618082,0.019
RHO,2019,control,54,1.643851112,0.03
RHO,2019,control,60,9.672195292,0.052
