SiteID,Treatment,Year,eventid,flow,eventStart,eventEnd,flow_time
ARM,control,2016,2,0.054,3/15/2016 3:10,3/15/2016 3:10,1
ARM,control,2016,4,23.836,4/20/2016 5:20,4/20/2016 14:05,526
ARM,control,2016,6,14.077,4/21/2016 2:40,4/21/2016 11:15,516
ARM,control,2016,8,7085.378,4/27/2016 0:55,4/28/2016 18:45,2511
ARM,control,2016,10,6969.413,4/30/2016 3:45,5/1/2016 9:40,1796
ARM,control,2016,12,13617.388,5/9/2016 3:25,5/12/2016 8:45,4641
ARM,control,2016,14,80.18,5/24/2016 12:05,5/24/2016 17:30,326
ARM,control,2016,16,22129.4,5/25/2016 13:40,5/29/2016 2:40,5101
ARM,control,2016,18,36.649,5/31/2016 11:55,5/31/2016 17:50,356
ARM,control,2016,20,13.621,6/4/2016 13:30,6/4/2016 14:05,36
ARM,control,2016,22,6.432,7/12/2016 1:00,7/12/2016 1:30,31
ARM,control,2016,24,4408.917,7/18/2016 0:50,7/18/2016 19:15,1106
ARM,control,2016,26,112.234,7/19/2016 13:15,7/20/2016 10:00,1246
ARM,control,2016,28,2059.948,7/31/2016 5:20,8/2/2016 8:30,3071
ARM,control,2016,30,706.038,8/11/2016 21:20,8/12/2016 23:30,1571
ARM,control,2016,32,83.806,8/23/2016 23:10,8/24/2016 5:30,381
ARM,control,2016,34,294.917,8/29/2016 7:40,8/29/2016 23:40,961
ARM,control,2016,36,152.976,9/5/2016 11:45,9/5/2016 15:30,226
ARM,control,2016,38,132.87,9/7/2016 9:05,9/8/2016 2:00,1016
ARM,control,2016,40,155.004,9/9/2016 15:25,9/10/2016 15:40,1456
ARM,control,2016,42,23.121,9/13/2016 2:25,9/13/2016 12:20,596
ARM,control,2016,44,20.8,9/16/2016 2:00,9/16/2016 2:25,26
ARM,control,2016,46,15.173,10/5/2016 13:45,10/5/2016 16:35,171
ARM,control,2016,48,244.709,10/6/2016 14:20,10/7/2016 2:35,736
ARM,control,2016,50,19.059,10/26/2016 0:40,10/26/2016 1:30,51
ARM,control,2016,52,38.686,11/2/2016 3:55,11/2/2016 5:30,96
ARM,control,2017,2,16.769,4/3/2017 6:40,4/3/2017 7:55,76
ARM,control,2017,4,678.997,4/14/2017 14:10,4/16/2017 7:25,2476
ARM,control,2017,6,92.776,4/18/2017 9:20,4/18/2017 13:05,226
ARM,control,2017,8,1.981,4/19/2017 10:10,4/19/2017 12:55,166
ARM,control,2017,10,332.418,4/30/2017 9:00,5/1/2017 22:00,2221
ARM,control,2017,12,813.535,5/10/2017 6:55,5/11/2017 11:05,1691
ARM,control,2017,14,15942.344,5/16/2017 20:15,5/21/2017 8:15,6481
ARM,control,2017,16,700.477,5/27/2017 10:00,5/28/2017 10:15,1456
ARM,control,2017,18,62.927,6/2/2017 3:55,6/2/2017 14:40,646
ARM,control,2017,20,187.058,6/14/2017 8:10,6/14/2017 9:45,96
ARM,control,2017,22,16066.336,6/16/2017 17:30,6/17/2017 21:15,1666
ARM,control,2018,2,31.341,5/2/2018 20:10,5/3/2018 19:20,1391
ARM,control,2018,4,27.622,6/2/2018 1:55,6/2/2018 8:35,401
ARM,control,2018,6,1612.401,6/10/2018 7:20,6/12/2018 3:05,2626
ARM,control,2018,8,251.312,6/19/2018 4:50,6/19/2018 14:20,571
ARM,control,2018,10,14.749,6/21/2018 21:25,6/22/2018 8:50,686
ARM,control,2018,12,421.114,9/2/2018 5:25,9/2/2018 8:25,181
ARM,control,2018,14,129.87,9/3/2018 2:30,9/3/2018 6:25,236
ARM,control,2018,16,5056.601,9/4/2018 15:15,9/5/2018 12:30,1276
ARM,control,2018,18,75.582,9/7/2018 5:40,9/7/2018 8:15,156
ARM,control,2018,20,5369.519,10/8/2018 17:15,10/9/2018 18:30,1516
ARM,control,2019,2,30.307,4/10/2019 23:35,4/11/2019 15:40,966
ARM,control,2019,4,4.544,5/21/2019 12:55,5/21/2019 19:05,371
ARM,control,2019,6,681.16,5/23/2019 23:40,5/24/2019 10:40,661
ARM,control,2019,8,6.683,5/26/2019 2:55,5/26/2019 4:40,106
ARM,control,2019,10,4.329,5/27/2019 5:50,5/27/2019 9:10,201
ARM,control,2019,12,2623.566,5/28/2019 3:20,5/28/2019 22:40,1161
ARM,control,2019,14,69.939,6/3/2019 13:50,6/4/2019 3:45,836
ARM,control,2019,16,757.608,6/18/2019 16:25,6/19/2019 18:10,1546
ARM,control,2019,18,198.894,6/21/2019 6:35,6/21/2019 12:50,376
ARM,control,2019,20,0.035,6/22/2019 13:10,6/22/2019 13:10,1
ARM,control,2019,22,452.92,7/16/2019 6:45,7/16/2019 14:25,461
ARM,control,2019,24,25.06,9/19/2019 15:25,9/19/2019 18:35,191
ARM,control,2019,26,725.6,9/21/2019 22:45,9/22/2019 10:00,676
ARM,control,2019,28,3036.538,9/24/2019 22:55,9/25/2019 0:05,71
ARM,control,2019,30,171.48,9/29/2019 15:20,9/30/2019 10:40,1161
ARM,control,2019,32,6322.056,10/1/2019 17:35,10/2/2019 17:10,1416
ARM,control,2019,34,1455.414,10/5/2019 8:15,10/5/2019 11:50,216
ARM,control,2019,36,1428.299,10/10/2019 4:25,10/10/2019 17:40,796
ARM,control,2020,2,98.667,5/16/2020 21:45,5/17/2020 19:45,1321
ARM,control,2020,4,1883.429,5/23/2020 1:15,5/25/2020 8:10,3296
ARM,control,2020,6,2669.072,5/25/2020 21:05,5/27/2020 17:35,2671
ARM,control,2020,8,42.841,6/9/2020 21:55,6/10/2020 7:40,586
ARM,control,2020,10,774.21,7/23/2020 9:05,7/24/2020 10:30,1526
ARM,control,2020,12,1235.201,7/26/2020 10:35,7/27/2020 12:15,1541
ARM,control,2020,14,1198.22,7/29/2020 14:55,7/30/2020 23:50,1976
ARM,control,2020,16,631.058,8/1/2020 17:15,8/2/2020 17:15,1441
ARM,control,2020,18,127.677,9/9/2020 2:50,9/10/2020 5:15,1586
ARM,control,2021,2,966.235,5/8/2021 21:40,5/10/2021 1:15,1656
ARM,control,2021,4,65.278,5/27/2021 4:40,5/28/2021 4:45,1446
ARM,control,2021,6,83.208,6/25/2021 0:55,6/25/2021 9:00,486
ARM,control,2021,8,0.25,6/26/2021 4:25,6/26/2021 4:25,1
ARM,control,2021,10,254.104,7/7/2021 13:35,7/7/2021 19:55,381
ARM,control,2021,12,420.996,7/10/2021 0:05,7/11/2021 9:40,2016
ARM,control,2021,14,463.173,7/15/2021 8:00,7/16/2021 7:05,1386
ARM,control,2021,16,29.041,7/31/2021 6:30,7/31/2021 10:10,221
ARM,control,2021,18,30.994,7/31/2021 23:25,8/1/2021 5:35,371
ARM,control,2021,20,1232.368,8/6/2021 9:35,8/8/2021 3:40,2526
ARM,control,2021,22,166.816,8/31/2021 1:35,8/31/2021 21:50,1216
ARM,control,2021,24,1.297,9/30/2021 4:40,9/30/2021 4:50,11
ARM,control,2021,26,2.457,10/24/2021 10:05,10/24/2021 18:35,511
ARM,treatment,2016,2,0.146,3/15/2016 2:05,3/15/2016 2:10,6
ARM,treatment,2016,4,341.139,4/27/2016 19:00,4/28/2016 4:55,596
ARM,treatment,2016,6,802.293,4/30/2016 8:15,4/30/2016 19:45,691
ARM,treatment,2016,8,1604.461,5/26/2016 19:00,5/27/2016 8:45,826
ARM,treatment,2016,10,3.639,6/26/2016 2:20,6/26/2016 7:30,311
ARM,treatment,2016,12,0.25,6/27/2016 15:20,6/27/2016 15:20,1
ARM,treatment,2016,14,30.976,7/2/2016 8:30,7/2/2016 21:00,751
ARM,treatment,2016,16,5.724,7/7/2016 2:10,7/7/2016 2:50,41
ARM,treatment,2016,18,33.185,7/11/2016 23:05,7/12/2016 19:00,1196
ARM,treatment,2016,20,1.321,7/18/2016 3:10,7/18/2016 5:55,166
ARM,treatment,2016,22,5.829,8/11/2016 21:10,8/12/2016 0:35,206
ARM,treatment,2016,24,5.485,8/19/2016 18:00,8/20/2016 8:05,846
ARM,treatment,2016,26,8.406,8/23/2016 23:05,8/24/2016 0:35,91
ARM,treatment,2016,28,1.939,9/13/2016 2:25,9/13/2016 2:35,11
ARM,treatment,2016,30,1.064,9/16/2016 0:45,9/16/2016 3:10,146
ARM,treatment,2016,32,76.057,10/4/2016 16:25,10/5/2016 12:35,1211
ARM,treatment,2016,34,6.285,10/6/2016 11:35,10/6/2016 20:35,541
ARM,treatment,2017,2,34.053,4/19/2017 14:35,4/19/2017 21:40,426
ARM,treatment,2017,4,44.534,4/30/2017 17:10,5/1/2017 4:00,651
ARM,treatment,2017,6,65.423,5/10/2017 7:25,5/10/2017 18:25,661
ARM,treatment,2017,8,6.53,5/17/2017 11:10,5/17/2017 14:20,191
ARM,treatment,2017,10,261.986,5/20/2017 8:25,5/20/2017 14:00,336
ARM,treatment,2017,12,3436.717,6/16/2017 20:50,6/17/2017 6:25,576
ARM,treatment,2017,14,7.225,8/15/2017 10:15,8/15/2017 13:35,201
ARM,treatment,2017,16,139.139,9/25/2017 16:20,9/25/2017 23:50,451
ARM,treatment,2017,18,0.907,10/6/2017 22:55,10/6/2017 23:15,21
ARM,treatment,2018,2,85.459,5/3/2018 16:10,5/3/2018 21:50,341
ARM,treatment,2018,4,0.178,5/14/2018 19:05,5/14/2018 20:30,86
ARM,treatment,2018,6,27.157,5/30/2018 13:55,5/30/2018 17:40,226
ARM,treatment,2018,8,881.493,6/2/2018 1:55,6/3/2018 2:55,1501
ARM,treatment,2018,10,3072.437,6/10/2018 7:05,6/12/2018 19:30,3626
ARM,treatment,2018,12,109.202,6/18/2018 18:25,6/19/2018 13:10,1126
ARM,treatment,2018,14,4.215,7/1/2018 1:35,7/1/2018 2:15,41
ARM,treatment,2018,16,40.713,7/13/2018 15:45,7/13/2018 20:00,256
ARM,treatment,2018,18,60.99,8/14/2018 21:55,8/15/2018 4:50,416
ARM,treatment,2018,20,1.619,8/16/2018 7:50,8/16/2018 9:45,116
ARM,treatment,2018,22,1.432,8/19/2018 23:55,8/20/2018 3:25,211
ARM,treatment,2018,24,13.52,9/1/2018 1:50,9/1/2018 9:50,481
ARM,treatment,2018,26,23.584,9/1/2018 23:05,9/2/2018 9:50,646
ARM,treatment,2018,28,9.653,9/3/2018 1:55,9/3/2018 10:25,511
ARM,treatment,2018,30,167.882,9/4/2018 14:25,9/5/2018 11:55,1291
ARM,treatment,2018,32,7.006,9/21/2018 1:40,9/21/2018 8:45,426
