"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2016,"ARM","control",2,0.054,1,2016-03-15 03:10:00,2016-03-15 03:10:00
2016,"ARM","control",4,23.836,526,2016-04-20 05:20:00,2016-04-20 14:05:00
2016,"ARM","control",6,14.077,516,2016-04-21 02:40:00,2016-04-21 11:15:00
2016,"ARM","control",8,7085.378,2511,2016-04-27 00:55:00,2016-04-28 18:45:00
2016,"ARM","control",10,6969.413,1796,2016-04-30 03:45:00,2016-05-01 09:40:00
2016,"ARM","control",12,13617.388,4641,2016-05-09 03:25:00,2016-05-12 08:45:00
2016,"ARM","control",14,80.18,326,2016-05-24 12:05:00,2016-05-24 17:30:00
2016,"ARM","control",16,22129.4,5101,2016-05-25 13:40:00,2016-05-29 02:40:00
2016,"ARM","control",18,36.649,356,2016-05-31 11:55:00,2016-05-31 17:50:00
2016,"ARM","control",20,13.621,36,2016-06-04 13:30:00,2016-06-04 14:05:00
2016,"ARM","control",22,6.432,31,2016-07-12 01:00:00,2016-07-12 01:30:00
2016,"ARM","control",24,4408.917,1106,2016-07-18 00:50:00,2016-07-18 19:15:00
2016,"ARM","control",26,112.234,1246,2016-07-19 13:15:00,2016-07-20 10:00:00
2016,"ARM","control",28,2059.948,3071,2016-07-31 05:20:00,2016-08-02 08:30:00
2016,"ARM","control",30,706.038,1571,2016-08-11 21:20:00,2016-08-12 23:30:00
2016,"ARM","control",32,83.806,381,2016-08-23 23:10:00,2016-08-24 05:30:00
2016,"ARM","control",34,294.917,961,2016-08-29 07:40:00,2016-08-29 23:40:00
2016,"ARM","control",36,152.976,226,2016-09-05 11:45:00,2016-09-05 15:30:00
2016,"ARM","control",38,132.87,1016,2016-09-07 09:05:00,2016-09-08 02:00:00
2016,"ARM","control",40,155.004,1456,2016-09-09 15:25:00,2016-09-10 15:40:00
2016,"ARM","control",42,23.121,596,2016-09-13 02:25:00,2016-09-13 12:20:00
2016,"ARM","control",44,20.8,26,2016-09-16 02:00:00,2016-09-16 02:25:00
2016,"ARM","control",46,15.173,171,2016-10-05 13:45:00,2016-10-05 16:35:00
2016,"ARM","control",48,244.709,736,2016-10-06 14:20:00,2016-10-07 02:35:00
2016,"ARM","control",50,19.059,51,2016-10-26 00:40:00,2016-10-26 01:30:00
2016,"ARM","control",52,38.686,96,2016-11-02 03:55:00,2016-11-02 05:30:00
2017,"ARM","control",2,16.769,76,2017-04-03 06:40:00,2017-04-03 07:55:00
2017,"ARM","control",4,678.997,2476,2017-04-14 14:10:00,2017-04-16 07:25:00
2017,"ARM","control",6,92.776,226,2017-04-18 09:20:00,2017-04-18 13:05:00
2017,"ARM","control",8,1.981,166,2017-04-19 10:10:00,2017-04-19 12:55:00
2017,"ARM","control",10,332.418,2221,2017-04-30 09:00:00,2017-05-01 22:00:00
2017,"ARM","control",12,813.535,1691,2017-05-10 06:55:00,2017-05-11 11:05:00
2017,"ARM","control",14,15942.344,6481,2017-05-16 20:15:00,2017-05-21 08:15:00
2017,"ARM","control",16,700.477,1456,2017-05-27 10:00:00,2017-05-28 10:15:00
2017,"ARM","control",18,62.927,646,2017-06-02 03:55:00,2017-06-02 14:40:00
2017,"ARM","control",20,187.058,96,2017-06-14 08:10:00,2017-06-14 09:45:00
2017,"ARM","control",22,16066.336,1666,2017-06-16 17:30:00,2017-06-17 21:15:00
2018,"ARM","control",2,31.341,1391,2018-05-02 20:10:00,2018-05-03 19:20:00
2018,"ARM","control",4,27.622,401,2018-06-02 01:55:00,2018-06-02 08:35:00
2018,"ARM","control",6,1612.401,2626,2018-06-10 07:20:00,2018-06-12 03:05:00
2018,"ARM","control",8,251.312,571,2018-06-19 04:50:00,2018-06-19 14:20:00
2018,"ARM","control",10,14.749,686,2018-06-21 21:25:00,2018-06-22 08:50:00
2018,"ARM","control",12,421.114,181,2018-09-02 05:25:00,2018-09-02 08:25:00
2018,"ARM","control",14,129.87,236,2018-09-03 02:30:00,2018-09-03 06:25:00
2018,"ARM","control",16,5056.601,1276,2018-09-04 15:15:00,2018-09-05 12:30:00
2018,"ARM","control",18,75.582,156,2018-09-07 05:40:00,2018-09-07 08:15:00
2018,"ARM","control",20,5369.519,1516,2018-10-08 17:15:00,2018-10-09 18:30:00
2019,"ARM","control",2,30.307,966,2019-04-10 23:35:00,2019-04-11 15:40:00
2019,"ARM","control",4,4.544,371,2019-05-21 12:55:00,2019-05-21 19:05:00
2019,"ARM","control",6,681.16,661,2019-05-23 23:40:00,2019-05-24 10:40:00
2019,"ARM","control",8,6.683,106,2019-05-26 02:55:00,2019-05-26 04:40:00
2019,"ARM","control",10,4.329,201,2019-05-27 05:50:00,2019-05-27 09:10:00
2019,"ARM","control",12,2623.566,1161,2019-05-28 03:20:00,2019-05-28 22:40:00
2019,"ARM","control",14,69.939,836,2019-06-03 13:50:00,2019-06-04 03:45:00
2019,"ARM","control",16,757.608,1546,2019-06-18 16:25:00,2019-06-19 18:10:00
2019,"ARM","control",18,198.894,376,2019-06-21 06:35:00,2019-06-21 12:50:00
2019,"ARM","control",20,0.035,1,2019-06-22 13:10:00,2019-06-22 13:10:00
2019,"ARM","control",22,452.92,461,2019-07-16 06:45:00,2019-07-16 14:25:00
2019,"ARM","control",24,25.06,191,2019-09-19 15:25:00,2019-09-19 18:35:00
2019,"ARM","control",26,725.6,676,2019-09-21 22:45:00,2019-09-22 10:00:00
2019,"ARM","control",28,3036.538,71,2019-09-24 22:55:00,2019-09-25 00:05:00
2019,"ARM","control",30,171.48,1161,2019-09-29 15:20:00,2019-09-30 10:40:00
2019,"ARM","control",32,6322.056,1416,2019-10-01 17:35:00,2019-10-02 17:10:00
2019,"ARM","control",34,1455.414,216,2019-10-05 08:15:00,2019-10-05 11:50:00
2019,"ARM","control",36,1428.299,796,2019-10-10 04:25:00,2019-10-10 17:40:00
2020,"ARM","control",2,98.667,1321,2020-05-16 21:45:00,2020-05-17 19:45:00
2020,"ARM","control",4,1883.429,3296,2020-05-23 01:15:00,2020-05-25 08:10:00
2020,"ARM","control",6,2669.072,2671,2020-05-25 21:05:00,2020-05-27 17:35:00
2020,"ARM","control",8,42.841,586,2020-06-09 21:55:00,2020-06-10 07:40:00
2020,"ARM","control",10,774.21,1526,2020-07-23 09:05:00,2020-07-24 10:30:00
2020,"ARM","control",12,1235.201,1541,2020-07-26 10:35:00,2020-07-27 12:15:00
2020,"ARM","control",14,1198.22,1976,2020-07-29 14:55:00,2020-07-30 23:50:00
2020,"ARM","control",16,631.058,1441,2020-08-01 17:15:00,2020-08-02 17:15:00
2020,"ARM","control",18,127.677,1586,2020-09-09 02:50:00,2020-09-10 05:15:00
2021,"ARM","control",2,966.235,1656,2021-05-08 21:40:00,2021-05-10 01:15:00
2021,"ARM","control",4,65.278,1446,2021-05-27 04:40:00,2021-05-28 04:45:00
2021,"ARM","control",6,83.208,486,2021-06-25 00:55:00,2021-06-25 09:00:00
2021,"ARM","control",8,0.25,1,2021-06-26 04:25:00,2021-06-26 04:25:00
2021,"ARM","control",10,254.104,381,2021-07-07 13:35:00,2021-07-07 19:55:00
2021,"ARM","control",12,420.996,2016,2021-07-10 00:05:00,2021-07-11 09:40:00
2021,"ARM","control",14,463.173,1386,2021-07-15 08:00:00,2021-07-16 07:05:00
2021,"ARM","control",16,29.041,221,2021-07-31 06:30:00,2021-07-31 10:10:00
2021,"ARM","control",18,30.994,371,2021-07-31 23:25:00,2021-08-01 05:35:00
2021,"ARM","control",20,1232.368,2526,2021-08-06 09:35:00,2021-08-08 03:40:00
2021,"ARM","control",22,166.816,1216,2021-08-31 01:35:00,2021-08-31 21:50:00
2021,"ARM","control",24,1.297,11,2021-09-30 04:40:00,2021-09-30 04:50:00
2021,"ARM","control",26,2.457,511,2021-10-24 10:05:00,2021-10-24 18:35:00
2016,"ARM","strips",2,0.146,6,2016-03-15 02:05:00,2016-03-15 02:10:00
2016,"ARM","strips",4,341.139,596,2016-04-27 19:00:00,2016-04-28 04:55:00
2016,"ARM","strips",6,802.293,691,2016-04-30 08:15:00,2016-04-30 19:45:00
2016,"ARM","strips",8,1604.461,826,2016-05-26 19:00:00,2016-05-27 08:45:00
2016,"ARM","strips",10,3.639,311,2016-06-26 02:20:00,2016-06-26 07:30:00
2016,"ARM","strips",12,0.25,1,2016-06-27 15:20:00,2016-06-27 15:20:00
2016,"ARM","strips",14,30.976,751,2016-07-02 08:30:00,2016-07-02 21:00:00
2016,"ARM","strips",16,5.724,41,2016-07-07 02:10:00,2016-07-07 02:50:00
2016,"ARM","strips",18,33.185,1196,2016-07-11 23:05:00,2016-07-12 19:00:00
2016,"ARM","strips",20,1.321,166,2016-07-18 03:10:00,2016-07-18 05:55:00
2016,"ARM","strips",22,5.829,206,2016-08-11 21:10:00,2016-08-12 00:35:00
2016,"ARM","strips",24,5.485,846,2016-08-19 18:00:00,2016-08-20 08:05:00
2016,"ARM","strips",26,8.406,91,2016-08-23 23:05:00,2016-08-24 00:35:00
2016,"ARM","strips",28,1.939,11,2016-09-13 02:25:00,2016-09-13 02:35:00
2016,"ARM","strips",30,1.064,146,2016-09-16 00:45:00,2016-09-16 03:10:00
2016,"ARM","strips",32,76.057,1211,2016-10-04 16:25:00,2016-10-05 12:35:00
2016,"ARM","strips",34,6.285,541,2016-10-06 11:35:00,2016-10-06 20:35:00
2017,"ARM","strips",2,34.053,426,2017-04-19 14:35:00,2017-04-19 21:40:00
2017,"ARM","strips",4,44.534,651,2017-04-30 17:10:00,2017-05-01 04:00:00
2017,"ARM","strips",6,65.423,661,2017-05-10 07:25:00,2017-05-10 18:25:00
2017,"ARM","strips",8,6.53,191,2017-05-17 11:10:00,2017-05-17 14:20:00
2017,"ARM","strips",10,261.986,336,2017-05-20 08:25:00,2017-05-20 14:00:00
