,date,SiteID,Treatment,Year,sampleID,julian,ro_event,rf_event
1,4/27/2016 16:39,ARM,control,2016,1001,118,8,4
2,4/30/2016 9:27,ARM,control,2016,1001,121,8,5
3,5/9/2016 3:36,ARM,control,2016,1006,130,9,6
4,5/9/2016 7:59,ARM,control,2016,1006,130,9,6
5,5/9/2016 22:21,ARM,control,2016,1006,130,9,7
6,5/10/2016 12:04,ARM,control,2016,1006,131,9,7
7,5/10/2016 13:04,ARM,control,2016,1006,131,9,7
8,5/10/2016 13:19,ARM,control,2016,1006,131,9,7
9,5/10/2016 16:58,ARM,control,2016,1006,131,9,7
10,5/11/2016 8:12,ARM,control,2016,1006,132,9,8
11,5/11/2016 10:18,ARM,control,2016,1006,132,9,8
12,5/19/2016 13:11,ARM,control,2016,1008,140,11,
13,5/20/2016 16:28,ARM,control,2016,1008,141,12,
14,5/21/2016 16:12,ARM,control,2016,1008,142,13,
15,5/26/2016 2:14,ARM,control,2016,1008,147,17,11
16,5/26/2016 11:09,ARM,control,2016,1008,147,17,11
17,5/26/2016 12:17,ARM,control,2016,1008,147,17,11
18,5/26/2016 13:14,ARM,control,2016,1008,147,17,11
19,5/26/2016 13:47,ARM,control,2016,1008,147,17,11
20,5/26/2016 14:33,ARM,control,2016,1008,147,17,11
21,5/26/2016 16:04,ARM,control,2016,1008,147,17,12
22,5/26/2016 16:23,ARM,control,2016,1008,147,17,12
23,5/26/2016 16:34,ARM,control,2016,1008,147,17,12
24,5/26/2016 16:53,ARM,control,2016,1008,147,17,12
25,5/27/2016 13:28,ARM,control,2016,1008,148,17,12
26,5/27/2016 14:12,ARM,control,2016,1008,148,17,12
27,5/27/2016 14:44,ARM,control,2016,1008,148,17,12
28,5/28/2016 11:39,ARM,control,2016,1008,149,17,13
29,5/28/2016 12:13,ARM,control,2016,1008,149,17,13
30,5/28/2016 12:34,ARM,control,2016,1008,149,17,13
31,5/28/2016 12:52,ARM,control,2016,1008,149,17,13
32,5/28/2016 13:26,ARM,control,2016,1008,149,17,13
33,5/29/2016 11:36,ARM,control,2016,1008,150,17,13
34,5/29/2016 11:49,ARM,control,2016,1008,150,17,13
35,5/29/2016 11:56,ARM,control,2016,1008,150,17,13
36,5/29/2016 12:01,ARM,control,2016,1008,150,17,13
37,5/29/2016 12:04,ARM,control,2016,1008,150,17,13
38,5/29/2016 12:09,ARM,control,2016,1008,150,17,13
39,5/29/2016 12:16,ARM,control,2016,1008,150,17,13
40,5/29/2016 12:21,ARM,control,2016,1008,150,17,13
41,5/29/2016 12:27,ARM,control,2016,1008,150,17,13
42,5/29/2016 12:34,ARM,control,2016,1008,150,17,13
43,5/29/2016 12:42,ARM,control,2016,1008,150,17,13
44,5/29/2016 12:49,ARM,control,2016,1008,150,17,13
45,5/29/2016 12:59,ARM,control,2016,1008,150,17,13
46,5/29/2016 13:07,ARM,control,2016,1008,150,17,13
47,5/29/2016 13:21,ARM,control,2016,1008,150,17,13
48,7/18/2016 3:27,ARM,control,2016,1016,200,32,22
49,7/18/2016 5:52,ARM,control,2016,1016,200,32,22
50,9/16/2016 2:11,ARM,control,2016,1034,260,60,37
51,5/10/2017 10:48,ARM,control,2017,2007,130,8,8
52,5/16/2017 21:26,ARM,control,2017,2011,136,11,9
53,5/16/2017 22:16,ARM,control,2017,2011,136,11,9
54,5/17/2017 0:01,ARM,control,2017,2011,137,11,9
55,5/17/2017 15:33,ARM,control,2017,2012,137,11,9
56,5/18/2017 23:19,ARM,control,2017,2014,138,11,10
57,5/19/2017 3:02,ARM,control,2017,2014,139,11,10
58,5/19/2017 21:51,ARM,control,2017,2014,139,11,11
59,5/20/2017 6:18,ARM,control,2017,2014,140,11,11
60,5/20/2017 6:37,ARM,control,2017,2014,140,11,11
61,6/14/2017 8:09,ARM,control,2017,2020,165,17,16
62,6/14/2017 8:44,ARM,control,2017,2020,165,17,16
63,6/16/2017 20:54,ARM,control,2017,2022,167,18,18
64,6/16/2017 21:08,ARM,control,2017,2022,167,18,18
65,6/16/2017 21:15,ARM,control,2017,2022,167,18,18
66,6/16/2017 21:22,ARM,control,2017,2022,167,18,18
67,6/16/2017 21:37,ARM,control,2017,2022,167,18,18
68,9/2/2018 5:31,ARM,control,2018,3046,245,24,30
69,9/4/2018 15:17,ARM,control,2018,3047,247,26,32
70,9/5/2018 2:31,ARM,control,2018,3048,248,26,32
71,9/5/2018 7:27,ARM,control,2018,3048,248,26,32
72,10/8/2018 17:21,ARM,control,2018,3075,281,31,40
73,10/8/2018 19:22,ARM,control,2018,3075,281,31,40
74,5/24/2019 1:21,ARM,control,2019,4013,144,4,9
75,5/28/2019 6:06,ARM,control,2019,4017,148,7,12
76,7/16/2019 6:43,ARM,control,2019,4043,197,16,23
77,9/21/2019 22:42,ARM,control,2019,4051,264,27,39
78,9/22/2019 9:22,ARM,control,2019,4051,265,27,39
79,9/24/2019 22:51,ARM,control,2019,4053,267,28,40
80,10/1/2019 17:31,ARM,control,2019,4056,274,30,43
81,10/1/2019 22:10,ARM,control,2019,4056,274,30,43
82,10/5/2019 8:12,ARM,control,2019,4063,278,31,44
83,10/10/2019 4:27,ARM,control,2019,4065,283,32,45
84,10/10/2019 7:09,ARM,control,2019,4065,283,32,45
85,4/30/2016 9:32,ARM,strips,2016,1000,121,8,5
86,4/30/2016 9:36,ARM,strips,2016,1000,121,8,5
87,5/26/2016 19:17,ARM,strips,2016,1007,147,17,12
88,5/26/2016 21:39,ARM,strips,2016,1007,147,17,12
89,5/20/2017 9:31,ARM,strips,2017,2015,140,11,11
90,6/16/2017 21:16,ARM,strips,2017,2021,167,18,18
91,5/28/2019 6:22,ARM,strips,2019,4016,148,7,12
92,5/28/2019 8:42,ARM,strips,2019,4016,148,7,12
93,6/22/2016 1:57,EIA,control,2016,1011,174,15,25
94,6/22/2016 2:20,EIA,control,2016,1011,174,15,25
95,6/22/2016 2:26,EIA,control,2016,1011,174,15,25
96,6/22/2016 2:32,EIA,control,2016,1011,174,15,25
97,6/22/2016 2:37,EIA,control,2016,1011,174,15,25
98,6/22/2016 2:42,EIA,control,2016,1011,174,15,25
99,6/22/2016 2:47,EIA,control,2016,1011,174,15,25
100,6/22/2016 2:53,EIA,control,2016,1011,174,15,25
101,6/22/2016 2:59,EIA,control,2016,1011,174,15,25
102,6/22/2016 3:07,EIA,control,2016,1011,174,15,25
103,6/22/2016 3:18,EIA,control,2016,1011,174,15,25
104,6/22/2016 3:27,EIA,control,2016,1011,174,15,25
105,6/22/2016 3:33,EIA,control,2016,1011,174,15,25
106,6/22/2016 4:22,EIA,control,2016,1011,174,15,25
107,6/22/2016 4:40,EIA,control,2016,1011,174,15,25
108,6/22/2016 5:23,EIA,control,2016,1011,174,15,25
109,6/22/2016 6:00,EIA,control,2016,1011,174,15,25
110,6/22/2016 9:22,EIA,control,2016,1011,174,15,25
111,6/22/2016 11:52,EIA,control,2016,1011,174,15,25
112,8/11/2016 20:18,EIA,control,2016,1020,224,15,37
113,8/11/2016 22:51,EIA,control,2016,1020,224,29,37
114,8/12/2016 1:22,EIA,control,2016,1020,225,29,37
115,8/12/2016 3:53,EIA,control,2016,1020,225,29,37
116,9/8/2016 1:34,EIA,control,2016,1024,252,42,42
117,9/8/2016 2:40,EIA,control,2016,1024,252,42,42
118,9/16/2016 0:02,EIA,control,2016,1027,260,45,44
119,9/23/2016 3:41,EIA,control,2016,1032,267,45,45
120,9/23/2016 9:16,EIA,control,2016,1032,267,45,45
121,6/9/2018 23:02,EIA,control,2018,3012,160,5,11
122,6/10/2018 3:00,EIA,control,2018,3012,161,5,11
123,6/19/2018 11:11,EIA,control,2018,3020,170,9,13
124,6/19/2018 11:21,EIA,control,2018,3020,170,9,13
125,6/21/2018 11:31,EIA,control,2018,3026,172,9,14
126,6/21/2018 17:55,EIA,control,2018,3026,172,9,14
127,9/3/2018 5:56,EIA,control,2018,3052,246,23,30
128,9/3/2018 11:07,EIA,control,2018,3052,246,23,30
129,9/19/2018 14:24,EIA,control,2018,3060,262,26,33
130,9/19/2018 16:04,EIA,control,2018,3060,262,26,33
131,10/7/2018 20:26,EIA,control,2018,3072,280,30,41
132,10/8/2018 4:51,EIA,control,2018,3072,281,30,41
133,10/8/2018 11:08,EIA,control,2018,3072,281,30,41
134,10/10/2018 5:33,EIA,control,2018,3081,283,30,43
135,4/30/2016 14:11,EIA,strips,2016,1002,121,7,8
136,4/30/2016 14:59,EIA,strips,2016,1002,121,7,8
137,6/4/2016 1:56,EIA,strips,2016,1009,156,12,18
138,6/4/2016 18:54,EIA,strips,2016,1009,156,12,19
139,6/22/2016 1:21,EIA,strips,2016,1010,174,15,25
140,6/22/2016 2:22,EIA,strips,2016,1010,174,15,25
141,6/22/2016 2:40,EIA,strips,2016,1010,174,15,25
142,6/22/2016 2:54,EIA,strips,2016,1010,174,15,25
143,6/22/2016 3:07,EIA,strips,2016,1010,174,15,25
144,6/22/2016 3:21,EIA,strips,2016,1010,174,15,25
145,6/22/2016 3:34,EIA,strips,2016,1010,174,15,25
146,6/22/2016 3:46,EIA,strips,2016,1010,174,15,25
147,6/22/2016 3:57,EIA,strips,2016,1010,174,15,25
148,6/22/2016 4:08,EIA,strips,2016,1010,174,15,25
149,6/22/2016 4:22,EIA,strips,2016,1010,174,15,25
150,6/22/2016 4:37,EIA,strips,2016,1010,174,15,25
151,6/22/2016 4:55,EIA,strips,2016,1010,174,15,25
152,6/22/2016 5:11,EIA,strips,2016,1010,174,15,25
153,6/22/2016 5:24,EIA,strips,2016,1010,174,15,25
154,6/22/2016 5:37,EIA,strips,2016,1010,174,15,25
155,6/22/2016 5:51,EIA,strips,2016,1010,174,15,25
156,6/22/2016 6:09,EIA,strips,2016,1010,174,15,25
157,6/22/2016 6:34,EIA,strips,2016,1010,174,15,25
158,6/22/2016 7:23,EIA,strips,2016,1010,174,15,25
159,6/22/2016 9:01,EIA,strips,2016,1010,174,15,25
160,6/22/2016 10:12,EIA,strips,2016,1010,174,15,25
161,6/22/2016 13:06,EIA,strips,2016,1010,174,15,25
162,6/22/2016 22:22,EIA,strips,2016,1010,174,15,25
163,6/23/2016 7:18,EIA,strips,2016,1010,175,15,25
164,6/23/2016 7:42,EIA,strips,2016,1010,175,15,25
165,6/23/2016 7:46,EIA,strips,2016,1010,175,15,25
166,6/23/2016 7:57,EIA,strips,2016,1010,175,15,25
167,6/23/2016 8:08,EIA,strips,2016,1010,175,15,25
168,6/23/2016 8:12,EIA,strips,2016,1010,175,15,25
169,6/26/2016 4:33,EIA,strips,2016,1012,178,15,27
170,7/17/2016 5:41,EIA,strips,2016,1015,199,22,32
171,7/22/2016 1:21,EIA,strips,2016,1017,204,22,34
172,8/4/2016 20:59,EIA,strips,2016,1017,217,28,36
173,8/11/2016 20:11,EIA,strips,2016,1019,224,29,37
174,8/11/2016 21:36,EIA,strips,2016,1019,224,29,37
175,8/11/2016 22:35,EIA,strips,2016,1019,224,29,37
176,8/11/2016 23:04,EIA,strips,2016,1019,224,29,37
177,8/11/2016 23:33,EIA,strips,2016,1019,224,29,37
178,8/12/2016 0:40,EIA,strips,2016,1019,225,29,37
179,8/12/2016 5:06,EIA,strips,2016,1019,225,29,37
180,8/12/2016 11:55,EIA,strips,2016,1022,225,29,37
181,8/12/2016 22:24,EIA,strips,2016,1022,225,29,37
182,8/12/2016 22:27,EIA,strips,2016,1022,225,29,37
183,9/8/2016 1:31,EIA,strips,2016,1023,252,42,42
184,9/8/2016 6:28,EIA,strips,2016,1023,252,42,42
185,9/15/2016 23:51,EIA,strips,2016,1026,259,45,44
186,9/16/2016 1:36,EIA,strips,2016,1026,260,45,44
187,9/23/2016 3:26,EIA,strips,2016,1031,267,45,45
188,9/23/2016 5:06,EIA,strips,2016,1031,267,45,45
189,9/23/2016 8:36,EIA,strips,2016,1031,267,45,45
190,9/24/2016 13:13,EIA,strips,2016,1031,268,45,45
191,10/26/2016 5:53,EIA,strips,2016,1036,300,50,47
192,10/26/2016 13:58,EIA,strips,2016,1036,300,50,47
193,11/2/2016 2:56,EIA,strips,2016,1037,307,50,48
194,11/2/2016 12:23,EIA,strips,2016,1038,307,50,48
195,6/9/2018 23:03,EIA,strips,2018,3011,160,5,11
196,6/10/2018 1:24,EIA,strips,2018,3011,161,5,11
197,6/19/2018 11:04,EIA,strips,2018,3022,170,9,13
198,6/19/2018 12:31,EIA,strips,2018,3022,170,9,13
199,6/20/2018 17:24,EIA,strips,2018,3025,171,9,14
200,6/21/2018 16:11,EIA,strips,2018,3025,172,9,14
201,9/3/2018 6:01,EIA,strips,2018,3051,246,23,30
202,9/5/2018 13:04,EIA,strips,2018,3051,248,25,31
203,9/19/2018 14:31,EIA,strips,2018,3059,262,26,33
204,9/19/2018 15:38,EIA,strips,2018,3059,262,26,33
205,10/6/2018 1:39,EIA,strips,2018,3071,279,30,40
